rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/24/2019,"5 for atmosphere and 2 for service. Rude waiter and we were over charged and could have had ordered a bottle of wine for the cost they charged us. I'd come back for the patio, not for the service. Expected more.",1,0,0,Halie E.,"Manhattan, NY",461,24,3
3.0,4/21/2019,"Apricot margarita is amazing , the place is designed beautifully but the service is very slow unfortunately",0,0,0,Rammy D.,"San Francisco, CA",122,2,0
5.0,4/20/2019,"Ambiance, service and food is superb! We've been to many Turkish-Meditteranean restaurants before and Pera Soho was by far the best among them.The service and hospitality was unusual for New York because even in the fine dining restaurants the waiters are not very kind and I am not very happy with the service of the restaurants most of the time.I asked our waiter's name on purpose just to mention here. JOSE was really really good, he deserves every penny of what he gets. He is smiling and helping and give food advises from heart. He did not throw the check when we are done (as most of the restaurants!!). Thank you Jose, hope this place never loses him About the food, we had hummus, labneh, shaslik and Adana(lamb cut roll) ; everything was great! The Greek Salad's dressing was delicious.. and for the dessert we had chocolate lava cake with pistachio ice cream, very light and great gooey cake.Anyway, we took our notes and definitely coming back! Probably for breakfast first",4,0,3,Jas M.,"Edgewater, NJ",3,32,35
2.0,4/16/2019,"My friends and I met here for some food and drinks on a Saturday afternoon. We met around 3:30PM and sat at the bar while we waited for a table outside to be ready. When we arrived, we gave our name and was told it would be an hour for a table to be ready. The hostess wrote our name down, basically on some loose paper she found at her stand. We were dubious that she was going to try and find us a seat. It was clear they were hoping we would get drinks at the bar, give up and leave. After an hour at the bar, one of my friends went to check in to see what our status was. The hostess had no idea who she was and said our name wasn't down. Of course. My friend asked to speak to the manager and he got us a table right away.We were seated outside and there were probably 7 open tables we could have been seated at earlier I'm sure. We then had to wait 30 minutes to be served. We had no idea what was going on. We tried to get people's attention and the just walked right by us. It was incredibly rude and it became clear we were being 'punished' for requesting the table we were promised. How dare we! in fact, we were not served, one of my friends went up to the bar and got us drinks. At happy hour price. So really a win for us. A server noticed this and came over and asked if we needed help with anything. We told him that we had been waiting for 30 minutes and had not been served so we took matters into our own hands. At 5PM, the kitchen opened again and my friends aggressively got a server to come over so they could order food. At this point, the manager came over and apologized for the wait and told us we could get a round of drinks for free. This was nice and we appreciated the gesture a lot. Our moods shifted instantly and we were enjoying ourselves again. The food came,everyone was happy, our free drinks came. We were really enjoying our sunny afternoon outside. The string lights were starting to come on and we were having great conversation. It shaped up into a really lovely evening. From the time our food was served to the time we just gave up and got the check, an hour passed with no service. We all wanted more drinks and more food but no one came to our table. We could not figure it out. It was really insane. Some of the worst service I have ever experienced. The drinks here are good, the food is delicious, and the atmosphere is really nice-especially outside. The location is amazing. The service is worse than abysmal. I wouldn't recommend coming here to anyone.",4,1,1,Joanna V.,"Brooklyn, NY",153,1361,1267
1.0,4/11/2019,"If you're a fan of long intimate experiences this place is for you. Had a group of five people, we were sat smack in the middle of the dinning room. Fantastic seating. Thought, you know right in the mix, have our water refilled, drinks brought out, whoops not the case. Firstly, 2 out of 5 glasses were dirty. I'm not talking a little hard water stain here and there. I'm talking things in the glasses. Not bad still over 50% some would even call that good. We then waited another 35 minutes for a beer and soda. You'd think not bad, for 5 people that takes a while. Well only 2 people ordered drinks, so I appreciate the intimacy in waiting. When I go to a place to eat I don't want to be bothered. I don't want my drinks and appetizers and mains to flow out like a broken water hose leisurely. I want them crammed down my throat all at once the colder, the better. I realize the bartender has to prep the ingredients for those 2 concoctions, so no sweat. After seeing numerous other tables, of similar party size, get their food before us, I was thought nice, they know I hate being rushed. It takes a special art to actively navigate around the table nearest the bar and kitchen and that dedication is commendable. Finally after all the food was brought out at once, because appetizers are dead it's 2019, might as well just put all the food on one plate, let's save that water; half were cold. It's a shame because they weren't supposed to be, and I wanted to love it. It was actually really good. Finally when we went to pay, all was good. I signed my check, left the tip, all while letting the server know the issues at hand and how I appreciated the nuances of the slow but all at ounce approach being revolutionized here. Now, I thought that'd be the end. I thought I scrapped by and put that experience to bed, but then I get my credit card bill. And wouldn't you know it, those shysters added more on to the tip for themselves. I'm no stickler either I tip perfectly standard 20% every time. I thought maybe it was just me, try to pull a fast one on the most unassuming of people. Wrong, those geniuses did it to every member in the party that paid. An even more modern, modern day Ocean's 11 racket. I love it. Pera soho, is great if you have several hours to kill to wait for a drink and food. I appreciate that restraint in servers and hosts not bothering us with annoying water refills, or food being brought out timely. Wait and bring it out at ounce, one trip to the table is much more efficient. If efficiency is your game then come here. They're so efficient they just plop dirty cups, clean 'em. We're talking water here, nice try. Can easily get a few more uses out of them. Environmentally conscious, another plus. Pera soho, come for the ambience, stay because you're food is still sitting at the kitchen pass.",0,0,0,Stan M.,"Manhattan, New York, NY",0,1,0
3.0,4/8/2019,"This place has a great ambience and its in the heart of the city. We chose this place for a sunny Saturday morning brunch. We had to make a reservation since we were a group of 9 people and it was pretty crowded that day. The brunch menu was extensive and there were a lot of options for the non vegetarians but hardly any options for the vegetarians. I ordered the Lamb Adana cut roll, the dish looked extremely captivating but the taste was not as per my expectations. The drinks were unlimited and we ordered Mimosas and Sangrias for us but honestly I have had better Mimosas. So all in all it was a one time go for me.",0,0,0,Shatakshi P.,"Central Business District, Newark, NJ",197,18,15
4.0,3/10/2019,"Got there on the early side off the street on a Sunday late afternoon. Very moist chicken, good balance of flavors, nice thyme and rosemary combo, not salty- well seasoned. Staff was attentive and friendly. Good ambiance, decent drinks- Ihad a cucumber cooler and even though it was 7 pm sharp they offered me happy hour price which was sweet and flexible. I would not pay that much for a chicken in this style in the Bay Area, but I don't know culinary styles or prices in NYC. I wasn't disappointed. I think solid 4 is pretty fair. Again very good service!",11,0,10,Hermanaafortunada P.,"Oakland, CA",105,14,2
4.0,3/9/2019,"Came in for dinner on a Friday night and was slightly concerned by how empty the place was. I soon learned that we were just early. We got seated right away and halfway through our meal, all the other tables in the place were full.We ordered family style. Here's what you must try and what you should avoid. Salmon: Must try. Cooked to perfection with a crisp on one side, the salmon was a well done menu item. If you're not a big fan of cauliflower, avoid the bed it is planted on. Brussel Sprout Salad: Soooo good. Brussel sprouts are shredded and paired wit cheese and sauce and pears. Perfect for sharing and I loved every bite.Lamb Slides: I typically do not like lamb, but this had me wishing we ordered way more of these. The sliders come with two, we asked if they could add one for our party of 3 and they said no... (typically a place will add a piece and charge you for it, it seemed a little ridiculous to say no). But the meat was high quality and well seasoned, extremely tasty. Chicken ""Adana"" Cut Roll: Not tasty. This comes with ground chicken that does not taste like chicken, it was almost mystery meat and felt inedible. I took the meat out and just ate the plain lavash bread, which is nothing special.",11,0,10,Tara N.,"San Diego, CA",68,209,1090
4.0,3/6/2019,"This basket of fries appeared between myself and my vegan company like a miracle. I was at Pera for a professional event and this basket provided ample balm to the conversation and saved us with dietary requirements from getting too sloshed on the drink alone. This photo is quite dark because of the mood lighting, but believe me when I tell you the fries were golden, cripsy, had potato skin fried to a crunch on the outside, and very generously seasoned with parsley. The only complaint I could make is that they disappeared much too quickly, but we'll know all the better for next time.",10,0,11,Potato F.,"Brooklyn, Brooklyn, NY",2,22,23
5.0,2/11/2019,"Well I went there with my gf, we enjoyed the food, as much as we enjoyed the atmosphere, friendly crew, very nice.",8,0,9,Mo D.,"Queens, NY",0,1,2
5.0,2/8/2019,Amazing food. Second time here. Favorites are the chickpea cauliflower and the smoked eggplant dip.,8,0,9,Katherine C.,"Manhattan, New York, NY",0,11,5
3.0,1/30/2019,Lovely warm atmosphere and the service was wonderful. Waiters weren't pushy or annoying. The food was not exceptional but at the same time not bad either. 3 stars because I've had the same Turkish dishes from other Turkish restaurants and the portion size was smaller while the price is higher at Pera Soho.  I guess you're paying for the atmosphere. Plus the seating was cramped and I felt awkward talking to my friend. People are so close they can hear you whisper and if it's busy then you have to really speak loudly.,0,0,0,R C.,"Edgewater, NJ",32,66,151
5.0,1/26/2019,"I went for dinner during restaurant week.  I arrived early and had a blood orange martini at the bar which was good. The atmosphere is nice. For appetizer I chose chicken adana, dinner the shaslik, and deserts you receive both a piece of baklava and chocolate mousse dessert. I also ordered a Turkish coffee. Everything I ate was delicious, but the shaslik was amazing, good flavor and tender. The staff was professional and did everything to make sure we had a wonderful dining experience.",7,0,8,Rose D.,"New Milford, CT",3,46,69
2.0,1/26/2019,"Again another place that doesn't live upto the hype around it. It wasn't all bad but could have been much better.We went there for Saturday brunch with high expectations. The menu looked promising and we were excited to try it. We started with mimosa (no complaints there) and ordered a few chips with classic hummus and paprika hummus. Normally would expect a mediterranean place to have some flavor but to our disappointment, the paprika was flavorless.. well fine that's forgivable as it was just an appetizer..Next we ordered our mains; My shakshuka can be described in three words; plain, sweet and under cooked. ITwo of my friends ordered 'menemen eggs' and were sorely disappointed.. it was under cooked eggs in sweet tomato sauce.. they had to add paprika to make it tolerable for their taste buds.Only happy person on the table was another friend who ordered steaks (Thank god they didn't go wrong with that)We left our brunch a tad bit disappointed and somewhat annoyed. Went to nearby Thelewala to get some nizami rolls to make up for the disappointing brunch. Perhaps this place is better for their dinner menu..they really need to up their brunch game,",1,0,0,Meghna S.,"Manhattan, NY",36,85,126
3.0,1/16/2019,"Came here on a Sunday afternoon for brunch, it's a pretty spacious restaurant and gets busy in the summer because they have a nice outdoor area. If you need a spot for a big group brunch this a good place to try. The food is moderately priced and pretty decent -- nothing to write home about but good. I got their salmon eggs Benedict (comes with super tasty buttery potatoes) and the cinnamon raisin French toast (wish the bread was fluffier).",4,1,1,Nadia S.,"Jericho, NY",276,161,1001
