rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,12/24/2018,"When fifty and fifty gives you more than one hundred...Located in West Village of New York City at 50 Commerce Street, Fifty brings a personalized mixture and twist of new-American and South American to the neighborhood. As the chef-partner of Fifty, Luis Jaramillo, who hails from Ecuador and has immigrated to New York and has lived here since for over twenty years, completely takes the best of each of the two worlds to create a unique culinary experience for everyone. He sets out to share his stories and celebrate his culture as he takes his guests on a customized Ecuadorian trip through each dish on the restaurant's seasonal menu.Upon entering the restaurant, the classical yet elegant interior design with modern elements accompanied by a calm and relaxed atmosphere immediately captures your attention. It certainly enhances the overall dining experience.Starting with one of the snacks, Smoked Trout Deviled Eggs, it was simply delicious. This snack contains and relates to chef Jaramillo's childhood story of a boy fishing by the water as a kid and the fish caught would be used for this snack. The Chorizo stuffed Green Plantain Empanadas are made with no flour, therefore making it gluten-free. These bites are starchy, unlike your typical empanadas, and when chorizo blends in with each bite, it truly is an enjoyable snack, one eaten by the coast according to the chef.The Striped Bass Crudo is presented beautifully with the striped bass placed over a sea of passion fruit sauce and topped with candied peanuts, scallions and chili powder. Citruses are usually used for ceviche but the use of passion fruit as the sauce of this appetizer was because the fruit is very popular and plays an important role in the rainforest. The chili powder gives it an extra kick of spiciness and the sauce perfectly balanced out the spice and provided a tangy and tarty taste to each bite. Also, no one really uses peanuts with raw fish. But the decision to do so added a crunch to the layers of textures, and overall, giving it a very charming aroma and flavors that no one can reject or resist.The Grilled Mediterranean Octopus is served with octopus tentacles laying over mash potatoes. The octopus tentacles are mixed and brushed with spices, inspired by the idea from the skewers sold on the streets in Ecuador. The skewers are usually served with onions and peppers. The Shrimp ""Encocao"", shrimp in coconut milk with infused lemongrass and pepper, quinoa, and plenty of garlic. The coconut milk-ginger broth is undeniably amazing and leaves you wanting more after each bite.For entrees, the Shrimp and Calamari Black Rice displayed the bringing back to life of a diminishing family tradition. The black rice is chef Jaramillo's take on the crispy rice, Cocolon, which sticks to the bottom of the pot when his mom or grandma cooks. In Ecuador, there is a tradition where the crispy rice is saved and served to a lucky person at the table. He aims to bring back this homey dish with the addition of extremely fresh ingredients like shrimp, calamari and uni.One of the desserts is a homey rendition of flan, something that everyone in Ecuador loves and enjoys. The other dessert is a chocolate cake made from Ecuadorian cacao fino de aroma, one of the best cacaos in the world.The menu of Fifty has been infiltrated and infused deeply with stories and heritage of chef Luis Jaramillo. He has extracted interesting aspects of where he's from and what he has experienced as a kid and intertwined it with a new-American fare, creating a menu that ""showcases local, seasonal ingredients complemented by bold, ethnic flavors from his home country and surrounding South American regions.""This Ecuadorian-American culinary experience is extremely successful and pleasurable, knowing that it is the best of both backgrounds; something truly innate and special, like the blood and DNA that runs through and defines a person, and sharing that with a new and distant audience using innovative techniques, seasonal and fresh products.This experience is one with the best of both sides, it is Ecuadorian-American; The Ecuayorker.",0,0,0,Tom L.,"Brooklyn, NY",128,129,935
5.0,12/16/2018,I am dismayed to report that this restaurant is closed. We attended a show at the nearby Cherry Lane theater a while back and decided to have a drink at Fifty before the show.  We enjoyed the atmosphere so much we went back for dinner after the show. We now have made it our go-to restaurant whenever we attend a performance at Cherry Lane.   We were going to a play last night so I had tried making a reservation through OpenTable and I even tried calling to no avail.  Sure enough when we got there last night it was closed!!  What a shame!!,1,0,0,Maureen J.,"BREEZY POINT, NY",0,17,0
5.0,11/13/2018,Amazing dinner! Everything was outstanding. I can't wait to go back! The menu is always being up dating keeping my favorites and,0,0,0,Tyler G.,"Huntington, NY",21,31,1
5.0,10/13/2018,"One of my favorite restaurants in the  is called Casa but it looks like this restaurant has alot to offer for its size. Excellent food prefect cocktails and one of the smoothest services I ha e ever endured,  great food, great drinks, and great service. I will recommend this place anytime the village is a topic for food. Great job keep it up.",0,0,0,Joey S.,"Garfield, NJ",29,15,0
4.0,10/8/2018,Just had a nine course dinner here with our theater group. Family style. Excellent quality and service. Nice atmosphere. Interesting neighborhood.,0,0,0,Rody S.,"La Cañada Flintridge, CA",0,43,0
5.0,9/26/2018,"I'm not sure how I can across this place but I'm glad I did. It's down a small side street makes it feel like a movie set, pretty cool area. The vibe is really upbeat but if you wanted to have a little 1 on 1 evening this place can fit the bill for that as well. The food was very flavorful and fast service. The staff was extremely friendly and quick to assist with any request. I'd say this place on the location alone is worth visiting then the food plus service you have to stop in. Start off with the Tuna a combination of flavor like you've never had. I almost ordered a second round of it but had to contain myself. Hope this helps.",0,0,1,Rome D.,"Walnut Creek, CA",9,132,118
4.0,9/5/2018,"While difficult to surpass its predecessor, Fifty  surprised us with their outstanding food and genuinely warm staff.   Gone are the oversized Mexican Muralism panels, replaced by low releif  Art Deco motifs.  The lighting was pleasantly dimed  throughout the evening as soft Latin music  completed the ambience.  Having been open coming up on  two years, Fifty remains an up-and-coming West Village haunt, keeping up with it's heavy-hitting neighbors such as RedFarm and Barbuto with ease. Nestled in the fold of Commerce Street, Fifty is hugged by idelic pre-war brick walk-ups and the Cherry Lane Theater who, rumor has it, will begin stocking their concession stand with bites made in chef Luis Jaramillo's kitchen.  Having made such sweet memories of lively warm dinners surrounded by family and friends, it is good to know that the future will hold more of such occasions, in the little restaurant on Commerce Street, now called Fifty.",0,0,0,Amanda Z.,"Midtown West, Manhattan, NY",7,12,6
5.0,8/25/2018,"I had reserved a table before my Cherry Lane show....nice surprise ,it was next store! The waiter was so attentive with everything. The menu was a little limited which I kind of likes. I chose from each section. I wanted to try the deviled egg off the snack listing. NOT YOUR MOTHERS DEVILED EGG! A taste explosion...wonderful. My api was the ceviche which was not 100% ""raw"" nevertheless it hit it out of the park...an incredible dish. My main was Chicken from Sullivan County,my old home town. Again wonderful....so different. All I could say to the waiter was everything was ""special"". Shame on me for ordering so much but I had the dirty corn for the side...not to be missed. Ask for the dollop on the side.  I saw a couple in the theater later that just had drinks at the bar earlier. I had to tell them that they must dine next time...""it's a destination""!  Enjoy!!",1,0,0,Paul P.,"Baldwin, NY",0,5,0
3.0,8/23/2018,"To be perfectly honest, this place was pretty average. Not bad, but not standout in any way either. I came here with a group of friends, 8 of us total. We made reservations beforehand, but the restaurant wasn't that busy anyway. Despite it not being that busy, the service was super slow. They also only gave us one drinks menu to share between the 8 of us. At least give two, one for each side of the table! I had the red snapper with shrimp curry. It was fine? The snapper itself was cooked well, but the flavors of the dish as a whole were pretty underwhelming. I've had much more impressive fish dishes at lower price points. My boyfriend had the empanada and the ceviche. He loved the empanada, but the ceviche was, again, average. There wasn't a ton of actual seafood in it and it was a bit watery, but the flavor was good. To be fair, though, our standards for ceviche are really high! The ambience and decor here are very nice, but unfortunately I just wasn't impressed enough to ever come back.",0,1,1,Sarah H.,"New York, NY",227,144,298
5.0,8/19/2018,"This was my first time there since it was Commerce. I always loved it there, but I can say the food is even better at Fifty. Really balanced flavors in the dishes, nice presentation, and excellent service. And this was all with their restaurant week menu, so I'm looking forward to going back for the regular menu.",1,0,0,Andrew M.,"Manhattan, NY",4,19,0
5.0,8/12/2018,"Great food & ambience at this sleek modern restaurant tucked away on Commerce street. Had a great bottle of Argentinian red with deviled eggs, goat ribs, and corn. All of it was really good. The goat rib meat fell cleanly off the bone and had a great flavor. It was a hearty meal with grains and avocado. The corn was buttery and delicious. Will definitely return!",1,0,0,Sandeep D.,"New York, NY",3,19,0
5.0,7/28/2018,"The food here was phenomenal, we had the octopus app which was a great start. Then they brought out the goat ribs which were incredible and finally the duck with a side of dirty corn. Without a doubt one of the best meals I've had in months and I cant wait to come back. I could probably eat a few bowls of dirty corn alone! Also the whiskey cocktail I had was seriously good, something with a tree in the name, definitely worth a drink.",2,0,0,Matt A.,"Brooklyn, NY",1,15,8
5.0,6/29/2018,"Braised goat ribs, deviled eggs, burrata and figs... yum! Some of the best food I've had in a while! It's dark and intimate with a cozy modern feel. I would recommend to anyone. I could tell the chef really takes his time with his menu. I hope they expand and bring a location to Atlanta! Reservations recommended",0,0,1,Fatima L.,"Manhattan, NY",112,11,2
5.0,6/22/2018,"This is an extraordinary restaurant.  Try the amazing burrata with figs marinated in (yes) coffee, with mint.  An amazing taste experience.  Or any dish on the menu! Ask the waiter for recommendations.  The chef, Luis Jaramillo, brings a creative Latin American feel to the food.  We had a very special desert made with passion fruit yogurt topped with crunchy quinoa that had somehow been transformed to a heavenly state.  Highly recommended restaurant, on the charming Commerce Street, just across from the historic Cherry Lane Theater.",2,1,4,Bella I.,"San Diego, CA",0,25,3
5.0,6/9/2018,Love the vibe and food. Must try the cocktails and chips and dips. They have mild to super spicy dips.,0,0,0,Vishesh S.,"Ozone Park, Queens, NY",22,11,0
5.0,5/9/2018,"Still dreaming about their shrimp and calamari black rice nomnomnom... Everything was delicious from beginning to end. We had:-Chorizo and plantain empanada -Burrata-Chopped salad-Goat Ribs-Shrimp and calamari black rice - nomnomnomnom-FlanAmazing. The location is probably one of my faves in the city, tucked away on a quiet street next to the Cherry Lane Theatre. So comfy and relaxing. My only gripe was with the lighting. The restaurant was beautiful but they kept the lights on high the ENTIRE night. I kind of felt like I was in a corporate conference room at the Ramada Inn. But the service, seating, ambiance, food, even the bathrooms! were so wonderful that it didn't really bother us at all. Maybe they ran out of candles or something. Highly recommend this place. One of the best meals I have had in the city for sure! Seriously a fantastic experience.",0,0,0,Wai T.,"Los Angeles, CA",50,80,3
5.0,4/15/2018,"Decent food and wine, good service and fun music.",0,0,0,Mishkin L.,"New York, NY",0,298,76
4.0,3/30/2018,Had the empanada and the goat ribs last night. Both were good but I had higher expectations for the goat ribs. I didn't really think they were more than just fine. I'll probably go for the salmon next time. But the vibe was nice at this place.,0,0,0,Kristín M.,"Manhattan, New York, NY",131,98,146
4.0,3/29/2018,"I love the lobster roll and goat ribs!The lobster roll has crispy surface and soft lobster, it is so good with the butter sauce.The goat ribs are the most soft goat I have eaten. But I am not very used to the taste.",1,0,0,Zhijian J.,"Manhattan, New York, NY",47,77,261
5.0,3/15/2018,"Delicious food and great service in a beautiful room! First, their little lobster roll is one of the tastiest things I have ever eaten, anywhere. It's only $9 and several bites of heaven in the little buttered roll. It's a must-try. Also had the shrimp/ black rice, which is comfort food with a surprising crunch. My date was really impressed, and with the quiet ambience (you can actually have a conversation!) impeccable service, and beautiful subdued palette decor, this may be the best dining choice in the West Village.",0,0,0,Laurence M.,"Manhattan, NY",25,34,1
5.0,3/11/2018,"Hidden Gem!  Came here with friends for brunch.  Everything we ate was absolutely delicious.  The drinks here are also very well made.  The decor is airy, sleek and inviting, and walking into the bathroom was like entering a mini-spa.  Definitely a must-visit, you won't be disappointed.  Highly recommended.",0,0,0,Chris D.,"North Bergen, NJ",0,1,1
5.0,3/11/2018,Our New Favorite Spot.. Everything is delicious... Like a party in our mouths... Food Gasmic!,0,0,0,Stuart M.,"Weehawken, NJ",144,5,1
5.0,3/11/2018,"Came in on a Sunday for brunch stayed till dinner. Amazing food, great drinks, great service, the music was so awesome. Andy and Jorge were so inviting and friendly.  Black rice with shrimp and calamari was my first time trying it and I want to know how to make it at home, DELICIOUS!Everything about this place makes you want to come back. I'm a huge fan of Sex in the City and to find out the last scene was filmed in the seat I was seated at was just a great experience.",0,0,0,Tanya B.,"Stamford, CT",24,6,38
5.0,2/28/2018,"Stephanie, our server, was great.  Divine duck, great goat, captivating crudo, brilliant burrata, exquisite experience!  The cocktails were fantastic as well, mixed perfectly and delicious.  Exceptional experience, definitely 5 stars!  We were blown away!",0,0,0,Kenneth S.,"Manhattan, New York, NY",0,1,0
5.0,2/27/2018,"As other people have said already, what a great find. We had walked past this place a few times and thought of going in. We only live around the corner so we bit the bullet. The way I would describe this is, food with serious bold south/Central American flavour, without over complication. Dishes are presented simply with straight forward ingredients but in a combo are very powerful. We started with the chorizo empanadas which had a fantastic mint yoghurt dressing, and the ceviche. Civeche had a great kick to it. Fish itself was great. Wife had the calamari and shrimp and myself the hanger steak. I really enjoyed mine, was just enough food, chimichurri was top notch. Wife loved the shrimp which was slightly more shuttle but equally as good. See attached photos. Service was ace as well. Service 5/5Food 5/5Ambiance 3/5 - place was empty on a Monday at 8.30 -not their fault. Price 5/5 - was fair.",2,0,0,Matt B.,"Manhattan, New York, NY",55,111,127
5.0,2/26/2018,"It was delicious...a great date night. I had the devilled eggs to start, shared the borrata, and had the braised goat ribs for my entree. Had the Mezcal Resolution for a cocktail. It was an excellent experience, will definitely be going back in the near future.",0,0,0,J B.,"New York, NY",0,7,0
5.0,2/17/2018,"Absolutely awesome restaurant. Great steak, incredible rice, wonderful ribs. Fantastic mushrooms. I was very impressed. A definitive recommendation.",0,0,0,Paolo C.,"New York, NY",45,71,2
5.0,2/14/2018,"What a great find! This restaurant is nestled on a quiet street in West Village, and I never would've heard of it if it weren't for my friend. We came here on a Saturday night in a group of 16 for a birthday dinner. Management was super accommodating in letting us (really, him - I played no part in the planning) make the reservation with relatively short notice, and we didn't have to order a prix fixe menu either.I came early, so started off with a drink at the bar. The Fenix cocktail looked innocuous on the menu, but came with a really spicy kick (it was still delicious). At the table, I ordered a gin-based drink which was also quite good.Everyone at the table - yes, all 16 of us - loved the food that we ordered, and we sampled a good portion of the menu. I split the octopus, ceviche, and brussels sprouts with two others for apps and had the shrimp & calamari black rice for my main. Everything I had was so, so good. The black rice had the best part of a traditional paella - the soccarat, or crispy bottom - mixed with generous helpings of squid, shrimp, and even uni. Someone else at the table couldn't stop raving about her goat ribs. Same with everyone who ordered the duck. Most of us were too stuffed after this for dessert, but they brought out a complimentary slice of chocolate and peanut cake for the birthday boy, which was a nice touch to end the meal.",1,0,1,Yuting Z.,"Manhattan, NY",435,332,543
4.0,2/11/2018,"What an unexpected experience from arriving at this hidden gem down a curved U-shaped street I never heard of, but properly lit at the end of the road as it was heavily raining and dark everywhere else. The ambience was beautiful. The menu size was small but it makes sense because the attention to detail was well thought out. The Felix cocktail was surprisingly spicy but the passion fruit flavor was perfect. The beer braised goat ribs were sooooo soft and tender, they fell off the bone. Wish there had been more of a side (the quinoa, avocado, and sweet plantain were tiny). We were a party of 16 and I'm assuming that's why everything took an hour to arrive but it was worth it. I was not planning on getting dessert but a few others did so I ordered flan. It was the creamiest and sweetest flan I've ever tasted. The hints of salt on top were also pleasantly unexpected. I'm always looking for exciting Latin restaurants as a Latina myself. I am very picky but this place is a new addition to my list!",0,0,0,Gladys P.,"Manhattan, NY",102,4,0
2.0,2/6/2018,Extremely disappointing! We went for restaurant week. Our waiter was pretty poor. When I asked him about tile fish and he compared to swordfish I asked about mercury levels. His response was not the fish in our restaurant:)The appetizer was a potato soup. It was Too stew like with big pieces of potato and too much sour cream.The entree was awful. A shrimp and calamari dish that included this weird roe that had an awful taste. There was just one piece of shrimp and a few calamari... the rest was this mushy quinoa.The dessert was a dry chocolate cake with way too much unsweetened whipped cream. Only plus... topped with salted caramel and peanuts that were tasty.When our waiter saw that I left most of my dish he never said a word. And though I asked about dairy in the soup he never mentioned the dessert or ask about food sensitivities the way they do in most fine restaurants these days.We ate here once before and really enjoyed the small plates. But this was a disaster.,2,0,0,Beth Z.,"New York, NY",0,10,4
