rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/9/2019,"I decided to come here for a date night with my boyfriend last night and truly can't speak more highly of this special find. The food, which is Hawaiian inspired, is artfully crafted without being too intimidating. We had the squash blossoms, fresh poke, truffle gnocchi, and wagyu steak and literally every bite was heaven. The wine list is also incredible and the staff was so helpful in guiding us to the best pairing with what we were having. I'm addition, the atmosphere was just what we needed, perfectly ambient and intimate. I will definitely be coming back!",0,0,0,Danielle C.,"New York, NY",23,8,0
5.0,4/7/2019,"Amazing. Beware of the small portions (except those under ""large plates""--those are huge), but if you're willing to pay for the super amazing food and service that you get, then the size of the plates shouldn't be much of an issue. Best ambiance, super romantic and pretty. We sat in the back/side room and it was really quiet (in contrast to the bustling front room) and we liked that. My boyfriend and I shared:Pork potstickers Taro chips Truffle gnocchi Fried chicken (large plate--enormous)Bread puddingAll in all, 10/10. Everything was amazing. Definitely pricey, but well worth it.",0,0,0,Renee P.,"Manhattan, New York, NY",0,12,37
4.0,4/3/2019,"Fun to try something new. Quality of the food is very good. It's a small cute place, I'll come back when the spirit moves me.",0,0,0,Jemima B.,"Manhattan, New York, NY",1,29,5
4.0,3/28/2019,The outside of this restaurant is deceiving- it's actually really nice inside. It's an upscale Hawaiian restaurant. There were some interesting items on the menu so if you are adventurous with food this could be a great place for you! Spam and cows tongue were two things on the menu that my friends tried. It's not what you'd ordinarily associate with Hawaiian esque.,0,0,0,Gina M.,"New York, NY",169,47,48
3.0,3/28/2019,"Yes, this is an adorable little place. The truffle spam musubi was perhaps my favourite (oh! HUMBLE SPAM! How ye are elevated!), closely followed by the mentaiko spaghetti (definitely get it with the uni) and the fried chicken large plate. But, ah, why no 5 stars? Boy, does the bill add up. For what it was, it was a little expensive, but I could stomach it for a relaxing dinner out with friends. (Don't get the pickles or kimchi-- save your $8/ plate and go to a Korean deli instead.) But then there was dessert. We ordered the creme bruleed pineapple with a fancy salt whose name I cannot remember now. I was anticipating a dessert of pineapple slices with a warm caramelized top and the pleasing contrast of saltiness. Instead the reality was a quarter pineapple served in its husk, cold, with a paltry dripping of equally cold, hardened caramel on top. Maybe I'm being picky and splitting hairs here, but for $10, I think I'm allowed.A fine night out if you're not paying-- for a party of three, inclusive of 3 glasses of wine, and 4 beers, the tab with tip came to 90 bucks per person.",0,0,0,Joelle D.,"Brooklyn, NY",0,10,0
3.0,3/24/2019,"I had 6 appetizers and no main dish, so I can only speak to those.First, portion is pretty small for apps.Second, don't get lured by truffle and bone marrow in some of their dishes.  While it sounds good on paper, I didn't feel combination and harmony of ingredient was there.  Taste of uni overpowered everything.  I would stick with their basic apps that are more reasonably priced, and more orthodox in approach.  But you can get those in other places too.Third, freshness of ingredient was hit or miss.  Uni tasted good, but tuna poke had pretty fishy first few bites.  Given that the poke is one of their more popular dishes, it was a let down.  I did enjoy the overall flavor and particularly the texture of seaweed.While all the dishes were pretty good, there was no stand out.",0,0,0,Joe L.,"Fairview, NJ",0,34,1
5.0,3/17/2019,"Such a nice little gem!  The service is superb, and the food is great with a great wine selection.  Tried almost everything on the menu, and my favorites are pork jowl masubi, tuna poke, taro chips with truffle, mushroom tempura, monkfish liver torchon, chow noodles, pork cavatelli, brûlée's Hawaiian pineapple, bread pudding and the pineapple upside down cake.Can't wait to go back again!",0,0,0,JJ W.,"Manhattan, NY",40,79,0
5.0,3/16/2019,Service was great and the food was wonderful. We came as a large group and they accommodated us on a busy Sat night. We let the waiter choose our dishes and practically everything that came out had uni or truffles in it. The gnocchi was a stand out. I didn't care much for their famed fried chicken but I was stuffed by the time it came out so that may have affected my tastes. Overall a wonderful dining experience.,0,0,0,b t.,"Pasadena, CA",4,209,77
4.0,3/11/2019,"I went there during Valentine's Day. 2 ,people we spent around $160. We ordered a good amount of food. Portions are small. The presentation is very pleasing, simple and clean.The restaurant itself is small and very dark. Good luck to my ""The phone eats first "" friends and people can have a bad eyesight. My boyfriend has 20/20 vision and had to use the candle on the table as a light source to read his menu. Also I'm a foodie and I love to capture the food I eat. Felt a bit embarrassed having to take my photos with the flash on, especially in such a small restaurant.  And the tables are small.The fried chicken had good flavor and really crispy, but not worth the price. The grill octopus was really tinder. I was not a fan of the beef tongue musubi. I personally didn't like the flavor of it, it over power the texture and taste of the beef tongue.The bone marrow beard with uni and truffle was delicious though. I could lick the plate clean. The flavors and textures worked so well together. Everyone on my social media were asking me ""Where did you get this?"" That's how pretty the dish and unique the dish was. The scallop sashimi was amazing too. Sweet, simple, fresh, and beautiful overall. The greens on the plate added a pop of color, texture and freshness. For our main entrees we got Kahlua pork cavatelli and mentaiko spaghetti. They were both pretty good. The pasta was perfectly cooked and creamy.    The service was alright. Our waiter didn't look like he was in the best mood. He was never rude, he just didn't look happy. We ran out of water a few times and had to ask for refills. But other than that I had a good date there.",0,0,0,Amy C.,"Queens, NY",290,25,22
5.0,3/11/2019,The meal here was fabulous and very wine friendly.  Loved this menu and the food was a great success.  Several standouts on the menu with my favorite probably being the roast pork.  Potstickers were a superb starter.  Really everything so good.  I love little places like this in NYC.  Very local feel to it without an publicity.  Hope it sticks around for a long-time.,1,0,0,John O.,"Los Angeles, CA",7,984,44
5.0,3/3/2019,"Great atmosphere, cozy and filled with aloha spirit. The menu is adventurous, offering a creative menu with a little Hawaiian regional cuisine influence. The ingredients were extremely fresh. The spam musubis were a fun twist on the traditional, my favorite was the beef tongue, almost like an oxtail soup musubi (drool). Save room for dessert, ube haupia pie is a winner!",1,0,1,Remee A.,"Jacksonville, FL",204,217,143
5.0,3/2/2019,"I just love this restaurant! It's a hidden gem on the LES. The food is delicious, fresh and unique & the service is exceptional. They have an impressive wine list & a comfortable space. I just LOVE their poke and you have to try the spam sushi! It's amazing. No joke!",0,0,0,Kara S.,"New York, NY",1,7,1
5.0,2/24/2019,Delicious and creative food paired with great wine and attentive service. What could be better?,0,0,0,Wayne L.,"Washington, DC",234,288,620
5.0,2/15/2019,"This is the 3rd year in a row I have gone here for my birthday. Although there weren't any specials which I was excited for. I found enjoyable items on the main menu. We started with the truffled taro crisps(chips) all ways a winner. I had a variety of 3 sushi rolls (spam , pork tongue, and mushroom) more carb than I wanted yet I accepted the flavors with great joy. As a a main mentaiko spaghetti made with GF noodles. a total taste sensation. My main squeeze had the fried chicken as it included mac n cheese. he goes for the classics ! I appreciated the single candle and the fact they did NOT sing happy Birthday. I dispose being sung to especially in public. I had not previously noticed this is a Michelin star restaurant 2 years running and with good reason. I look forward to next year returning here.",0,0,0,Douglas B.,"New York, NY",1,52,0
4.0,2/14/2019,"This is a great date spot or a small group of friends because the tables are small and can be crowded. The service was great, I never had to ask for a water refill or get someone's attention. Since I came on a pretty cold and rainy night, it was not too full. I ordered the truffle gnocchi and it was delicious! Although not melt in your mouth, the gnocchi was like a pillow and has just the right amount of truffle. My friend ordered from the restaurant week menu and got the tuna poke, wagyu, and bread pudding. The tuna was fresh and the beef was cooked well. Although nothing too impressive it's a solid spot to eat at! The bread pudding was delicious too and not too heavy or sweet.",0,0,0,Jasmine C.,"Manhattan, New York, NY",9,60,29
3.0,2/9/2019,"Though I went during restaurant week, I did order items that are on the regular menu.Atmosphere - Despite it being an early Sunday evening, the dining area was almost pitch black, I could barely see the food on my plate except for the small tea-light placed on the table. Definitely makes it feel intimate, or can make you question how much your fish is cooked (more on that later).Heart of palm salad - love heart of palm and the beets, but the overly sweet apple butter made it taste more of a dessert than a salad/appetizer. While I loved the main vegetables paired with the sesame and pomegranate, I ended up scraping off most of the apple butter.Steelhead trout - I love the funk that fermented black beans bring, and it was amazing with the bok choy, but sadly the powerful flavour overpowered the delicate trout (great crisp skin) if you took too much at once (even a single leaf coated in the sauce was too much). The squash puree beautifully cut through the sauce, but there was no where near enough for it to do it's job. Also, Be Careful! My fish was clearly undercooked, I used a flashlight on my phone to inspect the inside which was not flaking and much pinker than the edges. Asking the waitress (who could probably not see the fish well due to the darkness), she snuffed at my concern and said the fish was cooked all the way through ""medium."" I did end up eating the rest, though my stomach was definitely questioning something later that night.Bruleed pineapple - It takes a lot of confidence to present a slice of pineapple on a plate as dessert. The presentation is bold, but honestly, I could not find the flavours of the sea salt and lime that were apparently on the fruit. In the end, while it was good pineapple, it felt like something I could easily do in my broiler. Go for another dessert that justifies the 10$ price tag.",0,0,0,Anne P.,"Midtown East, Manhattan, NY",64,24,130
3.0,1/31/2019,"3.5 if I could, went for restaurant week and got:App: poke salad + Berkshire pork katsuEntree: imperial wagyu with beef fat fried rice and the mentaiko spaghettiDessert: pineapple upside down cakeThe katsu was juicy and overall pretty good. Poke salad was fine. The wagyu and fried rice was on the saltier side but overall very good. The wagyu was cooked perfectly and super tender. Fried rice was . The spaghetti seemed to be the most popular item on the menu but unfortunately kind of a let down. The flavor was good but it was so salty it actually hurt. Pineapple cake was pretty solid. Not tryna run back anytime soon.",1,0,0,Rachel S.,"Manhattan, NY",558,59,46
5.0,1/21/2019,"I went to Noreetuh for my birthday with a group of 10 and it was FANTASTIC. They gave us the option to order from the a la carte menu and the pre fix, and even printed a happy birthday note on both! Most of us ordered their $48 pre fix (which is a great deal) and I got the fried chicken plate, which was really delicious. (Insanely moist and well seasoned.) I also want to give a special shout out to our server Sarah, who was incredibly sweet and attentive. She helped us pick great wines and was able to handle our large (somewhat loud...) group with ease. The top dishes of the night were chicken, the musubi and the kalua pork cavatelli. For dessert we did the pineapple upside down cake, which is a bit pricey, but definitely worth it. I absolutely will be back! Very interested in trying their brunch!",0,0,0,Arielle S.,"Astoria, NY",224,3,0
4.0,1/8/2019,Cute little place in the lower east. Food was delicious and tasted as Italian/Asian fusion. We had the fried mushrooms and chicken wings to start. The mushrooms were amazing and came with sweet miso dipping sauce. The chicken wings were also delicious. The pasta dish was also super creamy and yummy. I personally liked it more than the pork chop. This place is super small and great for a date. The lighting is set for a nice dinner date :),0,0,0,Callie S.,"New York, NY",133,122,494
5.0,12/21/2018,"This place is easily missed as you walk by the busy street. The front is dark and so is the inside. That said, you'll be doing yourself a disservice if you just passed by. Not everyone loves spam, I get that. But if you can get over the fact that you're eating canned byproducts, the pork jowl musubi and spicy spam musubi are delicious. We also got the monkfish liver, bone marrow bread pudding, the luau leaf tortellini, five spice glazed pork chop, imperial wagyu, and a truffle gnocchi. Everything was amazing. The biggest surprise was actually the pork chop. It has the most beautiful grill marks and was super juicy. We finished dinner with a simple grilled pineapple. This was my first time here but I'll definitely be back. Highly recommend it.",0,0,1,Tony Y.,"New York, NY",250,177,1053
5.0,12/20/2018,"My fiance and I came here to celebrate one year of being engaged (we got engaged in Hawaii), and Noreetuh was absolutely amazing! We wanted food that was reminiscent of the incredible food we had had in Hawaii, and the dishes here blew us away, from the appetizers to the dessert. The ambiance was intimate and romantic, and the service was great. We will definitely come again.",0,0,0,Catherine R.,"New York, NY",0,12,3
4.0,12/1/2018,Prefix menu was filling and delicious. I would skip the heart of palms and enjoy the rest.,1,1,1,Elias K.,"Manhattan, NY",9,7,0
