rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/12/2019,This is the second time that I have been here. I ate outside the first time and this time I ate inside. The inside is cute. The food is pretty good!  We had an The chips and guacamole is an appetizer. We actually ordered another appetizer but we had them bring it with the entrées.  I will for sure go back again. I don't remember the name of the appetizer but my husband was in love with that,0,0,0,Tyiki W.,"New York, NY",88,77,160
5.0,3/23/2019,"We went here for the first time for brunch, and it was almost perfect. The space is cool; the menu is fun; the bottomless drink choices are different from most restaurants and very strong; the food was REALLY good;  and Murph, the bartender, was great. We'll be back soon.",0,0,0,James F.,"Manhattan, New York, NY",0,28,0
3.0,3/17/2019,"Food was great but sadly service was lacking. Went for bottomless brunch and my friends and I were certainly not trying to overdo it (not the party brunch place type of vibe) and we had empty glasses for a while. At one point we had to ask the server two times in about 15 min for refills, and it wasn't crowded. The restrooms were also pretty poorly stocked, one was out of toilet paper when I went (thankfully I noticed) so I made my way to the other which was out of soap. Still out of soap 45 min later when I notified a member of staff. That all being said, I really enjoyed my tacos and they were just the right amount of food. The St. Germain spritzes at brunch are a nice alternative to the standard Bloody Marys and mimosas. I'll give it another shot.",0,0,0,Maria F.,"Manhattan, NY",28,23,0
4.0,3/8/2019,"Went hoping to see Josh Capon and he was nowhere to be seen. Beer list sucked. Old school tacos good. Street corn way too salty. Rice and beans were ok. Ambiance ok. Bill was semi shocking. Good vibe, no free chips and salsa. Loved the mariachi band.",0,0,0,Robert P.,"Warwick, RI",0,63,30
1.0,2/25/2019,I was so excited to finally try this place but it really disappointed. My mom and I both ended up getting food poising after eating dinner here. So if you don't want to get sick I would recommend staying far away from this place!,2,0,0,Gabby D.,"New York, NY",1,18,6
4.0,2/5/2019,Was pleasantly surprised. Service was extremely attentive. Margaritas were delicious just on the small side. Guacamole  was good but I think $15.00 is steep for a one avo guacamole. We had apps the Queso was one of the best I've had and the salsa was good too.,0,0,0,Marlene A.,"Manhattan, New York, NY",1,86,28
5.0,1/29/2019,"Absolutely loving this spot! I've been going for boozy bottomless brunch and it's well worth the money. The drinks keep flowing, the food is delicious, and the guacamole is a must-have. Add it to ya list! :)Eddie Going",0,0,0,Eddie G.,"New York, NY",633,129,11
4.0,1/6/2019,"This place is so yummy with amazing margaritas!  I got the veggie enchiladas and queso, both were super flavorful!  The ambiance of this place is also very nice.  You can hang by the bar while waiting and since the drinks are so good, you almost don't mind the wait.  Can't wait to come back!",0,0,0,Ami P.,"Elizabeth, NJ",0,10,1
3.0,1/5/2019,"We had big expectations as one of our favorites is the sister Bowery meat company, a 5 on our list.Low energy, below average staff, non descriptive food, no salsa that popped, guys, we know that you can do better. If we had not experienced the best at a sister restaurant, we probably would not feel as let down.Can't recommend.",0,0,0,Jerry S.,"Manhattan, NY",2,28,0
2.0,12/18/2018,"food is OK; would be nice however, if they answered their phone instead of just disconnecting a caller.",0,0,0,Gail R.,"Manhattan, NY",0,3,0
1.0,11/24/2018,"The CDC has urged restaurants not to use romaine lettuce.  El Toro Blanco has ignored that warning and continues to serve romaine lettuce without alerting its customers.  One of those customers tonight was my wife, who is nine months pregnant. You are serving food the CDC told you not to serve.  I give you no stars and may god have mercy on your soul.",2,2,0,Mr R.,"Manhattan, NY",0,1,0
