rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/23/2019,"I'm so glad my husband and I got to experience this restaurant for dinner. It's a great neighborhood spot and very cozy. The owner came over and talked to us about the Piemonte region of Italy and made some great food recommendations that we decided to try. For an appetizer we shared the spinach, mushroom, and goat cheese salad. It was so different and the goat cheese was so creamy. For our entrees I had the homemade meat ravioli in a butter and sage sauce that just melted in my mouth. My husband had the rib eye and said it was amazing and cooked to perfection. For dessert, we shared the panna cotta that was in a strawberry coulis with crumbled pistachios.  One of the best panna cotta desserts we've ever had. We sat at the bar and our bartender had great recommendations for wines to go with our food. I highly recommend this restaurant. You really feel like you're home with family.",0,0,0,Beth P.,"Bergen County, NJ",5,195,167
5.0,4/22/2019,We went on Saturday night with a group of friends. Food and service were amazing. The place was full even though we arrived at 10:30 pm. Authentic and delicious food!,0,0,0,veronica b.,"New York, NY",34,18,4
3.0,4/20/2019,Food was ok - we weren't blown away by it. I had the deconstructed lasagna and my son had a noodle with wild boar. The menu is small and there weren't any specials. Wine selection was good. Atmosphere and waitstaff were lovely,0,0,0,Margaret W.,"Chicago, IL",80,27,0
5.0,4/6/2019,This just became one of my favorite Italian restaurants in the city. I loved their food and wine selection - the spinach gnocchi was absolutely delicious. I think the staff there is very personable and I appreciated their attention. Many of them came to check in with me if everything was good. I will definitely come back and I'm confident to recommend this place to any of you.,0,0,0,Monica J.,"Manhattan, NY",0,171,18
2.0,4/6/2019,"Extremely subpar food.Way too salty, barely warm and low quality ingredients.I had been here once before and found it very disappointing. I didn't realize booking it again that I had been. I tried again once I got there but clearly it just is the worst Italian restaurant I've been to in NYC.It's not expensive and the vibe and service are very good but I wouldn't come back.",0,0,0,Antoine C.,"Stamford, CT",21,121,113
5.0,4/1/2019,Come here if you are looking for something authentic! It's a small restaurant but you can make reservation in advance. The food and drink are great! The desserts impressed me!! Tiramisu must try,0,0,0,Teresa L.,"Manhattan, New York, NY",0,14,10
3.0,3/17/2019,"Cute atmosphere. Not sure if this place recently opened, but the service wasn't great. Don't take my dinner order before I've been served my drink. Presentation of food was nice.",0,0,0,Darian N.,"Financial District, Manhattan, NY",7,3,1
5.0,3/11/2019,By far...my most favorite Italian Restaurant in NYC.  I always go here.  The TAJARIN PASTA is my ultimate desire here.  You can get it with truffles (when in season) but if you want a lesser priced check get it without the truffles and you'll still be satisfied in a most delightful way.  I feel like I'm in Italy whenever I visit here.  It's truly the best (& I mean everything on the menu is worthy of ordering).,0,0,0,Michael A.,"Marina del Rey, CA",213,54,3
5.0,2/25/2019,"I went to San Carlo 90 in Soho with a few friends a couple of nights ago. We not only had a fantastic meal but we could actually hear ourselves (in a full restaurant!)We had a meat ravioli with a butter-sage sauce, it was not only beautiful to look at, it tasted amazing! We also had veal Milanese. It was cooked to a perfect golden brown and I did NOT need a knife..it was like buttah, my fork was all I needed to cut this delightful meat. I'm sure if you don't eat veal, they can make it with chicken. But wait..to top off this delicious beauty of a meal, the deserts came out & i almost fainted! (Glad I didn't because my friends would have eaten it before they got the smelling salt!)The waiters were charming, knew their wine and were very helpful. The owner Moreno came to check on us and chatted for awhile. He's was so nice (not to mention easy on the eyes.)This place is my new Soho favorite and I will make any opportunity to travel from the ues to have this experience many times again. If you live around there, consider yourself lucky. If you're like me & live a #6 train away, it's worth the short trip. I would give this restaurant more than 5 stars if I could! Go and enjoy, Mangia.",0,0,0,Carherine B.,"New York, NY",0,8,4
3.0,2/23/2019,"Good enough. Cramped. Rushed. Plate snatchers hovering, ready to pull away the plates at any moment...home made ravioli very good. Short ribs were meh. Tough and flavorless. Cured meat plate delish. Brussels sprouts decent. Bread at table semi-stale. Noisy. No tablecloths. Therefore...overpriced.  Clean restroom. Fake candles. Noisy. Would I come back here?  Eh, no.",0,0,1,Joseph P.,"New York, NY",33,446,499
5.0,2/22/2019,"Passed by several times as it was just up the block from our hotel. Always smelled awesome and was packed so we opted to give it a try. Crowds were standing around out front but a manager made eye contact and seated us immediately. From that moment, every step of the meal was flawless. Drinks, wine service, appetizers and entrees were all above expectation. Our server was just phenomenal. Very knowledgeable about the restaurant, honest about recommendations- and had the perfect timing of keeping us engaged without being overly-attentive. The shrimp risotto was by far the best meal of our 5 nights in Manhattan.My husband even got to share a drink with a friendly celeb sitting at the bar on our way out. Perfect night in NYC!",1,0,0,Briana W.,"Foxborough, MA",16,430,147
5.0,2/17/2019,"My husband & I ate dinner here for the first time . What a great night ! The food was delicious ! We started with smoked salmon & burrata. We had saffron risotto , homemade spaghetti with anchovy. Both half orders.The trout special and finished with the panna cotta. We shared everything ! The staff was accommodating and very nice ! We will definitely be back . Loved it ,",0,0,0,Geri B.,"Kings Park, NY",0,2,0
4.0,2/16/2019,"KenScale: 8.0/10After our marriage, my wife Jun and I had not been to Italian restaurants as often as we used to for a number of reasons, one of which is that Jun cooks some really delicious pastas at home that I am confident can stand up to any Italian restaurant in the city. For a casual dinner with friends, however, Italian restaurants do come in handy. One of Jun's good friends who left NYC a while ago was coming to visit and I figured this was a good opportunity to try one of the Italian restaurants in the city that we had not yet been. After some searching, I chose San Carlo Osteria Piemonte which focuses on cuisine from the northern region of Piedmont. It turned out to be a smart decision, as a lot of the dishes that we tried were quite delicious.My biggest complaint with Italian restaurants in NYC has been the overuse of salt and other seasoning condiments to juice up the flavor to cater to American diners. San Carlo thankfully avoids a lot of that issue, and retains great balance of flavor in its dishes. While Jun was preoccupied catching up with her friend on the good old days they parties in the city, I was able to focus a bit more on the food. I thought the vitello tonnato made with thinly sliced veal eye round was excellent in texture, and the tuna sauce provided just the right amount of flavor boost. Pan seared scallops that came with cauliflower foam, anchovies and garlic dressing and polenta chips was another winner in the appetizer department that I was glad to take two out of four on the plate while the girls were chatting. Jun can make a splendid meat ragu pasta that has drawn praise from our guests when we host a dinner party; if I am a pescatarian, I think the seafood ragu based rigatoni at San Carlo would have been a nice replacement. Between the two pastas that we had ordered, though, the one that I will keep thinking about will be the delicious spaghetti with anchovies and onions sauce that gave pleasantly earthy taste. The duck breast accmopaied by celery root puree and raspberry vinaigrette that we ordered as the lone main dish was serviceable in texture, but didn't outshine the previous dishes that we had sampled. For dessert, panna cotta with strawberries coulis and pistachio crumble is a must-order dish where the silky smooth panna cotta works beautifully with the crumble. Tiramisu is not a bad dessert to have either, although I feel like Jun and I had tried better ones at other places in and out of NYC.Getting a reservation at San Carlo wasn't too challenging but the dining room filled up very quickly during our meal so booking in advance is highly recommended. The restaurant has a typical downtown neighborhood restaurant vibe that will help with a pleasant dining experience, although the noise during prime time is something you will need to consider. There is a full bar at San Carlo, and the wine list is not surprisingly focused heavily on Italian wines (we tried an interesting syrah blend from Tuscany that really grew on me during our meal). If you are looking for a solid Italian dinner in downtown Manhattan at a place that is not super-crowded and somewhat off the foodie radar, San Carlo is an excellent option to consider.",2,1,1,Ken S.,"Manhattan, NY",512,612,4738
5.0,1/27/2019,"We came for the restaurant week, and feel so lucky that we chose this place. The chef put his heart into the dishes.. The vibe was great, too. Very welcoming.",1,0,0,Carrie S.,"Los Angeles, CA",1,8,0
5.0,1/25/2019,From the moment we walked in I was charmed. The ambience is lovely the servers are Italian. The warm welcome and the delicious handmade pasta was everything I wanted and more. Truly authentic Italian be sure to check it out when you are in Soho. Loved it and will be back.,0,0,0,Stephanie R.,"Chicago, IL",479,10,4
5.0,12/25/2018,"I just had dinner at San Carlos I got to say.. AMAZING experience. We called last minute for a reservation on Christmas night. They were so nice and did everything possible to accommodate my group of four.The server, Renata was extremely nice and helpful. Three out of four in our party wanted items that were not listed in their menu and she was nicely enough to go ahead and make it happen for us. Even though the menu is not bast the food was delicious and very fresh!The ambient was good and enjoyable!Highly recommended",0,0,0,Yanise G.,"Miami, FL",5,7,1
5.0,12/9/2018,"My wife and I were visiting New York City and wanted to find a good, unique restaurant in the Village at which to enjoy a special dinner.  This place was (nearly) perfect.Here is what stood out:- We had a reservation at 8:30pm on a Saturday night.  We arrived right on time, but the table wasn't ready yet so they found us a place at the bar.  We had already been drinking elsewhere before dinner, so we just waited for the table to vacate...maybe 15 minutes or so.- A sommelier came to the table really quickly...we wanted to order wine by the glass and he was knowledgeable and helpful, letting me taste one of the wines before I chose.- The food was incredible.  We started with the scallops appetizer...only got two of them, but they were amazing (actually a highlight of the entire meal for my wife).  Then we each shared the Spinach Gnocchi and splurged on the angel hair pasta with white truffles.  As expected, the angel hair was amazing, great homemade taste, and the truffles...what can I say?  They are what called me to this restaurant in the first place.  However, the gnocchi was really a surprise...some of the best that we'd had in a while.- We skipped dessert and just enjoyed a good cup of black coffee...yum!- Atmosphere was definitely New York sheek, lots of bustle but not too loud.  Service was really good...it seemed like several people were taking care of us, and they must have been watching closely since we always felt well tended, but no one was overbearing.Bottom line:  Top notch!",0,0,0,John M.,"Cardiff, CA",0,215,225
2.0,12/5/2018,"A bad experience we just spend 600$ no alcohol d they don't even took off  a dish of pasta that we don't even touch,dont go there",0,0,0,Maravilla J.,"Brooklyn, NY",205,7,0
5.0,11/7/2018,Love this place. I've been coming here a few times and never disappoints. The fassona tartare is to die for. Love my (2) spritz too. Bravo,0,0,0,Katy T.,"Jersey City, NJ",0,8,0
1.0,11/7/2018,Ate there last weekend.  Of all the dinners I had in NYC this was the worse.  Very disappointed. Food was tasteless. Steak tatare was drab. I ordered the pasta with sardines and it came out ice cold. I was shocked. I sent it back. My wife could not eat her risotto it was so cheesy you could not taste the rice.  She didnt eat her dinner. The pasta specials were $90!!! This place is doomed for failure.  Way way too expensive. Went to Papaya Hut afterwards for a hot dog which was the highlight of my evening. AVOID.,0,0,0,Donny G.,"Old Toronto, Toronto, Canada",0,1,0
5.0,11/6/2018,"Their food, service, and vibe are all fantastic. The wine list is also fabulous. The lunch specials are a great deal, too. This is one of the very best restaurants in the Village these days.",0,0,0,Ken F.,"Manhattan, NY",0,52,0
5.0,11/4/2018,"I only leave ratings for restaurants that I would definitely come back to. You can read the gazillion other reviews already on Yelp.Oh gosh, the cappuccino is amazing. How'd I get so lucky to come during truffle season?! The butternut squash soup is life changing. I'll have to order the risotto the next time I come back. There was also live jazz on Sunday!",0,0,0,Meems N.,"Fresno, CA",6,58,230
5.0,10/22/2018,"I just came back from Italy and have to admit the pasta I just ate for lunch was as good, if not better than any I had in Italy.  Amazing!  Small place, but I'd highly recommend it to anyone!  Our waiter, Enrico is the best so ask for him!",0,0,0,Ellen B.,"The Strip, Las Vegas, NV",1,97,22
