rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/20/2019,"Best dang fries in the city! I love the staff especially Jerry, the maitre d! Great place to go for fries and a drink, but the meals are a little pricey.",0,0,0,Sarah P.,"Manhattan, NY",434,15,13
4.0,3/25/2019,"As we were coming home from our Philadelphia Flower Show Bus Trip on Saturday 3/9/19, we knew that a couple of us were going to The Public Theater to see some plays on 3/10/19 and wanted to meet up to have dinner before the 7pm show time. After thinking it over, I decided to check out The Library which is a restaurant within The Public Theater building. The pictures looked nice and the menu sounded good so I made the reservation....Easy as 1-2-3 via the open table app and a few minutes later we had a 5:45pm dinner reservation.We got to The PublicTheater, then got our play tickets at the box office from Will Call and proceeded to go upstairs to The Library. Pleasantly surprised were we to be surrounded by a sophisticated environment and view elegant yet simple decor all within this hidden away, interesting looking restaurant. Cool artwork from specific plays adorned the walls. Candles/lighting were along the tables and at the bar area. Kindly greeted first by the staff at the front entrance as well as those that placed our outerwear in the coat check section, we soon were interacting with a lovely hostess that led us to our dining table. The Server welcomed us and we placed our orders. Our burger entrees with french fries and salads tasted fresh and were filling. I could hardly believe that there was so much on the plate and I could not eat it all-lol. Although we felt full, we wanted to try dessert. However, it was also realized that there was no time for dessert as it was 6:50pm. We needed to get into our respective theaters before our plays (Cullud Wattah and White Noise) started with only 10 minutes to spare....thank goodness the theaters were only a flight of stairs away-lol. It is cool to know that The Library ensures that we as patrons are served in a timely manner, can enjoy entrees/cocktails/dessert, etc and do so all with additional time to get to your theaters before the actual plays are scheduled to begin. Public Theater Members receive 20% of their bill at The Library and we made sure to give a generous tip for being so accommodating. The next time we come to The Library we will have an entree/dessert/cocktails before or perhaps even after a play!",9,5,9,Alexis M.,"Brooklyn, NY",31,304,11066
4.0,2/18/2019,"Beautiful space with amazing cocktails. Pricy in general for for this type of venue in New York,  something expected.",0,0,0,Emi B.,"Manhattan, NY",178,484,2096
1.0,2/15/2019,Completely terrible.Went on Valentines day with a date. Meal was $90 pre fix for each person. Yet the food was absolutely tasteless and the presentation was horrible.Depressing that I made this bad choice on Valentines day.Lesson learned.,0,0,0,Leo O.,"Manhattan, New York, NY",0,2,0
4.0,1/31/2019,"Went here for restaurant week 2019. For Act I: Roasted Beets (with Apple, Goat Cheese, Hazelnuts) was a larger sized portion than expected. I'm not particularly drawn towards beet dishes, but it was seasoned well and the ingredients complemented each other well.   Taco al Pastor (Braised Pork, Guajillo Peppers, Roasted Pineapple) comes with 2 standard small tacos and included radish slices. The tacos were very delicious, certainly recommend.Act II: We tried the burger and trout options. Joe's Burger (Carmelized Onions, Bacon, Cheddar served with french fries). This burger melted in your mouth and the onions were a delicious addition. Recommend for anyone who loves a good burger. Waiter confirmed the level of redness that could be expected upon placing the order. Served with a generous portion of thin, crispy french fries. Recommend.Roasted Trout (Bean Cassoulet, Fennel, Orange, Haricot Vert) was a good sized filet over white bean cassoulet that was seasoned and flavored exceptionally. I was pleasantly surprised with flavor combination, slightly garlicky and salty, but not overpowering. Recommend.Act III: Gala Apple Crumble (Vanilla Ice Cream, Caramel) in agreement with all other reviews. This is a must-try. Warm apple crumble with silky, smooth soft serve is an impressive combination. Definitely recommend this dessert. Chocolate Walnut Cake (Malted Milk Crème Anglaisé) was essentially in between a chocolate brownie/cake with a few walnuts on top and the creme was sparsely drizzled on top. Wouldn't say this was anything special.Restaurant had a nice vibe and very attentive staff.",0,0,0,Kathrina M.,"Manhattan, New York, NY",0,1,0
4.0,1/2/2019,The place is very cozy considering the size and the service is helpful . The food was not memorable but I din't really expect it to be . I wish they had a better sound system and played a smoother kind of jazz on the background.,0,0,0,andrea p.,"New York, NY",350,483,951
5.0,9/30/2018,Great place for drinks and/or a meal before or after seeing a show. Wonderful service. Great atmosphere. Able to hear conversation. Delicious food. 10% off the check if you have tickets for a play at The Public Theater; 20% off if you are a member.,1,0,0,Eileen D.,"Queens, Queens, NY",0,3,0
5.0,8/17/2018,"We had a great business dinner August 7, 2018. Will was our server and he was excellent! Very attentive and friendly staff. Cocktails and food exceeded our expectations. We will return for sure!",0,0,0,Evelyn G.,"Morristown, NJ",1,13,1
5.0,8/12/2018,We had one of our favorite meals in recent memory. Everything was beautifully prepared and presented. The trout was so fresh and the steak was tender and delicious. How wonderful to have such a great restaurant at The Public Theater. We will be back!,0,0,0,Bruce M.,"Highlands, NJ",0,5,0
1.0,8/11/2018,"Got the ham and pickle board.  We wasted it.  32 dollars for the most disgusting thing I've ever tried.  Lobster roll was decent.  Overall just wasn't a fan.  We were told availability only at bar with over 10 tables open.  Staying there for 45 mins and still tables open.  Saw a server pick something out of a bar drink with bare hands and say ""better him than me.""  Watched bartender and server eat at the bar.  Maybe because I'm from another state this is acceptable, but definitely not a place I would find ""worth the money"" cause it ain't cheap. $$$",1,0,0,Kathleen L.,"Dallas, TX",132,4,4
