rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,1/23/2019,"Amazing food. So so so good service. Came in for a drink and stayed for a meal because Candice is just that warm, friendly, and inviting as a bartender. Made me truly feel like my home away from home in NYC. Will make this my go to for sure.  Thanks Wolfgang Puck for meeting my expectations and then some.",0,0,0,Eric S.,"Brooklyn, NY",0,11,1
4.0,6/12/2018,Excellent high-end Steak House. Amazing staff from the first foot step into the restaurant until we departed. Manager is excellent. The Brussel sprouts were fantastic and the tomahawk steak was cooked to perfection. By far the best restaurant experience ever. Really enjoyed it.,2,2,2,Lenora T.,"Manhattan, New York, NY",7,7,0
5.0,5/22/2018,Our visit here was amazing! All of the servers were so attentive to detail and ensuring we had a great time. The food...omg... on point! I wanted every bite to last forever. Will be back!!!,0,0,0,Brandon K.,"Brantford, Canada",3,9,21
5.0,5/10/2018,By far the best steak I've ever eaten in my life!!! Worth every single dollar! Pricey but one of those experiences I will never forget! Went for my husbands birthday and he was extremely happy! He is a full on steak lover and said best ever piece of steak his ever eaten!!,0,0,0,Razia M.,"Queens, NY",0,6,0
5.0,5/6/2018,This was one of the best restaurants in NYC. The service was perfect. There was always wine in our glasses(no need to call the waiter) . The steaks were really amazing. I have got the American wagy and it was of a top quality and taste. For desert we had the cheese cake to share(because the steaks were pretty huge) and it was a must to try. I will recommend this place 100%. Even I am now considering for having a breakfast there :),1,0,0,Petya K.,"South Village, Manhattan, NY",0,2,40
2.0,5/6/2018,A place like the Four Seasons downtown deserves a much better place than Cut.Service is so so but the quality of the food and overall experience is really not up to the billing.Sincerely hope that market conditions such as lack of customers will eventually force the closing of this overly priced so so steakhouse. Get on it Silverstein Group but quickly....,1,0,0,Antonio R.,"St George, UT",0,4,0
5.0,3/13/2018,"Amazing steakhouse, my favorite in the city for all-around greatness. Service, food and ambience are all 5 star.",0,0,0,John M.,"New York, NY",0,5,1
4.0,2/14/2018,There's nothing really wrong with Cut.  It's just the Wolfgang hype (bla bla bla) is not met by the experience.  By the price and snobbery you'd think your tastebuds were going to explode with happiness ... or something. Nope.  Just very normal food.  No bursting tastebuds.,0,0,0,Terry E.,"Grand Rapids, MI",1462,316,1175
1.0,2/4/2018,"Honestly a terrible dining experience.  Not what you would expect from a Wolfgang Puck restaurant.  The service was a straight 0.  We sat for 15 min with not a person coming to even say hello, before having to call someone over to order a drink.  The appetizers were underwhelming, the lobster app the server recommended was inedible.  The steak was rather good as were the sides, so that was a positive.  Overall I would never return to this restaurant.  This meal that was one of the worst I have ever experienced in my life.  The GM needs to be fired immediately and this place turned around.  Stay away.  So many better places to enjoy dinner.",0,0,0,Shah T.,"Manhattan, NY",261,15,0
5.0,1/21/2018,"Came here last night for the third time with high expectations and it din't disappoint - still highly recommend. First we got cocktails. I got the first vodka one; the name had love in it. He got a whiskey one. Both had lemon in them as a garnish and were good (note the cocktails do take a little time to come out, so you should order them right away).  To start for food we ordered the scallops and the tortelloni - both were served with black truffles & mmm were good. They bring you a generous variety of bread (including sliced bread, pretzel rolls, focaccia & cracker things) & some butter, so note to self for next time - maybe only 1 app is necessary.   We used the extra tortelloni sauce on some of the bread, which was also delicious. For mains we did our usual of petit filet mignon and the trio sirloin tasting, which were of course the stars of the meal. There's something they do to the meat to get a great outer crust/char/something delicious but still keep the inside medium rare. For sides we got the mashed potatoes & brussel sprouts, but brought some of the brussel sprouts home in a doggy bag, since we had to leave room for dessert. For dessert we had the baked alaska - a difference vs. the past was they they flambe'd/torched it table-side! A nice little excitement. Oh and whatever red wine we originally ordered, they were out of, so they brought us something else similar & charged us the lower price - yay. All in all a delicious meal & can't wait for next time.",0,0,0,Caitlin B.,"New York, NY",3,280,35
4.0,1/14/2018,"We ate here for Christmas Eve Dinner, so they had a Prix Fix menu for $135 that included a chef item, an appetizer, your choice of entree, four - count 'em - four sides and dessert.  Our waiter recommended the veal chop with the bone in, so I went for that.  Haven't had veal for awhile, but this was excellent and a lot of food.  The four sides were too much for two people and with the exception of the Mac and Cheese, most were not to our liking.  Dessert was good and just the right size after the large meal.  Surprised at how good the service was here on a busy night.  I saw some complaints about the decor, but we liked it.  They even let us choose a great table, so I'd put it on a list to repeat and try the regular menu, but happy they were open and the steaks and veal we had exceeded our expectations.  Now maybe bring the price down a bit and let people choose less sides, that would have made for a perfect night.",0,0,0,Steve A.,"Concord, CA",62,213,0
3.0,1/2/2018,"We went here for our anniversary dinner.  Usually we would not have chosen a steakhouse, but my wife is on a low-carb diet right now so meat was paramount.  It is also very close to our place, a huge plus in the bitter NY cold, so off we went!We started at the bar waiting for the kitchen to open (early seating).  It was a great space and my cocktail was seriously stellar (""Rolling Fog"").  They seated us promptly, transferred our drinks, and served two rounds of breads.  These were good, but obviously I wasn't there for the bread.  As an appetizer my wife ordered a bone-marrow and dumpling soup, I had scallop with black-truffle carpaccio.  These were fantastic, though my carpaccio was perhaps slightly too acidic; also the black-truffle came as giant flakes which were visibly impressive but made it hard to eat the dish.  For mains I got the NY Sirloin taster, this included A5 Miyazaki Wagyu, my wife got corn-fed fillet.  We also got sides of mushrooms and the cauliflower carbonara (low-carb again).  The sides were mixed; the mushrooms were nicely spicy as they came paired with (what I think was) shishito peppers, I really enjoyed it.  The carbonara was cooked well, but the dish itself needed a bit more salt.  Actually, I think this was a theme as my wife actually added salt to her steak despite it being cooked perfectly.  I should have done the same as my steak was in dire need of salt as well, but I didn't do so.  The sampler was three cuts of beef (American Wagyu, American Prime Dry-Aged, and the Japanese Wagyu).  The American Wagyu was sadly overcooked, I ordered rare and got somewhere between medium-rare and medium (ugh).  The other two pieces were cooked perfectly.  The Japanese Wagyu was clearly the highlight, but the American Prime was great too.  The overcooked American Wagyu was honestly not great.  For dessert we had the chocolate souffle.  We asked how long it would take and were told ""10 minutes"".  I was scared by this, but the waiter assured us that they ""had a trick"".  This trick turned out to be scalding the souffle at some incredibly high temperature.  The result was a perfectly cooked souffle in the center with slightly overdone edges.   Honestly it wasn't too bad, but it was nothing special.  Overall I think CUT is an uneven experience where a little more polish on the dishes will make people not regret the high price.  For me I doubt I'll be returning in the short term. Decour: Incredible.  This a beautiful spacious restaurant.  I even noticed the ambient temperature was perfect, I almost felt like I was in a sensory deprivation tank. Service: Very good.  The only complaint is that service itself was slow.  Our dinner was 2.5 hours for 3 courses.  Servers were fine, I think it's a slow kitchen.   Food: Only OK for the price.  They're almost there, but I think the dishes need a bit more polish for the value. Final Bill: 2 appetizers, 2 mains (including my extravagant $140 sampler), 2 drinks, 1 dessert ran us ~$420 after tip.  Not a cheap night out.",0,0,0,Alex R.,"Jersey City, NJ",2,50,0
5.0,12/28/2017,"So many reasons to go to Cut! 1. It is in the gorgeous uber cool Four seasons hotel 2. Breakfast is my favorite here I've ordered the bagel with lox and cream cheese on 3 different occasions and it is divine 3. Dinner is serious eating- steak house with excellent salad, spinach, potatoes, mushrooms, and anything else you order. Sauces superb 4. Wine list is exceptional and lengthy with large selection  of wines by the glass. 5. Atmosphere is classic and not out of the ordinary, this is the only part of the experience I wish was more extraordinary, but the dining overshadows.",0,0,1,Lizzie T.,"West Village, Manhattan, NY",26,22,9
4.0,12/15/2017,"I've been here and i remember the food being great.... However I have no idea WHAT I ate. HAHAHA. I just know it was good enough for me not to complain. Because of this you shall get 4 stars... I feel like if it was incredible I should remember every bite no? Go, try for yourself!",2,0,1,Jessica M.,"Los Angeles, CA",59,114,9
5.0,12/12/2017,"Dined here a while ago and wanted to come back to review. Superb service and great food. Would recommend the main sampler, would come back.",0,0,0,Roland H.,"Manhattan, New York, NY",535,28,0
4.0,12/5/2017,"Usually I'm not so much a fan of Wolfgang Puck. It seems through the year, he had sold himself short by labeling his name on any products or restaurants that's willing to give him a cut (no pun intended) for the use of his name. I was proven wrong when I came here last night for dinner and was immediately taken back by how beautiful and sleek this restaurant is. I absolutely loved the high ceiling and the testosterone infused decor that help set a strong tone to the establishment. As for the bar area, it had a cool 80's inspired designed with radiant neon lights that complimented the restaurant instead of disgracing it. We sat in the oval room and the gold accent really made everything felt fancy. To really try as many dishes as possible, my friend and I share dishes and everything was on point. I enjoyed their buttered lettuce salad. It was airy with a hint of gorgonzola cheese to tide in the sweetness and sourness of the dressing. Their pumpkin tortellini was also very delicious. The temperature inside the filling was still pipping hot (how I like it) while the texture and flavor was creamy and light.As for their entree, we shared a 35 days aged sirloin and a 28 days aged filet mignon. Both steak were fired medium and the meat itself was nice and tender. As for their dessert, I wasn't too crazy about it. It was a Baked Alaska (chocolate covered torch marshmallow ice cream) and nothing about it seems interesting, where it almost reminded me of the classic cake from Carvel. Overall, I've been to enough steakhouses in my life to say this is one steakhouse that I would recommend, esp because of it's location and decor.",6,5,5,Nga C.,"Brooklyn, NY",524,480,2034
5.0,12/2/2017,"I ordered the tasting of New York strip. Oh my gawd! It was unbelievably good. The Japanese wagyu melts in your mouth. Pork appetizer was excellent. My girlfriend had thee cod with a brandy,mushroom and lobster sauce and loved it. Cauliflower side was very good as well. Service was good.  Overall and outstanding meal.  If you love steak, do yourself a favor and try this place.",0,0,0,Louis M.,"New Orleans, LA",1,22,0
5.0,11/16/2017,Really confused by the negative reviews for this place. It doesn't make any sense. It is in the four seasons with great architecture and great location. I am curious why this one is designed differently than their locations in Vegas and LA but that's neither here nor there. I have been to both and huge fan of them. The service is great and as with both LA and Les Vegas the food is great. The prices aren't any more outrageous than other high end steakhouses either.,1,0,0,J P.,"Oakville, Canada",1,114,0
5.0,11/2/2017,"Eating here is an experience. The service, the restaurant and the food is just one of a kind. I love it here and my egg Benedict breakfast makes my day the best one ever. This is located in the heart of the attractions but away from all of the chaos of the city. I can't wait to have breakfast here tomorrow. :)",0,0,1,Q Q.,"Manhattan, NY",43,83,352
5.0,10/20/2017,"This restaurant made the CUT on my list as being one of the best restaurants I have ever been to in my life.I truly do not understand the negative reviews on here. The hospitality is second to none, and the decor of the restaurant is amazing. Got a last minute dinner reservation and it was during New York fashion week, so I truly thought restaurants would be packed, but surprisingly this one was steady, but not packed (granted it was only 7pm, and it did get busier by the time we left around 9pm). It was really close for us from our hotel, so location was key when choosing plus we have never been to a NYC restaurant before. We chose this one because I am a huge fan of Wolfgang Puck, and read a lot about him during my culinary school days. They seated us right away, and before we knew it, our water glasses were poured, and our beverage server was already getting our drink orders ready. The drinks were massive, even though they were a bit pricey, they were huge, and really pretty. They were also very delicious, the drink was kind of like a Mai-Tai meets a Bahama mama..We ordered three appetizers, two salads and one hot app, which were all amazing and all seasonal, which is great that they are going towards the farm to table movement.We then received our first bread basket, and then ordered our meal. Yes, I mean first because they come around with a warm fresh bread basket, and the server hand selects the bread for you (goes over the bread in detail). I got the foccaia bread and the pretzel roll, and they both were fabulous. My aunt and cousin loved that their was a server that physically went around showing the real cuts of meat off, and explaining each one. They got the most expensive cuts of meat of course, the wagu which is ridiculously expensive. I got the fish (flounder) because even though its a steakhouse, I dont eat steak. (go figure). However I seriously loved my fish, and the main server did a presentation with it, cutting and filleting my fish on the spot. We also got creamed spinach as a side along with french fries and onion rings, and it was really good. We couldnt even finish the onion rings and french fries we were so filled. The wagu beef they had was the best cut of steak they have ever had, and they go to a lot of steakhouses when they travel. The sauces that you can add on as an addition were really good they said, they got the Gorgonzola cream sauce and the steak sauce.  We were so full we couldn't even dare to look at dessert, but we enjoyed the experience, and it was truly a dining experience. I dont know if we will ever go back (it is super expensive so just be prepared), but it was defiantly something I could cross off the bucket list. It made the ""CUT"".",3,1,0,Ana W.,"Hatboro, PA",75,41,16
4.0,10/1/2017,"I've been to CUT in LA many times and love it, so I was very happy when it opened in NYC about a year ago. I went a few times in the first few months, but stopped as the service was inconsistent and generally not great. It seems that the team completely changed over in the course of the first few months. One time our waiter was overly formal and also questioned our order of a truffle pasta as if he was concerned we couldn't afford it....another time, we had a waitress who was friendly but  extremely casual and seemed more cut out to work at a diner than a high end restaurant. The food has always been 5 stars in my opinion. But when you are at this price point, there are many great options food-wise, and you expect service and atmosphere to match, which it didn't here.We decided to try CUT again last night, and I think the service has improved a bit but still is not at the right level. There were a number of things to nitpick, but the one that actually impacted the experience was water glasses were left empty for a long time. The restaurant felt a bit understaffed despite being half full on a Saturday night, but the easiest way to fix this issue may honestly be bigger glasses, because they are so small! The food was once again incredible. They have a vegetable soup for the fall and the broth was delicious. The suckling pig / pork belly appetizer which comes with steamed buns is perfectly cooked, beautifully plated, and a generous portion relative to price (could totally split this one app). The lobster which is cut up table side and served with melted butter and truffle sabayon is one of my favorites. The mac and cheese remains the best I've ever had. The chocolate soufflé the same - it is consistently incredible.The remarkable thing about CUT is its a steakhouse where you can have an excellent meal without actually ordering steak. The appetizers and seafood options are so good I frequently don't get a steak. The steaks are great, but its the versatility of the kitchen that differentiates CUT from most steakhouses. And thats why, despite NYC having so many good steakhouses already, it needs this one. It is sad that a restaurant with incredible food is half empty on a Saturday at 9 PM. However, I can't blame people as the service just isn't at the level of most restaurants at this price point. It did seem to improve a bit this time around (they had a team member who came over from CUT in Dubai and he seemed great, so they are trying). We'll be back for the food regardless, but hopefully this becomes the complete experience that the LA location is!",2,0,0,Robert M.,"Philadelphia, PA",9,17,0
5.0,9/11/2017,"This place is sexy. I took my babe here and she was impressed. Phenominal tasting food as you would expect from Puck. The staff will seriously buff you out. If you like dining in an exquisite feeling, sexy atmosphere, this is you. They should change the name to ""Cut Above"" because it really is. I want to go back again just to see my girls eyes sparkle in the dimly lit posh atmosphere. It is a real turn on.",0,0,0,Danny R.,"Brooklyn, New York, NY",0,2,0
5.0,9/11/2017,"This NYC location is more of an intimate/romantic setting than The Cut at Las Vegas. We enjoyed our experience at both locations, and the meat definitely speak quality! For appetizer we ordered the Suckling Pig & Crispy Belly, it came with steam buns and the tasty pork melts in your mouth. Instead of wagyu beef, this time my husband had the bone in ribeye and I ordered the 35 days dry-aged ribeye with a side of roasted bone marrow. Both steaks were perfectly cooked in our liking. However, can't say the same on our dessert Black Forest cake. But hey, you come to the The Cut for their steak and along with the attentive service, it still deserves a 5 stars!",2,0,1,Grace W.,"Long Island City, New York, NY",7,149,379
2.0,8/31/2017,"I went here on a dinner date a few weeks ago. I had great expectations but unfortunately my over all experience was sub par. From the dishes being undercooked, the service being inattentive, and the overall atmosphere not what I expected; I can say with certainty that I will not be coming back anytime soon.",0,0,0,Alison S.,"New York, NY",0,2,0
3.0,8/18/2017,"This review is based on my experience with their restaurant week menu. For appetizer, I got the corn tortelloni. I am a fan as I liked corn. As I cut the tortellonis, the filling often exploded which was satisfying to watch. The sauce was buttery and I really cleaned the plate. Unfortunately, the portion was rather small. I counted only five tortellonis. Given that it is a steakhouse from the notable Wolfgang Puck, I expected that they won't mess up my sirloin order. In fact, they screwed up all 5 orders. My medium rare looked like medium while my friend's medium looked rarer than mine. I had to exchange with her. My other friend's medium well looked like medium. My meat was not juicy and bland. The sauces (chimichurri and purree) helped to compensate for its blandness as they were seasoned well. All five of us were disappointed with the meat. Even I can cook better than that.Luckily the dessert was a saver. I chose morello cherry & black plumb 'crumble' which I enjoyed, particularly on the ice cream. CUT, better up your game.",0,0,0,Bevano L.,"Jersey City, NJ",86,105,263
3.0,8/15/2017,I usually take my lunch outside. Few days ago I went to CUT for having my lunch.they were offering a 3 course lunch prix fixe for $29 which was nice I thought. Food was delicious but not too good as I was expected.Service was average to me.,0,0,0,Leonard S.,"Astoria, New York, NY",31,29,2
3.0,8/12/2017,"I was staying at the Four Seasons and we had breakfast and dinner at Cut.  Breakfast was amazing.  Everything was beautiful and delicious.  Dinner was off to the same start.  The service was good.  The steaks were amazing.  The side dishes were really tiny, an order of patatas bravas had about 10 tiny potatoes. I ordered the skate. It was rancid. The server never checked on us to see if we liked our food (besides me, everyone at the table was really happy).  And they cleared my plate (completely untouched), and never asked if everything was okay.  It was clearly my fault for not calling over our server to complain, but the chef should have known that he was serving inedible dish (the smell).  So have a steak.  Stay away from the fish...and you will be fine.",0,0,0,Julia K.,"Santa Monica, CA",59,223,8
1.0,8/11/2017,"Was there a few weeks ago with a party of 9 to celebrate my sister's 50th bday because this WAS her favorite place. While the atmosphere is amazing, especially the bar area, it was a terrible experience. The service was terrible, orders were wrong and some didn't even show up! (What we did eat was delicious but not worth the aggravation) The staff seemed incompetent except for the sommelier who was great. Wolfgang Puck should be embarrassed to have his name on this restaurant.",0,0,0,Alyssa S.,"East Brunswick, NJ",95,12,14
5.0,8/7/2017,"I order takeout from this establishment regularly and the food is always very impressive. The homemade tortellini is a must order. They are a steakhouse and do not disappoint with that either. It is very tender and perfectly cooked. The only complaint I have is the food typically takes a while so keep that in mind. For sides, the sweet corn, both potatoes dishes, and polenta are all wonderful.",0,0,0,Chelsey F.,"New York, NY",81,154,56
3.0,8/6/2017,"This didn't ""cut"" it. Beautiful place, nice location if you are downtown, or in TriBeCa. Food was surprisingly mediocre.   8 oz filet was overlooked and a little tough, overly charred on the outside without much flavor.  Spinach was really heavy handed with garlic.  Salad and appetizers were the high points.  And the service was excellent -  very nice staff.  But overall, this was not up to par. There are probably 20 restaurants within a 10 min walk that would be far better choices.",2,0,0,Mike M.,"Apex, NC",6,93,9
2.0,7/28/2017,"I have been to Cut in Beverly Hills several times and other Wolfgang Puck owned restaurants generally very positive experiences which is why I return.  After reading some of the reviews here, consensus seems very mixed but I wanted to try it anyway and see for myself.  Disappointed to report that NYC location did deliver to the standard that has been set for a chef and restaurant group of this caliber.  Granted it was restaurant week lunch, but between the food and extremely slow service, I am not inclined to return.  Heirloom tomato salad came out with the produce sticker still on the tomato (see pic).  Restaurant Week steak was small and only ok, I understand that it's not the $180 wagyu but if you can't get to the price of the set menu and deliver the same quality then maybe don't put it on the menu?  Also they switched our steaks so I got the wrong temperature and didn't discover until I saw my friend's steak later (since she had to wait for her salad to be fixed after waiting a solid 10 minutes to find a waiter to flag down).  Hope they can get it together for regular dinner service, but seeing the gaps in service and knowing where it should be from my other visits to Cut BH, I'm doubtful.",0,0,0,Angie H.,"Greenwich Village, Manhattan, NY",0,1,2
4.0,7/26/2017,"Came for restaurant week lunch and had a very nice meal.  Bread was good; heirloom tomato with herbed farmer's cheese appetizer was delicious -- tomatoes were extremely fresh and tasty; and the skate was delicious - with yummy accompaniments.  My friends enjoyed their steak mains and the tortellini appetizer.  Only dish we didn't love was the strawberry doughnuts.  They were not warm and were not sweet enough.  I amSure they'd be better warmer and with more jelly, but as it was, the dish was disappointing.  Ambiance is cool, and I would definitely return - at least for restaurant week.",0,0,0,Marissa S.,"Manhattan, NY",17,267,285
