rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,3/21/2019,Excellent Saltimbocca alla Romana! And in general I absolutely recommend Eataly for any Italian foodie out there!Osteria della Pace restaurant has an amazing view and it's really charming both during the day and in the night.,0,0,0,Marco M.,"Brooklyn, NY",0,2,4
1.0,3/4/2019,"I came here March 2 for my father-in-law's 70th birthday. We got there a few minutes before our reservations and left our coats with the hostess. It was 6 adults and my two small kids. One look at the menu, and I knew my kids weren't going to eat anything there. The first waiter came by and my mother-in-law asked for cranberry juice. The waiter said they do not have soft drinks like that. My six year old raised her hand and asked for pizza. He was annoyed by this and never took our drink and food order. The second waiter came and took our order. He brought the complimentary bread over (which looked like little pieces of pizza to my kids). We asked if we can get more and he brought it over. The food came and it was so bad and bland. We are Dominican and Guyanese and enjoy a bit more flavor in our food. I asked the first waiter for the restroom for my kids and he pointed to the door where it would be. It was like our presence there bothered them. I looked around the room and noticed everyone there was white. Could this be a race thing, even though the waiters were all Spanish? The dessert menu was never offered to us. My sister-in-law asked the hostess if this place came bring over a cake for her dad's birthday and she said yes, but they never brought it, even after we asked an additional two more times. The bill was almost $300. The food was bad and the service was even worst. When we were leaving you can survey the place by hitting a button. We all gave a negative reviews. The guard suggested we speak to the General Manager. They listened to our experience, and said they would refund. They took my mother-in-law's credit card for an hour and came back and gave her the card. She then asked if it was refunded. They said no, because they gave her extra bread. So if she didn't ask, we would have thought it was refunded. Imagine waiting with two toddlers for over an hour to find out they were not giving a refund, a discount, or gift card....If we looked different, this situation would have been different. Shame on them for not treating everyone the same and ruining my father-in-law's birthday. I would never go back here or recommend this place!!!!!!!!",1,0,0,evelyn p.,"Brooklyn, NY",226,10,0
5.0,2/20/2019,"Had a fabulous dinner at Eataly's Osteria della Pace. I don't give out many 5 star reviews, but this was one of my beat meals of the year. The Brunello wine flight was exceptional. If you like Brunello - do NOT miss it.  The Burrata appetizer was amazing. The bell pepper reduction and almonds with it must be one of the tastiest combinations I have experienced with Buratta. For entree, I had the scallops which were magnificent. Cooked to a perfect tenderness, and the mushrooms which accompanied were made to go with these scallops!Fabulous service, delicious food, beautifully curated wines.  All around great experience!",0,0,0,Alison B.,"Scottsdale, AZ",81,166,25
4.0,2/15/2019,"I found this place on yelp as I was searching for a place for valentine's day dinner. I dint know that this restaurant is in the back of Eataly until I went inside. I usually come to eataly to have a pizza slice or some desserts from their bakery but never went inside the restaurant area. But it is surprisingly a very big area and the view is amazing. This area is also shared by other restaurant LA pizza and LA pasta.I had a reservation at 8 pm but we arrived early around 7:30 and they checked our coat as the table was ready. We started with some complimentary bread with extra virgin olive oil. Their were 3 different types of bread and 2 slices of each. I really liked the tomato focaccia bread. We ordered gnocchi sorrentina and Maialino from the Dinner menu. They also had a special valentine'd day menu. Our waiter told us that our order will take 15-20 mins and we were fine by that as we were on a window seat and the view was amazing, was seeing the WTC with all the colorful lights. Our order came in 15 mins, and both dishes looked amazing. Gnocchi - 4/5I was craving for a pasta but as soon as I saw gnocchi in the menu, I knew its going to my dinner. It came with melted burrata on the top, tomato sauce which was tasty but very less, should have been more on the plate. Gnocchi without sauce and burrata was bland, there was very little seasoning. Overall I liked it, with little more seasoning and more sauce it would have been perfect.Maialino - 4/5The grilled pork and the pork belly was really good but my husband dint like the vegetables that it came with. Their dessert menu looks really amazing but we were so full that we dint order any dessert. But they gave one fennel cookie and one small chocolate crisp as complimentary desserts. I had a great time, service was very good. Its ambiance is very fancy, a good place for a date. Restrooms are very clean and spacious.",2,2,2,Bhavnit K.,"Jersey City, NJ",139,195,1308
5.0,2/9/2019,"Nice view from the window, in the middle of the Financial Centre. Food is amazing. Very Italian, nice bread with octopus dish.",0,0,0,Ningrui Z.,"San Francisco, CA",1,3,0
3.0,2/7/2019,"Cute place to enjoy Restaurant Week lunch with co-workeres in the Fi Di area on the third floor with a sweeping view. Meat ball appetizer was like a meal! Fish on bed of kale was also delish. Nice bread, olive oil and lively atmosphere. However, you need a guide to find your way through the Eataly maze (drop crumbs behind you?).",0,0,0,M A.,"Manhattan, NY",2,78,0
5.0,1/17/2019,Enjoyed every part of my lunch. Amazing place to visit Eataly. A must go when you are in NYC,0,0,0,Stephen C.,"Westlake Village, CA",12,23,9
1.0,1/12/2019,"Saw this place in Eataly and thought it might be a good place to come for cocktails and light fare, but after encountering the attitude of the host, decided against going here. Too bad that you can't even be welcoming at the host stand.",2,0,0,John R.,"Manhattan, NY",1,3,0
4.0,1/10/2019,"I had a long day at work and was starving. I met up with a friend to grab a quick bite at Eataly downtown. I thought we were getting Pizza or Sandwishes but we ended up at Osteria della Pace at the back of Eataly. I thought it was just a bar when I walk in until the waiter took us to the dining area behind the bar. It was stunning because I didn't expect this view. The interior was very classy and gorgeous, the lighting was perfect for a date. We ordered a bottle of orange color wine the waiter recommended and it was impressive. The prosciutto and pasta dishes we order were absolutely delicious. I would definitely go back. Friendly staffs and I love the marble tables!",0,0,0,Karen S.,"Manhattan, New York, NY",5,34,41
5.0,1/2/2019,"Our New Year's day late lunch was very delicious and artfully presented!  The waiter and the busboy were very friendly and attentive.  When told about my sister's allergy to gluten, the waiter was able to clearly explain what was available and what adjustments they are able to make.The view looking out into the American Express area was very beautiful especially when it got darker and all the Christmas light decorations became more visible.If you're visiting, you can actually go shopping in the fabulous WTC/PATH (architect Calatrava's design) building and its world-class stores and coffee shops and then take a breather and dine here.  After dining, browse the extensive Italian goods sold within the same area as this restaurant!!!",0,0,0,Sam A.,"New York, NY",0,7,0
