rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/15/2019,"Bar none one of the best restaurants I've had the chance to eat at so far in NYC. Not only is the food diverse and incredible, the service is attentive, humorous and engaging. The space is relatively small and intimate; we were seated at the bar, but never felt too close or crowded out by other patrons. For the size, the noise management is fairly good too.For appetizers we ordered the caviar on sprint toast with wasabi aioli and the octopus. Both were incredible and I was amazed by the crunchy delicacy the shrimp toast had. Think of a fried shrimp ball from your favorite dim sum restaurant, but with an airy and crispy texture, and then topped with caviar to balance out the dish. Incredible.For our main course, we ordered the Scallops, Pig Out, and the special, which was a type of game which tasted similar to duck. Scallops were well seared and complimented the lentils and foam well, however the leftover lentils by themselves left something to be desired. The Pig Out and special were a parade of textures and flavors, from crunchy to fork-tender, and umami to spicy. The sides of Japanese Sweet Potato and Sticky Rice just helped to round everything out.It was a delectable meal for two for a decent price and I'll definitely be back to clear the rest of the menu!",0,0,0,Roger C.,"New York, NY",522,49,22
5.0,4/13/2019,Amazing dinner here with friends. The pork was delicious but that snow crab pasta...lawd have mercy. Beautiful on the inside and worthy of the michelin star. Def check it out,0,0,0,Parth D.,"New York, NY",0,17,22
4.0,4/9/2019,"Overall, Tuome is great.  I really wanted to give it 5 stars, but alas it wasn't an A+ meal.  I'll list the hits & missesHits: - Service is great.  My waitress was attentive / knowledgeable / all that you can ask for in a server.  - Chicken Liver was really good.  Of course we needed more bread so that we could lick the plate clean haha.  - Reasonable menu prices for the quality of food - Broccoli side dish.  I don't know what was in the sauce but I could've drunken it.  Misses- Pig out for two.  I reaaaalllly wanted to love this dish, but I found it very average and not worth the hype.  Even with the garlic & sriracha toppings, the whole dish felt very pedestrian.  Ugh.  The noodles were good though. - Chinese Beignets.  Again, I realllly wanted to love this dessert, but it was just OK for me.  I think I love the vanilla ice cream the most.  The caramel sauce tasted very lite to me.  Overall, it was a great experience, and Tuome is a great restuarant.  Will I be back though?  Not entirely sure.  Still, for what it is, I'd recommend Tuome to others.",0,0,0,James C.,"Manhattan, NY",65,34,6
5.0,4/5/2019,"The food is excellent, so is the service. A fusion restaurant doesn't always tempt diners but this one is unique in the fact that the combinations are creative and work well. Definitely recommended!",0,0,0,Rathore V.,"Hoboken, NJ",2,209,0
5.0,3/29/2019,"It's hard to sell me on Asian fusion, but I love Tuome. I get the same thing every time I come here, because it's so amazing I can never bring myself to try other things on the menu! To start, get the chicken liver mousse. I'm not the biggest foie gras/pate person, but this dish is incredible. The texture is so fluffy and light, which is great in contrast to the really rich, umami flavors of the chicken liver. You spread it on perfectly toasted squares of bread, with some sea salt and maple syrup. HEAVEN. I've also had the octopus with XO sauce, which is very good, but not as life-changing as the chicken liver mousse.Then you need the pig out for two -- this is some crispy squares of pork belly, a bowl of peanut noodles, and a little citrusy side salad. I am very picky when it comes to pork belly (it's generally too fatty for me), but I could eat this for days. The peanut sauce coating the noodles is also incredible. For dessert, get the beignets which come with goat's milk caramel. Ugh. So good.  I also really love the vibe of this restaurant. It's quiet, cozy, and feels like a neighborhood place. And it's never difficult to get a reservation or do a walk-in, even during prime time!",0,0,0,Vickie W.,"New York, NY",32,153,300
5.0,3/24/2019,Small charming restaurant with amazing food. Definitely worthy of a Michelin star!,0,0,0,Annette G.,"Flatiron, Manhattan, NY",1,4,0
5.0,3/22/2019,Love everything on this menu literally. I went with 6 people and order everything on the menu. Everything was excellent. It was so amazing I went again 5 days later. Make sure to get the crisp pork for two and the crab noodles. Great food! Great service.,0,0,0,Jay C.,"Manhattan, NY",1,7,0
5.0,3/18/2019,"Such a gem! A cute and cozy restaurant with completely mind-blowing food. We were a party four, completely blown away by the quality of the food and wine. It was my birthday and the restaurant manager prepared a special dessert for me (what a special treat! and it wasn't on the bill!). Highly recommended.",2,0,0,S. P.,"San Francisco, CA",0,47,0
4.0,3/14/2019,"Came for restaurant week with a group of four and did a mix of RW and regular menu. We all shared:+ Quack on brioche+ cauliflower with blue cheese miso( RW menu)+ chicken liver (RW menu)+ pig out for 2 (RW menu)+ Wagyu beef steak+ Snow crab noodles+ Japanese sweet potato+ Rice with duck sausage and kale+ chocolate torte (RW menu)+ Chinese beignets (RW menu)Highlight was the snow crab noodles, hands down. Other standouts were the chicken liver and Japanese sweet potato. Pig out was great, too. Definitely would return just for those noodles!!",0,0,0,Gab G.,"New York, NY",208,1651,5011
5.0,3/13/2019,"This restaurant is not what you would expect as it's in the heart of Alphabet City, on a relatively quiet street, but boy is it a gem in disguise. It recently received a one Michelin star rating for it's unique take on Chinese-inspired American food. This is a tapas style type of place, so definitely order a decent amount! I'd say 4-5 dishes make the perfect serving size for a couple ready for an amazing dining experience.For my first appetizer, I ordered the octopus. The dish is an art in itself as the brown butter is dished out in front of you from an icing style type of can. The second appetizer I got was the cauliflower dish with blue cheese miso, grape and herbs. This was amazing. The blue cheese miso kept your mouth guessing and pleasantly surprised as the saltiness of the miso coupled with the blue cheese added a nice punch.As for my main dish, I got the Pig Out (for two) and shared it with my boyfriend. This is the one dish here that is meant for two people, so the serving was much bigger. It also comes with garlic QQ noodles which were such a good pairing for the friend pork that had a sticky candied top. Definitely a must try! The salad on the side was probably one of the BEST arugula-based salads I've ever had. It had this sweet lychee-based dressing with candied walnuts and real lychees throughout. This dish was a gem and truly stood out to me.We didn't realize at first this dish came with noodles, so we decided to also order the rice, which was definitely a great option. This sticky rice was served classic Chinese style in the banana leaves. It had Chinese sausage and was steamed with duck fat. So rich and so flavorful.Highly recommend this spot and will definitely go back.",2,0,2,Sarah C.,"New York, NY",396,144,193
