rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/29/2019,"One of the best pastas in Brooklyn. House made. I can't wait for a pasta tasting menu at this place. That would be amazing. Pizza is crispy thin crust. Great favor. Americano is one of my favorite. Fresh mozzarella that comes out a station by order is amazing. And if you prefer smoked it can be done. Octopus is a must and so it the chicken. Staff is friendly and helpful. Drink menu is outstanding. It changes quite a bit which is cool because they are very creative in everything that's done, from front to the back of the house. Will definitely be back.",0,0,0,Benito M.,"Sunset Park, Brooklyn, NY",58,80,282
4.0,4/24/2019,"Definitely a good place for a nice dinner even for a walk-in (on a weeknight!) We had a reservation but there were tables available and the bar was completely empty on a Weds night. Really nice ambiance and seating, but the highlight for me was the speedy service and timing of food coming out so perfectly. We had the house bread, meatballs, zucchini flowers, ricotta gnudi and the garlic shrimp tagliolini. The house bread was AMAZING and came with a hummus + pesto dipping sauce that I wanted to cover all my future breads with. The bread also went well with the meatballs which were covered in sauce and tasty cheese. The ricotta gnudi was stuffed pasta shells with really soft cheese and a great tender short rib, probably my highlight. Would pass on the tagliolini as comparatively it was just like garlic noodles to me (prob because the gnudi was so amazing). They change the menu seasonally so would love to return :)",5,2,2,Hana S.,"Manhattan, New York, NY",409,602,198
5.0,4/20/2019,"Oh we Loved this place! I'm from Argentina, my boyfriend is from Brooklyn and we in California. We are always looking for unique and delicious food when we travel.. I do recommend this place and we will definitely revisit when we go back to NY. I had the ravioli stuffed with a ravioli.. perfect portion size. I hate ordering pasta because usually it seems like they cooked the whole box of pasta for one person. But this place does it right.",0,0,0,Luci R.,"Huntington Beach, CA",1,33,9
3.0,4/8/2019,"My family and I came here for dinner on a Sunday.  The service was good, and the waitress was very accommodating and friendly. However, the food was truly overrated.  I think that the menu items were certainly interesting and unique, especially the pasta dishes, but they did not execute well.  For a party of 5, we ordered the little gem lettuce salad, 2 orders of meatballs, and a margherita pizza to share. All of the appetizers were delicious, but the portions were tiny!  If you do decide to dine here, make sure to get the meatballs and the salad! I wanted to try the tempura-battered zucchini flowers which looked very good. Onto the pastas... My father and brother-in-law both ordered the cavatelli with pork sausage and broccoli rabe, and they both had to send their food back because the smell of the pork was really funky and unappetizing.  They described it to me as like a pungent lamb taste and smell.  They replaced their dishes with the green garlic taglioni with shrimp which they both seemed to enjoy. I ordered the eggplant parmesan which was boring and cold, to say the least. Also, the green garlic sauce left the worst, most bitter taste of raw garlic in my mouth. We also ordered the spaghetti alla chittara which was just a simple pomodoro spaghetti -- nothing special but all in all good. We didn't order dessert because nothing really sounded good and they were serving Oddfellows Ice Cream when you could walk up a couple of blocks to the actual Oddfellows shop and get ice cream for 15% cheaper than at Barano.  I probably will not be coming back to Barano, and I really don't understand all the hype around this place.",0,0,0,Erin L.,"New York, NY",16,9,1
5.0,3/14/2019,Returned here for the third time last week and sat at the bar to eat. Great service from the bartender (Cass?) and the roasted chicken I had was fantastic. Very nice to see an elevated spot like this get better and better. I will be back soon!,0,0,0,Nigel T.,"Brooklyn, NY",19,211,1
4.0,3/11/2019,"We checked out Barano and again a stellar dinner and cocktails. I tried the Master of Domain a bourbon cocktail that was just so well balanced. Also had vodka with a splash of pineapple. They were so delicious. Perfectly made. We had a beautiful antipasto platter with stracciatella, Italian hummus, warm bread, marinated veggies and beautifully thin prosciutto. It is one of my fav apps. We followed with the meatballs and eggplant Parmesan. The meatballs were soft and beautiful. Another fav. The eggplant was a little to al dente for me but still tasty. We tried for the first time a Gugli pasta with saffron, calabrian honey, pepper and pecorino cheese. One of my fav dishes! The pasta was so rich! Sweet and savory. Hot but not overly spicy. Just delicious. A must try.Another pasta dish was cavatelli with sausage and broccoli rabe. This was spicy but it had great flavor. Pasta was cooked perfectly al dente.  We ended the night with a dish of pignoli and rainbow cookies and a beautiful chocolate almond torte.  The coffee here is amazing. The ambience is romantic and rustic and it doesn't disappoint. Along with the staff, They are wonderful!  You must come visit.",7,3,5,Kim G.,"New York, NY",149,340,1077
5.0,3/10/2019,We had birthday party here. We ordered all kinds of pasta they have. It was amazing! Pizza was great. Pancakes was delicious. We will definitely come back:),0,0,0,Claire T.,"Long Island City, NY",76,20,56
3.0,2/23/2019,"How is it possible that a year later, I walk in here for dinner, and have the exact same experience!? That has never happened!After twenty long minutes of staring awkwardly at empty plates and glasses, no less than 9 servers and bussers begin immediately attending to our table, and an invisible switch gets flipped to turn things to supersonic speed. At that point, YOU GET YOUR ASS RUSHED. And we certainly weren't alone--unasked for checks were getting awkwardly dropped along our entire row of tables. Turn it over! Turn it over! On closer inspection the second time, with the smoked mirrors, and the faux marble walls (cheesy, painted) this place is looking to appeal to the New Jersey mall crowd that somehow got lost in Williamsburg and wants some pizza. Uy.The food, just like last time, is FINE. Pizzas are GOOD.You get murderous-looking SHEARS to cut your $25 pizza. Be prepared to cover your ears from the cheering from adjacent patrons: ""what???! I get to cut this myself!!!! YAY I'm half-drunk and I want nothing more than to messily start slicing through my own pizza splattering sauce on all my clothes!!!""A bro drunk on a cheap red wine loses a finger here nightly, I guarantee it. Pretentious, obnoxious, and foolhardy, the shears could get lost with nary a complaint. Not-terrible desserts are the size of a thimble, but Barano seems almost aghast at having you stay that long. You drop $150 on an experience that gets squeezed into 70 minutes. Just...why?! WHY. There. Are. So. Many. Better. Places.This is the know-nothing's version of an on-point Italian hotspot. However, they are friendly, and mean well: this place, graceless, trying too hard, and simultaneously lost in its confusing expectations, will never be for me.",1,0,0,Gabriel T.,"New York, NY",2,60,1
5.0,2/15/2019,"My boyfriend and I just went here for Valentine's Day. The food was so good, phenomenal actually. I was pretty full and couldn't finish everything entirely but tried my best! I would go back here again often. It smells like firewood burning when you walk in. The decor and overall aesthetic is pleasing and we'll laid out. Service was incredible! I will say, some of the two seater tables are pretty close to each-other, too close for comfort for me but wasn't that big of deal, just a heads up. So if you make a reservation I would ask to request a booth or something more secluded if that mores your style. I would totally recommend this place if you love amazing Italian food.It's right over the Williamsburg bridge!",0,0,0,Elisabeth R.,"New York, NY",0,3,3
5.0,2/14/2019,"This place is amazing. Went for Valentine's Day and I had a pretty late reservation (11pm). They were pleasant. The drinks were flawless. The bartender, Fred, knew exactly how to make my favorite drink. And it came back A1. Also, the playlist, curated by another bartender, John, was GOD level. I have all intention of returning.",1,0,2,John P.,"Mill Creek, Philadelphia, PA",6,4,1
