rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/25/2019,"I have dined here many times, and have had many good meals. Buttermilk Channel is a very nice restaurant that can get a bit loud once it fills up, and can be a bit pricey. I also don't  like waiting on a line to get into the sole bathroom in the place. Try the mussels, they are always tasty, and the toast points are perfect for sopping up the juice. They frequently run a steak special that is overpriced, but tasty, and wines by the glass can be great sometimes. I keep going back.",0,0,0,Randall M.,"Manhattan, New York, NY",0,37,0
5.0,4/23/2019,"Where can I possibly start?  From the moment you enter this place, the amount of natural light filling the room makes for a beautiful dining room.  The bar is to the right, and is truly a bustling spot.  I've been twice: once with girlfriends and the second with a friend and fellow blogger.  I'll share my review for both visits because I am OBSESSED with buttermilk channel.First visit:We came for lunch on a Friday.  Glad we had a reservation bc the place filled up quickly.  We ordered several items and were absolutely impressed by the quality of the dishes.  We ordered the grilled cheese, whipped ricotta toast, buttermilk chicken sando, and a side of veggies.  I had the grilled cheese (because I'm a kid at heart and grilled cheese is amazing) and it was so delicious.  It had apple and bacon and I was in HEAVEN.  I tried the fried chicken which was perfection, as well as ricotta toast.  We left with full bellies and smilesSecond visit:We came for brunch on a Sunday and it was so crowded ( no reservations on the weekends, so come super early!). I sat at the bar and chatted with the kindest bartender, I believe her name is Lauren.  She comped my glass of Prosecco which is the ultimate act of kindness, and my friend arrived.  We were seated rather quickly (within 10m of her arrival).  We ordered buttermilk biscuits, sausage with peppers and onions/egg scramble, pork chop, and the warm cinnamon bun. Holy Toledo Batman! This was just as delectable as my first visit.  The buttermilk biscuits were so moist, flaky, and a perfect amount of fluffy.  The eggs were scrambled to perfection too. The cinnamon bun was made of a cloud of warm, sweet drizzle, and my friends porkchop was tender and juicy.I'm already planning a third visit, more than likely sooo because I don't want to share anything. Also, pricing is quite perfect, and the service is incredible accommodating and kind (hi Elijah!) Cheers to you Buttermilk Channel",0,0,0,Morgan R.,"Brooklyn, NY",187,46,72
3.0,4/17/2019,I came here with reservations on a Sat (highly recommended) with a group of 6 ladies for a celebration. The waitstaff and vibe was really nice and we all enjoyed the experience. They even had a vegan option which was nice yet it had almost no protein (a spoon of quinoa?) so 2hrs later I was starving. Savagely hungry. After dinner we headed out to a location nearby where there was no food options (vegan or not) so I was a bit stuck. I thought I'd top the meal off with vegan ice cream from VanLeeuwen but that was sold out so everyone else shared desserts. I'd say as a vegan I wouldn't come back but the non-vegans seemed to enjoy and really love the options. When walking in the restaurant there had to be at least 1-2 chicken/waffles on every table so that's most likely a really popular entree people come for.,1,0,2,Candy B.,"Forest Hills, NY",403,385,187
5.0,4/17/2019,"While meeting up with my sister and brother in law for a trip to Europe, we decided we should see our last night home with some good ol American Fried Chicken. This was an amazing choice. Since we went on a Tuesday night, it wasn't too busy. They have a great selection of tasty specialty cocktails and wines. Our server was friendly and prompt. We started with homemade pickles and bacon maple almonds. I will admit that my sister and I weren't so sure about the almonds, but they were scrumptious. The pickles were delish too. All four of us ordered the chicken....best choice ever. The portion was huge. It was not overly greasy and was super crispy. The meat was so juicy and tender. You basically get a half chicken and a good portion of coleslaw. The coleslaw was light and crispy. Needless to say, we were all stuffed and happily so. I'd definitely recommend this place!EDIT: I forgot the cheddar waffle!!! I dunno how,  because I hate all of them. Added a little syrup and you're in heaven. Yum!",0,0,0,Brandi D.,"Tucson, AZ",150,49,13
4.0,4/15/2019,"Had dinner on Saturday evening, it was the first warm Spring day and outdoor seating was an option in which was a must. I met with the hostess on the inside which was bright and noisy, but not too loud.My date and I were the only ones outdoors in casual wear though dressy attire is nice. Service was absolutely wonderful, I definitely enjoyed our server. We did get a cocktail (Lucha Vavoom, tequila/honey/lemon) which wasn't what I call 'on the strong side' but matched well with the AMAZING meal we ate.I ordered the mushroom-barley veggie burger topped with thinly sliced bread and butter pickles, a cabbage slaw and french fries. Honestly the best veggie burger i've ever had. Split with my date was a grilled flat iron steak. Prefered on our end was rare style. Came with fingerlings and a herb salad (I disliked) and was drowned in beef au ju, yum yum slurp slurp.",0,0,0,Summer C.,"Boston, MA",0,9,0
4.0,4/14/2019,"Visited while on a date during the last restaurant week. I loved the decor and the service was great. We were seated at a communal table but we still had plenty of room. We ordered a salmon dish and their fried chicken. We ended up liking the salmon dish more. The fried chicken was good, but I was expecting more due to the hype I had received about Buttermilk Channel's chicken.",0,0,0,Juan C.,"Brooklyn, NY",32,30,20
3.0,4/6/2019,"Was a solid 3, if it was a bit cheaper would have been a 4....but its not so its a 3.Pretty busy place so service was a little run off their feet but everyone was having a nice sunny Saturday so was cool taking our time etc.",0,0,0,Dean C.,"Brooklyn, NY",8,28,1
5.0,4/1/2019,"Came here on a Sunday for brunch at 11am, and was quoted 1 hour wait for 4 people. The restaurant is rather small, with tables kinda on top of one another - definitely not a place to bring a stroller, in fact, they ask for you to leave it up front. There are also a few tables in the patio out front (less of a wait) and bar seating (first come, first served). The wait list is never ending here, it was one party after another coming into the restaurant. I believe they do take reservations, but we didn't realize until after we arrived. Finally after about 1 hour and 20 minutes, we were seated in a larger table by the front of the restaurant. We ordered their homemade pickles to start, and their buttermilk pancakes to share. The larger long pickles were delicious however, I wasn't a big fan of the ones that were sliced in thin pieces - they were very saturated in this tangy tasting pickle juice. The buttermilk pancakes came in an order of 3 super fluffy and delicious pancakes with a dusting of powdered sugar, served with butter and syrup.For the entree, I ordered the fried pork chop with cheddar waffles. It was a large piece of breaded pork chop, not too dry, and well seasoned. The cheddar waffles paired perfectly with it, just the right around of cheddar and not too heavy of a batter. It was also served with a small bed of greens. I tried my friend's mushroom scramble and it was pretty delicious. The scramble was served with a piece of hash brown that looked super crispy. I tried their classic Bloody Mary - the menu states it's very spicy (it's really not). The bloody was very thick and tasty. It is only served with a piece of pickle - no olives nor the works. They have another Bloody Mary option that is served with an east coast oyster sitting on top of the glass - it looked rather interesting. I will probably try that next time. Definitely one of my new favorite brunch spots in NYC. Highly recommend - just make sure you make a reservation!",1,0,0,Monica C.,"Brooklyn, NY",319,101,139
3.0,3/31/2019,"Gotta be honest, I do not understand the hype. Am I missing something? Hour wait. Average food. I'd compare it to good airport food. We had the salmon plate and grilled cheese with a side of biscuits. Not memorable.",0,0,0,Meryl D.,"Half Moon Bay, CA",0,4,0
4.0,3/31/2019,"Smart looking restaurant dressed in buttermilk yellow.  Filling up at 6:00 packed by 7:00 on a Saturday night.  This restauarant seemed to have it all: Good service, nice ambiance, and a fine selection of seafood, vegetable and meat dishes to choose from.  Seating at the bar for drinking and eating was relaxed and enjoyable.  Started with a couple cocktails.  Oysters from PEI, Mussels in a white wine sauce and Whole Trout with charred broccolini were all well prepared, delicious and enough tfor two of us to split with some room left to spare for a desert.  Solid 4 stars.",0,0,0,Lisa M.,"New York, NY",3,178,184
5.0,3/25/2019,"The pork chop and cheddar waffles you must try.The biscuits are amazingly delicious I did try the pecan French toast, had to share cos it's almost impossible to eat it all again except you have a super sweet tooth.Would definitely recommend/ come here again",1,0,1,Mirabel I.,"Brooklyn, NY",2,31,16
3.0,3/20/2019,"Ok I went here with high expectations and the fried chicken and waffle did not live up to it. The chicken was veryy dry, I had to cover it in the syrup just to make it tasty. The waffle was good but probably won't be back, I left a little underwhelmed.",2,3,3,Laurie C.,"Brooklyn, NY",28,94,190
5.0,3/15/2019,"* The Fried Chicken & Waffles is a MUST* The Corn Bread is delicious* The Mussles are a MUST HAVE!Overall, very good restaurant, great atmosphere.  I'll definitely be back!",0,0,0,Denrick R.,"Manhattan, New York, NY",0,3,0
4.0,3/14/2019,"My boyfriend and I shared an order of the hash short ribs, fried pork and cheddar waffles, a side of bacon and a single pancake. The portions were fairly large for my small stomach. In reality we could have probably just shared an entree with the two sides. The short rib hash were pretty disappointing. The highlight of the dish was probably just the two fried eggs. The rib was dry and had no flavor. The hash was just little pieces of potato. The next time I dine here, I would definitely skip the hash and probably just order an appetizer, the fried pork with cheddar waffles a side of bacon, and a single pancake.",1,0,0,Kristy C.,"New York, NY",420,132,60
5.0,3/11/2019,"I don't know if I've ever had a dish that was so good it made me angry, but the Pecan French Toast here did that. Angry because after my first bite, I didn't understand why I hadn't eaten it every weekend since moving to New York. It is a ""where have you been all my life?"" type dish--delicious, ethereal. Of course it's not good for you, and it's so rich I would recommend you bring along a dining companion or two and split it, but good lord, order it.The rest of the experience at Buttermilk Channel is just as good. I've only been there for brunch, but have eaten across the menu--from the scrambles to the grilled cheese--and can honestly recommend everything I've had.It is a wait, particularly if you show up at peak brunch hours (say, 11:30 onwards). There isn't much of a waiting area, either, but the waits are generally as advertised, and the weekend maitre d' is one of the nicest people I've ever met--genuine, welcoming and proactive. Give her a raise! Or maybe just free French toast for life.",0,0,0,John B.,"Mystic, CT",0,6,2
1.0,3/11/2019,"This has been one of my favorite places to dine in Brooklyn because of the menu and it was the place I met the great love of my life, until yesterday. Having ordered our meal and enjoying a side of Hash Browns until a hair was the first of my disappointing experience. While the manager came over, he was rather flat in his apology and made no offer of a guest recovery until my partner interjected the fact that this issue resulted in me not wanting to continue eating my meal. Further points include, One, we only saw our server twice and the second time was him dropping check and you really don't even want to know the observations of the kitchen and the actions of the entire crew including the Chef.   I know, as an Executive Chef there are many challenges in this business but it is my absolute undeniable responsibility as the last hands and eyes on every single plate to ensure and exceed every guests expectations.",1,0,0,Miles T.,"Brooklyn, Brooklyn, NY",0,1,0
3.0,3/8/2019,Not worth the 2 hour wait.. just to sit at a communal table. Chicken is good. Not the best.,0,0,0,Jennifer I.,"Brooklyn, NY",0,14,1
5.0,3/4/2019,"Amazing food always, cool vibes! My go to brunch spot! The fried pork shop and their pancakes are must-haves!",0,0,0,Vanessa C.,"Queens, New York, NY",92,7,0
5.0,3/4/2019,"Now, I wasn't sober when I went here. But I can confidently say that this place has THE best French Toast  in New York (ice cream and molasses. WHAT MORE COULD U WANT). *also* wait to be seated wasn't horrible, nor was the wait for the food!",0,0,0,Veronike L.,"New York, NY",0,9,11
5.0,3/2/2019,Loved this place. Took a chance on a random Saturday that they would have a table for 2 and they did! It was definitely packed so you knew it was going to be good. It looks a bit fancy but it's very affordable. The food was delicious my boyfriend won't stop talking about it. The staff was friendly and always showed up at the right time. Can't wait to go back!,0,0,0,Safak O.,"Woodside, NY",0,31,7
4.0,2/26/2019,"I had really high hopes for the pecan French toast after reading all the reviews but my sister and I were disappointed. My first bite of it was a letdown. It was way too sweet and indulgent for me esp since it was literally drenched in a pool of syrup. I feel like I gained 10 lbs and 4 cavities after eating this. On the other hand, the pork chop and cheddar waffles were surprisingly good. The pork chop was sliced thick, crisply breaded and seasoned well, and cooked perfectly. I didn't taste too much cheddar in the waffles but I think it was made with a corn meal batter which was an interesting change in a good way. I'll have to return for dinner to try to chicken and waffles!If you come here definitely get the buttermilk biscuits!! $6 for 2 of them that comes with butter and strawberry jam. They're huge, crispy on the outside and super soft on the inside.",1,0,0,Katy X.,"New York, NY",217,83,175
