rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/29/2019,Went here for lunch with me and a friend. We both walked away with stomach cramps and just a couple of hours later we were both in so much pain and had the worst food poising.Wanted to give this place a try because it looked good on insta. They also charged $24 for an OVERRATED steak salad with soggy lettuce. My friend had ceviche that was sour and barely editable. Would strongly recommend against going to this place.,0,0,0,Kate F.,"Civic Center, San Francisco, CA",58,3,0
4.0,4/15/2019,"Such a cute little spot - a little pricey but would definitely recommend sitting at the bar for Happy Hour pricing for a casual yet intimate dinner!The Salsas de Valiente is a good starter - my preference is the salsa verde. The pork belly taco was succulent but on the smaller side. The duck flautitos are small as well and a pass compared to other dishes. The Papas a la Mexicans were a great side to complement the rest of the items, but the churros are a MUST order - some of the best I've ever had.Staff was very friendly and attentive, and they made celebrating my friend's birthday very special. Can't wait to visit again!",0,0,0,S R.,"Manhattan, New York, NY",0,6,0
1.0,4/7/2019,"The terrible New York combination of mediocre food, tiny portions, terrible service, AND high ish prices. We ordered the guacamole starter ($20) and got  1/2 a cup of fine guacamole and some watery dips. Our cocktails were pretty good but they took over 20 mins. Our food (we all had the fajitas, not exactly hard to make) took over an hour and was so sub par that I didn't finish it. To make up for all of this, the manager sent over another round of drinks and forced tequila shots on us. We quite literally did not want to spend another minute in this restaurant so we barely touched the drinks and left. For the manager: when you have unhappy customers, don't send over MORE free drinks. Just comp the ones we already bought. Not everyone wants to leave their dinner blackout so they forget how bad it was.",1,0,0,Jack L.,"New York, NY",0,18,0
5.0,3/25/2019,"Will be back! Ordered the veggie quesadilla and added chicken. Even though we went a bit off-menu, this was our favorite dish! Rivaled by the tuna bites, which I could eat for days... We also had two drinks (mine was a smoky mescal mix take on a mule and his was the El Pino, which had a nice spice to it). The theme is fun - centered around a lottery game that's been played in Mexico since Colonial times. I walked away with a few pretty postcards.",0,0,0,Jackie K.,"Manhattan, NY",268,21,41
5.0,3/16/2019,"Excellent guac, fish tacos, margaritas, and background dance music. Sat at the bar which had no wait on a Saturday at lunch. Will be back!",0,0,0,Debbie A.,"Boston, MA",0,4,0
5.0,3/1/2019,"Great food amazing service and the drinks we're phenomenal. The bar tender Yuri was great!!! Definitely coming back to this location. Great ambiance. Good spot for lunch with friends, even a date. 5 stars!!",0,0,0,Ashley H.,"Manhattan, New York, NY",0,2,0
5.0,2/22/2019,"Drinks, Food and Dessert were awesome... music was good and kept us upbeat ! perfect place for a non rowdy but lit Friday night with friends .",0,0,0,Yariela C.,"Carolina, Puerto Rico",1,5,3
3.0,2/12/2019,"Came here thinking it was another place, which turned out to be right around the corner. I had made a reservation through Open Table, and when I was seated by the host, they asked if we wanted to be in the bar for Happy Hour menu or the main dinning area for the full menu. We chose the Happy Hour menu, but then they wouldn't verify my reservation for the points, which was kinda wonky tbh. The Happy Hour was fine prices for the neighborhood. It's an upscale taco place. Definitely splurge on the chips and salsas. The three kinds are truly delicious and they'll bring you more chips at no additional charge, which was a fortunate surprise. I got the pollo taco, which was good, not amazing, but pretty tasty. We also got the duck confit app which was super small for the price, but also tasty, so toss up on value there. It didn't get very busy on a Tuesday night. There are tables in the bar area for Happy Hour along with plenty of bar seating, and a large dining area for the full menu. I would recommend if you are interested in trying many different kinds of tacos that you do the Happy Hour where you pay per single taco and can mix and match, instead of on the full menu where you get two tacos per order and cannot mix and match those two.",1,0,0,Sarah B.,"New York, NY",103,159,40
3.0,2/10/2019,"This place have very good food. The service however, not good. The music was playing extremely loud. We requested to have the music turned down a bit so we could talk with each other. The water guy ended up spilling the water on my friend across the table from me. He was brand new so that is not a particular negative for me, as I understand learning can be bumpy. I would go again just not in a group.",0,0,0,Kody D.,"Redding, CA",2,17,11
4.0,2/2/2019,"Restaurant week lunch menu review:We went to la loteria on a weekday to a pretty empty restaurant. So we got to sit at the choicest corner. The space is very cute with motifs and unique decor.The restaurant week menu is quite expansive, unlike other places- so there is a lot to choose from. There were a lot of vegetarian choices as well, as is with all Mexican restaurants.We selected corn on the cob, empanadas and a queso dip as starters. Our mains were chicken & veggie tacos. The food was delicious and so loved the queso dip! The only issue we had was that open table had a $29 menu for lunch which included dessert but the restaurant had $26 menu which did not include dessert. But Our server was so sweet to bring us  a plate of churros on the house! This was an absolute steal at $26 per person!!",0,0,1,Garima K.,"Jersey City, NJ",159,138,150
5.0,1/30/2019,"Ok, so we came here yesterday for a friend's birthday. It was his 30th. There were 7 of us. The service was beyond outstanding. They let us come in early and decorate a little corner of the place by our table. They brought out our home made cake with candles, and then cut it and served it to us. They were super attentive in terms of refilling drinks, taking orders and bring the food out in a timely manner and I accidentally got a free wine. Didn't mind that at all. ;) [update: apparently they did charge for it, according to my friend. Oh well, still good!]In terms of the food, we started off with the guac and chips, and let me just say the guacamole was P E R F E C T. I'm not of Hispanic or Latin descent, but I am very picky about my guac. It needs to be seasoned to perfection, have right amount of lime, cilantro and onion. The avocado has to be fresh and the right color. This guac was all of that and beyond. I was starving when it arrived but it was just so fresh and yummy, I ate it like a maniac. Almost got full. Almost. If only it were so easy for me to get full. Oh, and it came with three little salsas. One was peanuty, almost Thai flavored. The second (my favorite) was cilantro and much like an Indian chutni. The third was tomatoey salsa. That one was ok. I had my standard Pinot Noir, while everyone else had cocktails and margaritas, so my glass got passed around the table for a ""smelling"" and everyone agreed it was going to EFF me up. And eff me up it did. Long story short, good wine. And everyone else loved their drinks as well. They have some fun margarita flavors like Hibiscus and Tamarind. Finally, the most important part. Food. The reason we chose this place is because they have so many great vegetarian options, and the birthday boy is vegetarian. I noticed on their menu that they also offer loads of gluten free options for Celiac peeps, which is nice. I had the Steak casadilla, suggested by the lovely waiter. My friends had the shrimp casadilla, the vegetable fajitas, the vegetable casadilla, the creamy rice and chicken and vegetable empanadas. All the food was very, very, good. All three varieties of casadillas were presented differently, which was cute, and there was no confusion as to which was whose. I only have two little comments. One is that the habanero hot sauce I requested was not spicy. At all. My spice tolerance is very high though, so factor that in. The second is that the empanadas are bit overpriced for what they are. I took a bite of each one, and for the price and the small size (pictured), I didn't find them exciting enough. Still, this place earned its 5 stars with excellent food, wine, and unmatched service.",0,0,1,Sophia H.,"Manhattan, NY",0,19,9
4.0,1/28/2019,"House-made salsa sampler, tangy ceviche, molcajete filled with guacamole, crispy pork belly tacos, creamy street corn... the list goes on. If you aren't sold yet, maybe there is no hope. La Loteria was a splendid experience; from the relaxed ambiance to the intricately crafted food and drinks. This place fills up quickly, but for good reason. I will definitely be making a return visit when I am back in the neighborhood!",0,0,0,Karl C.,"Wenham, MA",1,34,5
