rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,5/1/2019,"The food here is amazing. The place is small, intimate, and quiet. The food was absolutely delicious and the waiter was very nice and attentive. This is a great date spot for a quiet night out. This place is one of my favorites now !",0,0,0,Anastasiya M.,"Jersey City, NJ",252,15,1
4.0,4/28/2019,"Helloooooooooo 1000th review, so my ex took me here for my bday in March and there were a lot of things I loved about this place from the decor to the food to the service. They were short staffed the night we went but I really wouldn't have known since the service was still excellent. Fun fact: the restaurant is cash and Amex only, they only accept Amex as a credit card because Amex was the only company that gave the owner a chance to build his credit history, so as a thank you, he only accepts Amex. They opened in 2007 and that rule has not changed since they been in business.The food:Tartelette de Chèvre frais aux Echalotes, Truffes, Raisins confits et Voile de vieux Gruyère- Baked goat cheese tart with shallots, truffles, grape and a veil of Swiss age 180 days. This is one of their signature dishes and it was exceptional. This was my fav dish of the night and I am not even the biggest fan of goat cheese. I loved the goat cheese flavor and the tart portion was executed perfectly. yelp.com/user_local_phot…Pâté de Campagne Maison- Homemade pâté de campagne with pickles and salad. Pate. This was just OK to me, the pate didn't really feel like a pate, it felt more like a sausage and that kinda bugged me. I wasn't crazy about how aggressive the mustard flavor was and the pearl onions made my face pucker because it was so sour. yelp.com/user_local_phot…Tournedos Rossini- Seared filet mignon topped with Foie Gras, shallots, port red wine, truffle sauce. The steak was great, I loved the pairing of a filet with foie but the dish does come off super rich and a tad on the salty side, but still a dish to get. yelp.com/user_local_phot…Gnocchi Parisian au Gratin- With Truffles, Mornay sauce and Swiss cheese. This was good, I enjoyed the flavor and it was really unique how soft the gnocchi was, it was like soft little pillows. This dish, as well, comes off on the rich side but this was rich and creamy. yelp.com/user_local_phot…Carré d'Agneau au Jus de Truffes- Frenched rack of lamb with white wine, rosemary and truffle au jus. I loved the texture and flavor of the lamb, I loved just about everything about this dish except for the fact that it came off salty to me, think it may have been the sauce. For me, the salt level on this dish was very noticeable. yelp.com/user_local_phot…Big Profiteroles- Made with bitter sweet dark chocolate. Nice dish to finish the meal with, it's a pretty big dessert so it's one to share. I enjoyed the dough and vanilla ice cream, the dark choc drizzle tied everything nicely. yelp.com/user_local_phot…",19,8,16,Ben L.,"Queens, NY",978,1001,2785
4.0,4/12/2019,"Service was very good.  Food was excellent. Definitely worth having dinner here.  However,  the place is small and a little crowded on a Friday night. Great place to bring a date.",0,0,0,Stephen P.,"New York, NY",3,3,0
5.0,3/31/2019,"Absolutely the best! Romantic, superb food, lovely experience!  Decor and service great!  I did not need a reservation but we're glad we came early. The taste was the most remarkable. The tornadoes Rossini steak with foie gras was heavenly. This was my second time here and my husband and I feel like we found a secret. Some of the rare 4 star reviews seem to be from people who don't like food e.g. one said they usually feel the same way at all French restaurants!  Really?  Our experience has been great because the good is delicious and the service was on point",0,0,0,Nancy H.,"Los Angeles, CA",6,3,0
5.0,3/29/2019,"Heads up: It's an Amex/Cash only place (some sentiments attached there :))I absolutely loved the dinner at La Sirène! It's a cute little place ideal for a date or an intimate dinner. We received a very warm welcome from the hostess and were seated at a corner table for four even though we were just the two of us. The food was delicious - I liked the appetizers better than the entrees. We had the ravioli and goat cheese tart for apps, and the filet mignon and linguine for the main course. The little ravioli had very strong flavors of truffles and the tart was super rich and creamy - I liked it better. The filet mignon was perfect with the foie gras and the sauce adding a lot of flavors, however the linguine could've been better, it was very bland and dry. We also got the Profiteroles for dessert and it was delicious, but I might get something different next time.",0,0,0,Sreerupa N.,"Jersey City, NJ",185,6,14
5.0,3/29/2019,My friends are I came here for restaurant week. We had a 3 course meal served by the young French chef who definitely can cook. I simply died and went to food heaven. I had the Cornish hen that was so rich and moist. It had loads of delicious seasoned broth to dip your bread into. My friends and I were thrilled with this little French Bistro and will be back for more luscious food,0,0,0,Florence L.,"New York, NY",0,8,0
5.0,3/27/2019,"Today I just come there with my friend for dinner ..We Order some food and appetizer,overall food is good and service was friendly ..I recommend for duck breast was really good :) and the roasted pear also good ..",0,0,0,Raymond B.,"Sparks, NV",0,3,6
5.0,3/24/2019,"Viens dans ce petit restaurant!I came here and was blown away. For what the restaurant lacks in size it makes up in its authentic French food. First thing we had was the goat cheese tart and it was probably my favorite dish. It was tangy and creamy. Next was the French onion soup. I liked it, the onions were caramelized to perfections and there was a good cheese to bread to onion ratio. Following the appetizers, the cassoulet. It was the authentic rich stew with pieces of seasoned meat. Then the gnocchi, ""The French Mac & Cheese."" The sauce was thick and cheesy and the truffles on top curbed the thick, cheesy taste to a sharper, mature dish. Come to SoHo for this hidden gem!-zm",0,0,0,Zoë M.,"Washington, DC",0,21,41
5.0,3/21/2019,"Escargot, lamb & steak. All to perfection. Cozy and authentic to France. Felt like the next best thing to being in the real city of love!",0,0,0,Annmarie S.,"Branchville, NJ",1,3,1
3.0,3/4/2019,"It was fine, nothing was over the top special.  Beet salad was a lot of beets, but the cold brie added nothing to it.  A good blue cheese would have been much better.  Escargot was good but they seemed small for the size of the shells.  Rabbit again wasn't special, even a touch overcooked.  Filet Mignon was good and rich.  The long plate of sides they brought to the table were a highlight.  Chocolate lava cake barely had lava and tasted a bit bland.",1,1,1,Robin K.,"New York, NY",0,31,0
