rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/15/2019,"Sadly, I have been battling a year of challenges and was unable to post some reviews of memorable dining experiences long past due.  I'm so sad that the Kingsley is closed.  The Sunday brunch was divine with the amazing Bloody Mary Bar replete with every garnish imaginable.  I searched Kingsley out again after finding their business card in my To Review pile and shockingly, found out the restaurant is closed.  Sadness.",0,0,0,Lina K.,"Edgewater, NJ",443,565,63
1.0,9/23/2018,"Last night, Saturday Sept. 22, we had a long anticipated birthday dinner booked at Kingsley.  One person flew all the way in from San Francisco for the event.  We arrived at exactly on time at 7:30p for our reservation and the place was CLOSED.  No note on the door, no phone call in advance....nothing.  Opentable even emailed us the day before confirming our table.  We were not the only people with a reservation standing outside on the sidewalk wondering what the hell was going either.  Unacceptable and inexcusable. We had to scramble to find another place to eat at the last minute.An entire day later no one has reached out to us with an explanation or apology. Just terrible. Obviously we will NEVER be back. Shameful.",3,2,2,Peg D.,"Greenwich Village, Manhattan, NY",0,2,0
5.0,8/19/2018,"Lovely welcoming feel, good ambiance. Friendly staff and delicious food. Not an everyday price yet well worth it for the experience. Staff definitely care about sharing their love of the wonderfully prepared dishes, they are attentive but don't hover. They are what you wish all foodie places would be like. Relaxed yet high attention to detail for a sensory delight.",0,0,0,Lauren P.,"New York, NY",0,11,0
5.0,8/15/2018,"Next level food creations, wine pairings, and ambiance. You may be closer to breaking the bank than not but let me tell you - it's worth it.Great place to celebrate an occasion or a fancier formal date night.",0,0,0,Nikki R.,"Los Angeles, CA",5,25,31
3.0,8/2/2018,"Had dinner here during restaurant week. The restaurant itself is poshly decorated and dimly lit.. I had the BBQ chicken confit as a main.. the sauce was too red and tomatoe-like for my taste. Accompanied peppers and bacon was too salty, cornbread was pretty good. My friend had the striped bass. He liked it his meal. I tasted the bass and was underwhelmed. Service was good, all in all, I wasn't wooed.",0,0,0,Tekeya P.,"Flatlands, Brooklyn, NY",335,6,2
5.0,7/28/2018,"What a gem. How can you beat this quality of food for the price point?!? Just look at the pickle tater tots. The amount of work, love, and skill that goes into these tots is just inspiring. They're shredded pickles (I would bet pickled in house) shaped into tots and fried to the level of crisp that made me fear for the roof of my mouth in a good (great) way. Also delicious duh. Anyone saying otherwise.. duck outta here. Yall probably can't even make a ready to make costco tot right you salty self righteous Yelp yuppies.  Walking in on Ave b I was definitely not expecting food of this caliber. Every dish has the mark of a seasoned and inventive chef and an incredibly competent kitchen staff. We even got an amuse bouche sitting at the bar. (Speaking of the bar.. it has cushion underneath to keep from customers bumping their fragile little knees. Touches like that are really telling of the nature of the people who built it and a good signifier of the food to come) The octopus is cooked to perfection, so tender inside with the most delicate of char outside, and is enveloped in a little floof of umami yogurt and beets prepped TWO ways-one creamy almost like confit garlic, one  pickled for a refreshing break in texture and sour. The beef tartar, which I am usually not partial to ordering, is divine and crazy generous, heaps of herbaceous tendrils of meat somehow all individually coated in creamy, salty, eggy goodness. I will 10000% be back to try the 17$(?! But how)WAGYU burger.",0,0,0,Hyun L.,"New York, NY",0,15,1
2.0,7/20/2018,"Well this place certainly looks appetizing. From the bone marrow to the poached duck egg the menu lured me in. But unfortunately none of the items were over the top amazing. Foie Gras was okay, bone marrow was worth mentioning as I'd never had it before. Also had the halibut, and some of the mussels that it came with were bad, should probably not have been plated. The razor clams are worth trying if you've never seen a razor clam. They are long and chewy and in a ragu type sauce. When we got here a couple was leaving and asking for the check because they were tired of waiting for their food. We though they were impatient but an hour and a half later we were just getting our last dish, and not because we ate slow. Great name, good presentation, really eclectic menu but overall wouldn't be back. Now we know.",0,0,0,Keeley G.,"New York, NY",8,107,90
3.0,7/8/2018,"Came here for brunch on a Sunday. We were the only ones in the restaurant since we came right when they opened at noon. The prices were not too expensive $12-20. They also had a Build-you-Own Bloody Mary bar which isn't a bad deal for a pint. A couple of dishes were over-salted. The potatoes that came with my Eggs Florentine were completely covered in sea salt. At one point, we were even washing the potatoes with water so we could eat it. And the Wagyu burger mostly tasted like salt. The scallion pancake came out a bit soggy instead of crispy. The ambience is nice but I was not very impressed with their food.",0,0,0,Vivian C.,"Cincinnati, OH",420,118,523
5.0,6/18/2018,"I went to dinner on Father's Day and was expecting a long wait or a crowded restaruant, but was able to make reservations online and indicate if we preferred indoor/outdoor seating. Outdoor was small and a little loud with the air conditioners going, but the food and service definitely made up for it! The cocktails were really tasty and pretty strong. Our server was super nice and gave us a ton of information about how the food was prepared. It's tapas style, so anticiapte smaller portions. We ordered the bone marrow (it's carved out for you so nothing goes to waste), the cod (in a delcious miso sauce), the scallops (raw), and the asparagus and they were all a 10/10 for us. We thought we were all set but decided to order dessert and went with the blueberry cheescake with blue cheese. I'm not a fan of blue cheese, but the flavor was really faint, and made for a delicious contrast with the blueberry. The prices are on the moderate to pricey side. We're definitely going back, but sitting indoors this time.",1,0,0,Jennifer G.,"Elmhurst, NY",1,4,1
3.0,6/17/2018,"It's a decent neighborhood spot with outdoor seating. The food is good but not everything works. This was my second visit here. On the bar menu, the fried chicken, asparagus, and beef tartare were on point. The chicharrones with kim chi was tasty but nothing amazing. The pickle tots (tater tots with pickle mixed inside) were awkward even though I love both. I would skip it next time. Definitely do skip the deviled pork sliders as it was super dry. On the dinner menu, the bone marrow was too dressed for what it is. Too much was going on with it. Bone marrow just needs to be well salted, it's meat butter after all. The tagliatelle was tasty but extremely rich. Between the butter and ham consomme, you're getting a flavor bomb. It makes sense that as such, the portion is extremely tiny. You'll be hungry if that's all you ordered. The place of good and the staff is friendly. It's a decent place for a chill night.",0,0,0,Tony Y.,"New York, NY",250,177,1053
