rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/7/2019,"Good, not great.  The service was decent and attentive, the food was okay, and we ended up marginally satisfied.  Appetizers we ordered were the burrata plate and beet salad.  The portions for these 14-15$ plates were underwhelming.  The burrata was exceptionally watery and the beet salad appeared to be simply some beets and greens placed on a plate.  Our entrees were equally underwhelming- 20+ for rigatoni and ~34 for seabass.  The rigatoni was way too salty and the seabass (similar to the beet salad) appeared to be simply a small piece of seabass topped with some greens and a dollop of some sort of puree on the bottom.  It wasnt a bad meal, but for the price point we were expecting much more than what we saw.",0,0,0,M A.,"Ridgefield, NJ",363,16,43
3.0,2/24/2019,"We had a great meal...but we had to do it at home. The restaurant was overbooked, and we ended up waiting over an hour and a half before giving up and asking for take-out. At least the food was good.  We had made a reservation for 7:45pm, but received a call the night before asking if we would move our reservation to 8:15pm because they had a large party of 19 people coming in right before us. The space is small, so we were understanding and happy to accommodate the request. I was less happy when we arrived at 8:15pm, and the host told us we'd be waiting another twenty minutes, especially because there wasn't even space to sit while we waited. In fact, dessert for the large party hadn't even been served yet, and we waited another hour and a half. With no end in sight, we decided to order the food to go. The host was apologetic, and really did try to make it right by comping our meal. While we didn't get to enjoy the atmosphere of the restaurant, once we got home to eat, the food was good. The grilled octopus was fantastic as was the carpaccio, the rabbit ragu was flavorful albeit a bit over-seasoned, and the only complaint about the mushroom pasta was that there wasn't enough of it. All in all, we had a great meal, but the restaurant needs to work on its reservations. I guess you could say we just got unlucky with this one.",0,0,0,Nikki S.,"New York, NY",1,4,0
4.0,1/31/2019,"Had an excellent dinner on Monday night. My BF had the lamb sausages and I had the Pasta con funghi. Our starters were the duck liver and beet salad. Each were huge portions and delicious. Our server, Ridley was friendly and considerate, checking in with each course. After dinner, we went next door to the wine bar. There we order the wine, we had at dinner. Enjoyed conversation and watched a movie with other patrons.  Lydia, the bartender took very good care of us and our water glasses. A lovely enjoyable way to begin the week.",0,0,0,Dolores A.,"New York, NY",0,9,0
4.0,1/15/2019,"What a quiet and yummy gem! Looking for a great place to catch up with a childhood friend, Porcena was suggested and we were not disappointed. It was just great. Terrific service, incredible wine by the glass, and the food was creative, seasonal and delicious. I just loved it. I will definitely return.",0,0,0,Ruth F.,"San Francisco, CA",1,74,34
4.0,1/2/2019,"This is a difficult review to write.  I found most of the dishes forgettable, and the service was a little wacky (we sat for ten minutes before the server realized we were hers, but then we seemed to be handed off to another server?).  The room was warmly lit, and refreshingly scene-free, but we practically sat in the laps of the two parties next to us.  However, the lasagna!!!!!  I don't even know what prompted me to order it - I never order lasagna anywhere.  This was one of the best things I ate all year.  Delicate, yet deeply, richly flavored - it was soul satisfying, and the only reason I would go back.",0,0,0,Jessica D.,"New York, NY",4,158,0
5.0,12/29/2018,"Tasty pastas, only 20% fresh made, all good. Bread was whole-wheat tasty and served with infused oils.Lamb sausage on many menus..crudo scallops, and broccoli rape w garlic for apps Cote du Rhône BeauRenars was great. Choc cake dessert for birthday was a gift well enjoyed by all. Nice staff including a 9 year fellow from Mex.",0,0,0,Sean M.,"Ridgewood, NJ",251,34,59
4.0,12/26/2018,"Holiday trip to East Village with my wife. Looking for pasta at a quaint and cozy/romanticish restaurant that is not typical Italian-America, chicken parm red sauce etc. type place. Went 3/3 at Porsena with Pappardelle with hen of the woods, gnochetti with breadcrumbs, olives, anchovies and capers, and angnolotti with lamb sausage. All pastas very good. Music was a plus and service was fine. I'd definitely recommend it and would certainly come back. Olive oil cake and chocolate walnut cake were perfect ending to the meal.",0,0,0,Frank S.,"Mount Kisco, NY",0,7,0
4.0,12/25/2018,"Had a good experience here for a late night dinner. I enjoyed the food, and the pricing was reasonable (but a little high for the quality). The atmosphere is cozy and romantic, and the service was good.",0,0,0,Elena H.,"Mahwah, NJ",2,61,0
5.0,11/10/2018,"Suprised at the relatively low star rating.  I would rate it 4.5 stars.  I thought the food was really enjoyable.  We had calamari (the real kind), wilted salad, gnocchi, and the cheesecake.  Really tasty.  And the wines and desserts wines were lovely too.",0,0,0,Tess A.,"Woodside, CA",3,51,0
4.0,10/29/2018,"I want to start off by saying the food was INCREDIBLE. We were charged wrong amounts on the final receipt and additional seats that didn't attend. The payment process was frustrating and a waste of time, but other than that it was good!",0,0,0,Lelde N.,"Brooklyn, NY",77,102,0
