rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/5/2019,"Meh, it wasn't bad but you can get a better meal for marginally more money at Cut (@ Four Seasons) or even American Cut. I wouldn't really recommend or go back (& I live nearby). We went on a Friday night though as a walk in. It was close to capacity so if you do go, make a reservation.",0,0,0,Caitlin B.,"New York, NY",3,280,35
4.0,3/3/2019,In and out with the past left behind. Great menu and soups galore. Drink in the ambiance then the beer then the bourbons. Great any time of the day. Very friendly.,0,0,2,Dorothy H.,"Tallahassee, FL",8,5,3
5.0,2/9/2019,The best. Everything on the menu is so good. Very pleasant. Extremely polite and helpful waitstaff. One of my absolute favorites.,0,0,0,Rachel K.,"New York, NY",0,65,8
5.0,1/24/2019,There's a reason why this establishment has an impeccable reputation. Plain downright amazing. I eat out a lot but wouldn't come here if it wasn't for restaurant week. Just not in my budget Started with probably the most delicious soup I've ever had- bacon corn chowder. Creamy and piping hot. Filet mignon (rare) was perfect. Amazingly seasoned Key lime pie was perfect for ending and I have to say again the decaf coffee was the best I've ever tasted out! Would love to know what coffee they use. Fantastic service. Even parking after 7!!,3,0,1,Dona F.,"Staten Island, NY",29,239,730
5.0,1/17/2019,"Omg delicious! Waiter was so funny, nice and friendly. Loved the food that I ordered, we got two chicken Parms with mozzarella cheese on top! Delicious!",0,0,0,Erica B.,"Mantoloking, NJ",8,37,9
2.0,1/5/2019,"This is in hopes management reads this. Please check the schedule for 1/5/19. The second my daughter and I walked in the door, your hostess seemed annoyed and disinterested. She was annoyed when I asked for kids menu and then when we were seated in the bar area, got a major attitude when she changed the channel and I calmly asked if she could put the nfl playoffs back on. She rolled her eyes and said I am if you can see. Can't make this shit up. I ordered a Sauvignon blanc and the waitress on the bar forgot to get it. At least she was pleasant about it. The burger my daughter got was fantastic and my Chilean sea bass was great but the Brussel sprouts we cold. At that price point, get your shit together. Maybe I'm just spoiled in Chicago with all our incredible steak houses",0,0,0,Joey S.,"Chicago, IL",40,350,15
4.0,12/12/2018,"I had the privilege of attending an insurance industry party which the palm hosted.  The h'orderves where delicious, nice variety and enough to go around.  The staff were very accomodating from the servers to the bartenders. Bar had a great selection of wines and spirits.  The pre-fixed menu had great selection of meats and a Chilean Sea Bass. I ordered a NY Strip Steak with a nice pink center but didn't feel like the steak was tender, felt like the outside was tough.  The potatoes and Green beans were delicious. For dessert, I chose the Key Lime Pie which the Blueberry topping made it just a bit too sweet.   Surprisingly we didn't get coffee at the time which normally would compliment the dessert.  The overall experience was great. I would definitely come back and give it another opportunity.",0,0,0,Jose L.,"Yonkers, NY",213,143,122
5.0,12/2/2018,"What more can be said about the quality and service offered at this fabulous Tribeca restaurant. The food is outstanding only outdone by the fabulous service from the ENTIRE wait staff, from the fine waitress's , the fine gentleman that swept my table and provided clean linens and utensils to the man who packed our leftovers. And what more can be said about the GM Chris who buzzes around the dining hall continuously to ensure the service and quality is above standards.  He truly sets the tone for this fine establishment.  Even noticed Chris  outside in the rain hailing a cab for patrons while carrying their take home bag.  That's the example and that's why this is the place in TriBeCa I return to again and again and so will you.",0,0,0,Jim B.,"Staten Island, Staten Island, NY",0,103,57
2.0,11/30/2018,"Great service and the food is fine, for the most part. Unfortunately, got food poisoning from the seafood special - Chilean seabass, langoustines, etc in tomato broth. Get delivery from this place with things that are always on the menu without a problem usually, btw. However, I would stay away from the seafood specials.",0,0,0,M P.,"Manhattan, NY",47,24,0
3.0,11/14/2018,"A great ribeye. But I go to a high-end steakhouse for the vibe -- this place has no vibe. In a place this expensive, the bartender shouldn't be wearing blue jeans. Busboys should ask before removing plates. There didn't seem to be any seasoned staff -- everyone was very young with no real social skills that make for an elevated experience like some of the top steakhouses in Manhattan. I'm going back to Keen's next time.",0,0,0,Citizen Cliff G.,"Red Bank, NJ",131,119,0
