rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/22/2019,"Insanely good.  Burger was delicious, fried chicken moist and so tender it was like filet mignon (but chicken).  Great service.  We are tourists so likely will never be back, but it was one of the best meals we had.  I wish I could have tried breakfast.",0,0,0,Mike D.,"San Diego, CA",0,144,1
5.0,4/14/2019,"I took some visiting friend to Nickel & Diner and we all LOVED it! It's a beautiful space with great cocktails & great menu. Great spot for after-work happy hour, and Felix who served us made us feel right at home! I will be back soon!!",0,0,0,Leah R.,"Tucker, GA",0,7,0
5.0,4/14/2019,"Cute, simple, clean and very organized little diner. Customer service is perfect and very educated on the area and how to travel To all the must see places. Great music too. Hip with spicy vibes just like the two of us",0,0,0,Jessica V.,"Kennewick, WA",648,6,15
4.0,4/13/2019,"Not your typical diner. Very modern and lovely inside. My coworker and I stopped in for a quick lunch one day around 1:15pm. It was packed! We were able to get one of the last tables available and seated right away. The menu is a bit pricy. $18 for a chicken sandwich and $10 or so for the vegetable soup. The chicken sandwich did not disappoint (besides for the price). It was a thick piece of white chicken and fried crispy with coleslaw on top of it. I gave half to my friend because it was too much for me. The sandwiches do come with fries so it justifies the price slightly. The service was fine, nothing great, although I understand they were very busy with the lunch crowd. I didn't exactly love this place, but I didn't dislike it. Not sure if I would return.",0,0,0,J K.,"New York, NY",4,164,95
5.0,4/11/2019,"Had dinner tonight with friends, it was so comfortable with no pressure of staying almost 3 hours. The food was wonderful and the wine was just right. It was a lovely evening indeed and we certainly would come again.",0,0,0,Lilli P.,"San Francisco, CA",0,1,0
1.0,4/11/2019,Not very pro. 3 out of 3 times have come in at 8:30 and kitchen is not open because there's only one person in. Stuff happens but it's a pretty unreliable spot.,1,0,0,alex l.,"Long Island City, NY",118,18,7
5.0,4/5/2019,Best place for brunch and dinner. The manager is a great host and made the dinner a very enjoyable one. I love this place and continue to come back!,0,0,0,Wanessa Y.,"Manhattan, NY",2,2,0
3.0,4/3/2019,"I went back recently and honestly, I'm so shocked and not as impressed! I loved Nickel & Diner when it first opened and I visited. The food was more flavorful and creative when it first opened. Versus now, it feels like the portion is a lot smaller, food is less creative and it taste mediocre.I brought my friends from Seattle here as I haven't been here for a couple of months now and I was extremely disappointed from the whole experience. I thought I was bringing my friends to an amazing brunch spot but.. it was just mediocre.Hope they can change my mind again!",1,0,1,Suki W.,"New York, NY",140,180,1395
5.0,4/3/2019,This is probably one of my favorite brunch spots! I walked in and was instantly attracted to the interior design. The hostess seated me quickly and the waitress walked me through the menu. The food was amazing and was cooked perfectly. Will definitely come back to try the rest of the menu!,0,0,0,Anny L.,"Brooklyn, Brooklyn, NY",0,6,5
5.0,3/31/2019,Best Burger I've ever had! It's so juicy and perfectly assembled!!! Even the fries are good! Next time I visit NY definitely will stop by again. The diner is so cute and the servers so kind!,0,0,0,Ysabel S.,"Sunnyvale, CA",231,18,5
