rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,11/24/2018,"Wow. I can't believe how horribleThis place is. With all the pomp and circumstance around DB's name. The place was horrible. I should have known when I walked into an empty restaurant that it would be bad. I was in the area and thought I would stop in with a friend and we both had bad dishes and starters. Find a better alternative, there are many!!!",0,0,0,James S.,"Maplewood, NJ",1,20,3
5.0,11/11/2018,Arrived here for lunch around 2:30pm.  It was empty so we thought the place was closed but it wasn't.  And I can said I'm glad it wasn't the food was so on point. We all enjoyed our meals and were able to have a great conversation without having to yell or anything.  Highly recommend this place for lunch.  Haven't been for dinner yet but will soon and I will report back to you.,1,0,0,Madd M.,"Brooklyn, Brooklyn, NY",2,19,10
5.0,10/22/2018,"David Burke kitchen was amazing. The staff and chief were exceptional. Miles, our server, was so entertaining and kept the table laughing. The food was delicious, especially the tender octopus and pesto pasta. Chef Kim created delicious dishes that were beyond what I could have ever imagine! Loved the food.",0,0,0,Raquel J.,"Tustin, CA",121,10,1
2.0,10/18/2018,"I had breakfast here twice. I wish I never had. Omelette, bagel, pancakes were fine the first day - nothing out of the ordinary. We only came back because we had to catch an early train the last day. There were only one other guest in the entire restaurant. Yet, it took forever for the food and coffee to arrive. When it finally arrived, we were served cold poached eggs with runny whites, cold hash browns and cold cappuccinos. The manager took them off the bill without being asked which was nice.",0,1,0,Lise P.,"Manhattan, New York, NY",0,5,0
2.0,10/1/2018,"Went there for lunch. The entire restaurant has only about 6-7 tables seated but service was sooo slowwww and poor. Took about 20 minutes to get the orders in, appetizers we're about about 25 minutes and drinks didn't come out until after the apps. Another 25 minutes for entree. Now we were in a rush to we had to ask for the dessert (included in the meal) and check at the same time. The restaurant really dropped a lot from its hay day.",0,0,0,Joe D.,"Lyndhurst, NJ",1,40,1
4.0,9/17/2018,"Service was great, the selection was subpar on a Saturday afternoon. I ordered a frozen drink which ended up making me nauseous. Probably because it was too sweet. I had the brioche french toast, which was good but the middle was extremely soggy. That's the main reason I don't order french toast but if I do it has to be a bread thick enough to withstand the heavy milk and eggs. The setup is nice and my friend's food was actually really good. She had some type of egg bake with potatoes and mushrooms. I'd definitely go back for dinner.",0,0,0,Amira A.,"Brooklyn, NY",397,761,449
5.0,8/26/2018,We came here for the restaurant week event. Compared to our experience in other restaurant week restaurants I think David Burke kitchen is really generous about the food! They don't give you a smaller portion or simpler menu. Everything you can order! (Except for some that you have to add some extra money) I really liked the tuna tartare with their homemade chips. That's a combination I've never tried before. The entrees are both SO GOOD. The scallop is very fresh and the lamb ribs are so tender! (I think it's medium rare but it doesn't smell at all!!) and for dessert we did a cheese cake lollipop tree. We thought it'll be another fancy dessert just looking good but taste not. But it actually was really tasty! I'd love to come back again for this dinning experience.,0,0,0,Johnny Yueh Han L.,"Manhattan, NY",146,49,263
4.0,8/22/2018,"Came in on a Sunday night for dinner and was literally the only table in the place. Shared the smoked duck breast and the clams and mussels apps. Really liked the later. The duck was more like a salad with duck on it - good but not what I expected. I had scallops for my main. Good dinner portion and good sides with it. Had the chocolate malt cake for dessert. It was sort of dry, the best part was the caramel popcorn on top.",0,0,0,Jen B.,"New York, NY",220,23,14
4.0,8/21/2018,"Really liked the environment and the food! although the waitress was impolite but i would come back again just for the food. To order: burger, cheesecake lollipop!",0,0,0,Catherine C.,"Flatiron, Manhattan, NY",390,102,148
5.0,8/13/2018,"Such a great experience! I'll admit,reading the past reviews made me a little skeptical of the place but the staff, food and atmosphere completely blew my mind. Maybe I had such a great experience because it was Sunday night and I arrived an hour before the kitchen closed, but the staff didn't rush my boyfriend and I at all. The whole staff was so accommodating, for example: it was drizzling when we got there and all the tables outside with covers were taken, the hostess offered to set up an umbrella for us and the bussers rushed to get us the table set. My boyfriend and I had the crispy zucchini and the duck breast salad to start and, OMG I highly recommend the salad. The duck breast was so tender and the balsamic glaze is to die for. We paired our dinner with their shiraz rosè, it was light and refreshing with a few tannins to it. Definitely ask for the wine to be extra cold for the perfect sip! For our entree, we had the pan seared scallops, the rack of lamb, a side of asparagus and french fries( because you can never go wrong with french fries), the scallops were a bit fishy but the sauce it's served in balanced the dish. The rack of lamb was AMAZING, so juicy and flavorful. My only complaint is that the asparagus had too much garlic( literally more than 2 teaspoons full of chopped garlic on that dish) but the view and the rest of the meal was so good,it didn't really bother me. The cheesecake tree is a MUST!",1,0,0,Yamii N.,"Queens, NY",191,11,5
5.0,8/12/2018,We came here for brunch during the restaurant week. This is one of the few places that allows you to choose an appetizer and an entree from their menu for the restaurant week. The hostess was kind and promptly showed us to our table. We opted to sit on the terrace as the day was really nice. The place itself was very nice and cozy. We got two brunch cocktails which was only okay when compared to the food. We got the smoked salmon and the coconut yogurt as appetizers. They were both very delicious. We had the French toast and the goat cheese omelette as our entree. The French toast was excellent. The goat cheese omelette was well done which can along with a salad and maple bacon which was delicious. I would definitely recommend this place to anyone looking for good food and ambience.,0,0,1,Anusha T.,"Manhattan, New York, NY",55,64,53
3.0,8/11/2018,"We came for restaurant week lunch at $26pp. The food was average but the service and ambiance are great. There is also a garden area if you'd like to eat onside on a rooftop.For appetizers, we ordered the Clams and Mussels and the Duck Breast. Both were good but the C&M was a bit too salty. For entrees, we ordered the chicken and branzino. The branzino was well cooked and tasty but a bit fishy - could use a bit more cooking wine. The chicken was overcooked but tender.",0,0,0,Judy S.,"New York, NY",322,1183,1192
