rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/22/2019,"Love this place for thirty years great staff owners and romantic,the shrimp with garlic oil and the dessert are great highly recommended",0,0,0,Mark C.,"Queens, Queens, NY",0,1,0
3.0,4/22/2019,"Mediocre food (no anchovies on Caesar, pasta cold, horrible martini) mediocre service (inattentive waiter, never told specials, given bad table as solo diner when restaurant half full). Also, diner behind me felt food was undercooked. 3 separate staff members came over to debate the point with him. To his credit the customer kept his cool and just insisted it was underdone. There has to be better in this neighborhood.",0,0,0,Kimberly S.,"Los Angeles, CA",57,69,50
5.0,4/20/2019,"Cozy and welcoming with a generous menu. I had chicken parmigiana and my bf had the gnocchi and both were amazing. Our server was so very nice and went out of his way to make sure we enjoyed our evening. Great service, food and atmosphere!",0,0,0,Matilda A.,"Ottawa, IL",31,10,6
5.0,4/15/2019,A fantastic lunch experience for the four of us. The Asiago mushrooms were amazing. We all wanted pasta and shared. The pasta was perfectly prepared and the sauces were all unique. The waiter's suggestions were all spot on. I could eat here every meal.,0,0,0,K L.,"Knoxville, TN",0,6,1
2.0,4/8/2019,"Great little place for a home style Italian meal. The ambiance was nice, the wait staff attentive, and the food was good (wish the calamari wasn't as chewy).  BUT be careful when you sign your receipts though.  The bill they brought me initially was $152.97 (for a party of 3, 2 adults and 1 child). I gave them my credit card and they charged it $230.82 and that wasn't including tip.  So somehow the bill turned from $152.97 to $230, and b/c I was in the middle of talking at the table, I almost gave them a 20% tip on top of the incorrect $230.  Luckily, I realized that they added a $45 bottle of Chardonnay to my bill! (which we had never ordered; we only had 2 cocktails). the $45 bottle of Chardonnay was mixed in with all the dishes we ordered, and when I told them about it, the waiter said he gave me the wrong bill.  But how could it be the wrong bill if it had the same other items we had ordered during our meal?  It was definitely a little too sketchy for me.  Then when I got home, I noticed another error, they cocktails were listed as $14/cocktail, but I was charged $15/cocktail.  Review your bill line-item-by-line-item and confirm that the price on the menu is what you were charged.",0,0,0,Rita S.,"New York, NY",47,33,16
5.0,4/6/2019,"Had lunch here with two friends while visiting the Big Apple! It was delicious from start to finish and everywhere in between! Start with an assorted basket of chilled breads and wonderful cracker-like breadsticks with sesame seeds. I started my luncheon with a bowl of the ""soup of the day"" which was some sort of white beans with pasta ($7.95) - this was a large bowl of soup and quite tasty. For my entree,  I chose the Fettucine Bolognese from the lunch menu ($12.00); a  generous portion and delicious! I also had a sumptuous glass of red sangria, in a large wine glass that was also fabulous and included fresh fruit in the drink ($14.00) Highly recommended!",1,0,1,Sandy R.,"Fort Myers, FL",37,313,451
1.0,4/6/2019,"Awful!  I went there years ago with friends but swore I'd NEVER go back!  Made a big mistake today, my friend wanted to try it, so I gave in!  AWFUL!  Food mediocre...Prices thru the roof...in addition after spending $400 for mediocre meals...We were sitting & chatting after paying the check, & they actually had the gall to ask us to leave because people were waiting to sit!  UNCONSCIONABLE!",0,0,0,Fran R.,"Manhattan, NY",29,3,0
5.0,4/5/2019,"The restaurant is right in the heart of NYC's Little Italy and the food is incredible. Family ""surprised"" me by taking me there for my birthday and at the end of dinner...yes, the waiters sang ""Buon Compleanno"" (Happy Birthday in Italian).  If you're in NYC and you're in the mood for Italian food (why wouldn't you be?), THIS IS THE PLACE TO GO! Now don't make me repeat myself. This is the real thing. Oh, and if you can't find what you like on their outrageously diverse menu, ask the waiter for something off menu, and they're sure to accommodate!",2,1,1,Jim W.,"Alexandria, VA",366,197,171
5.0,3/30/2019,Wow. What a delicious meal we had tonight with friends who highly recommended Il Cortile Restaurant On Mulberry St. We Sat in the Garden Room & they had live music which was wonderful. Service & Staff was outstanding. We had several appetizers & everything was delicious . The Veal Piccata was so tender you could cut it with a fork. The Bronzino was one of the best with a perfectly cooked rice. The Rib Eye Steak was huge & delicious. We finished our meals with ice cream & Lava Cake. I would definitely recommend this place for a delicious dinner.,1,0,0,Vivian R.,"Huntington Station, NY",108,192,1060
5.0,3/27/2019,This place has fantastic food from the bread all the way up in the waiters are extremely professional and courteousIf you are in New York City you have to try this place,0,0,0,Jon C.,"Vallejo, CA",127,4,4
5.0,3/21/2019,"Best fettuccine Parma! Wonderful service. If I lived here I would come all the time!!! Wonderful ambience, the patio with a skylight is wonderful. The pastas are all fresh and delicious and the calamari even tastes like it was caught outside. Delicious, delicious, delicious!!!",0,0,0,Elena R.,"Las Vegas, NV",0,3,3
5.0,3/12/2019,Food was exceptional!! Service was impeccable!! Great spot for some real hearty Italian food!!,0,0,0,Sacheen V.,"East Williamsburg, Brooklyn, NY",80,70,160
5.0,3/9/2019,"I came here 3 Summers ago and had such a spectacular experience that I came back today. Everything was just as wonderful, from the staff to the food to the ambiance. I would recommend it highly to anyone that comes to Little Italy.",0,0,0,Chip C.,"New Orleans, LA",0,2,0
4.0,3/3/2019,There last night for dinner party of twelve. Great waiter friendly helpful rest of staff. Great table location. music a bit loud. Still nice touch. Food took awhile to get there but main meal worth the wait. All 12 dishes delivered less than 60 seconds apart. All hot and presented nicely. And the food was very good. 12 different dishes. Some custom ordered due to allergies and yet still tasted very good. Worth visiting again.,0,0,0,H S.,"Town of Redding, CT",0,8,0
5.0,2/18/2019,I want to live here forever. The ambiance is absolutely incredible and the staff was so friendly and a joy to be around. They are authentically Italian and the food was tremendous. I will absolutely be returning as soon as I can.,0,0,0,Cecilia S.,"Manhattan, New York, NY",287,2,0
3.0,2/17/2019,"Hostess was lovely and garden room is very pretty and comfortable BUT food takes an extremely long  time to be prepared. The food was delicious but portions are small. Gluten free pasta is avail and good and they are accommodating.  Our waiter was nice but we had to ask for water refills twice and it took a very long time to get check. Our coffee never came at all, however they did take that and 2 desserts of the check. Do not order flourless chocolate cake - it was awful. All in all, will probably not return.",0,0,0,Laura P.,"Briarcliff Manor, NY",0,27,0
4.0,2/17/2019,"Delicious food, beautiful ambiance. Nice selection at moderate prices. Able to be seated immediately mid afternoon. Staff is friendly and courteous. Would definitely go back.",0,0,0,Steve S.,"Haverhill, MA",0,3,3
4.0,1/27/2019,"Once you get past the horrible hostess, everything was wonderful. The wait staff are attentive and knowledgeable, the food is wonderful. Not our first experience there and definitely one of my favorite restaurants In Little Italy",0,0,0,Erika R.,"Manhattan, NY",1,4,1
5.0,1/21/2019,"OMG, it's one of the best fine food in little Italy especially the garden skylight room so elegant and delicious food! I love it always we had many many dinners there for over 30 years I've been eating there!",1,0,0,Francis C.,"New York, NY",45,34,83
5.0,1/19/2019,"I hadn't been back to NY in over 7 years and this time, it was for a business meeting. My fiancé joined me and to help give him a crash course in some of NY's best eats, we had dinner at Il Cortile. From the food to the service, everything was amazing. Our waiter was Vincenzo and it's clear that service and this community is in his blood. We watched him cheer up a crying little girl at a table across from ours with a Shirley Temple (and extra cherries), making jokes until her tears faded away. When my fiancé's muscles came, he insisted he take a piece of toast from the bread basket and let it soak in the broth for a few minutes and then eat it to really be blown away...even calling my fiancé his ""son from another woman"". And when an obnoxious patron complained about a dish he swore he ordered 10 years ago that had cream in it now didn't, Vincenzo was nothing but a gentleman and polite and handled an uncomfortable situation with class and dignity, even making a point to personally walk over to each table who still had patrons at them and apologize. The food: outstanding. My chicken parm was definitely hand-pounded and breaded perfectly. The cheese phenomenal and the sauce...if I could have put it in my pockets to bring back home on my flight, I would have!  My favorite, the buratta app with roasted pears we started with. Salty and sweat with balsamic vinegar. My only regret...we didn't save room for dessert!",1,0,0,Dana S.,"Wake Forest, NC",131,3,0
5.0,1/18/2019,Excellence from start to finish. Appetizer meatball was great. I had the special chicken with eggplant and mozzarella in a picatta-like sauce. My wife had a pasta that was considered the signature dish. Simple but awesome. We ordered whatever was recommended by our server. He was superb. The glass attrium seating area felt like Italy. I would highly recommend this restaurant.,0,0,0,Curt W.,"Blythewood, SC",1,91,3
3.0,1/15/2019,"Ok restaurant. Came here at 2 pm a Tuesday so the place weren't exactly crowded. Food was ok. Nothing that really stood out, but still good.",0,0,0,Daniel H.,"Gamla Staden, Malmö, Sweden",0,11,0
1.0,1/12/2019,"This was the worst meal I've had in New York, and is laughably overpriced. I live in Manhattan and enjoy trying new restaurants every weekend.. Never have I felt so robbed after eating somewhere. The food was bland, stale, cold, and expensive. The restaurant has terrible acoustics, neon lights, and feels like a Little Italy cruise ship cafeteria. This is not classic Italian; please do not waste your money here.",0,0,0,Jane T.,"Manhattan, New York, NY",0,1,0
1.0,1/11/2019,"Came here a few times and the food is mediocre at best but I absolutely won't be returning after the way the hostess treated my party when I went there recently. We made a reservation hours earlier and called to confirm and she said we were good. We show up and there is a line and we finally get to the hostess and she said there is no record of our reservation. As we attempt to explain to her how we called earlier she gave us a serious attitude and said things like ""why are you mad? Look at her face."" It was so rude that the people behind heard it and left. Byou can tell this isnt the first time she has treated customers like this. After insulting us and being snotty we left and got dinner at the restaurant next store which was much better anyway. Listen if your service is garbage at least make up for it with the food. This place is not worth going to unless you want to be treated like crap for overpriced bland food.I'll be bringing my personal and work business dinners anywhere else. Don't give this place your money.",3,0,0,S H.,"Manhattan, NY",0,79,4
5.0,1/2/2019,"Although the place looks a little old and run down it was a very good meal. All the pasta dishes were great. Staff was friendly and prompt. Great spot in little Italy, old style real Italian food.",0,0,0,Maxwell Z.,"North Dallas, Dallas, TX",3,69,59
3.0,12/31/2018,"Wonderful restaurant until about an hour later. Started off the new year with taking care of my sister and dad who had the same dish, speckled chicken bow tie pasta dish. Both are vomiting. Will not be back. They took all my monies.",0,0,0,Brynn T.,"Gilbert, AZ",17,1,0
5.0,12/28/2018,"Went here on Christmas Day for dinner for 6.  I cannot say enough good things about the restaurant and our experience.  The dining room decor and ambiance made our Christmas meal feel really special.  The food was exceptional.  I had my favorite, linguini and clams in white sauce, and it was excellent.  The other members of our party were equally thrilled with all their entrees as well.  The pricing was also seemed very reasonable and portions were generous.  Would not hesitate to recommend this place to any of my friends and will definitely be looking to return here in the future.",0,0,0,Michael J.,"Huntington Station, NY",1,5,0
5.0,12/24/2018,"What would a new york trip be without eating Italian in Little Italy? My boyfriend got the Lobster ravioli and I got the seafood linguine. My dish was so delicious! Tons of seafood like squid, scallops, clams, shrimp, and mussels. However there was not much linguine. I got it with red sauce. My boyfriend enjoyed his lobster ravoli which had a lot of lobster meat as well. The servers and workers were all very nice and attentive! The ambiance was romantic with lot of decorations and candlelight. It was very cozy! Totaled around $68(?). Lovely place.",0,0,0,Lorraine C.,"Lorton, VA",191,104,34
5.0,12/23/2018,Love the holiday ambiance. Service was excellent. Cocktails were delicious. Wonderful !,0,0,0,TamS ..,"Smithtown, NY",0,234,1060
1.0,12/22/2018,"This is hands down one of the worst establishments I have ever been to. My reservation was for 7:30 p.m. and I was told my table would be ready in 5-10 minutes and that they overbooked for the evening. I watched 4-5 tables being sat who had reservation times after mine! When I asked the host for the 2nd time I was assured that the table was being prepared. I then watched a reservation for 8:05 be seated while I was still waiting. I then told her that it was absurd that I had a 7:30 reservation and it was now 8:10 and I was still waiting. We watched the 8:05 reservation (patron) hand the host a $20 bill! This is insane. I left with my girlfriend and when we were leaving we did not even get a ""Sorry"" for the time I wasted standing in their establishment. I was always a Angelos on Mulberry patron and when they open back up I will recommend Angelos to everyone I come in contact with. If you go to this restaurant, you will be disappointed.",3,1,0,Mark M.,"Shavertown, PA",149,1,0
5.0,12/22/2018,"Wonderful old school italian restaurant in Little Italy.Fantastic drinks, food and service in a spacious yet cozy atmosphere with a talented vocalist singing in the background.I was in the general area for an appointment and  suggested going to an authentic place in little Italy.  My friend found this place on yelp with positive reviews. Ambiance.  The garden area was really lovely. Mini Lights, flowers and plants scattered throughout the charming Italian decor give the restaurant a cozy warmth.  After dinner we sat on a sofa in a lounge area behind the singer and felt like we were in an Italian relatives cozy living room. Very comfortable and inviting. Service.Very Attentive, personable and knowledgeable, recommending wonderful drinks and entrees.  Food and drinks.The festive holiday martini was minty and delicious. And the after dinner expresso martini was wonderful.  - stuffed mushrooms.  Very good.-  creamy lobster tortellini. Incredible!-  ravioli.  Tried my friends and the pasta was a perfect el Dante with a fantastic sauce.- dessert off the extensive menu was a heavenly chocolate peanut butter creation that was out of this world.  Definitely recommend for friends, family or a date.",12,7,14,Lisa F.,"New York, NY",379,486,1198
5.0,12/17/2018,I celebrated my birthday dinner with my sisters on our trip to NYC this week. We just happened to be in Little Italy and stumbled across II Cortile and I'm extremely glad we did. The restaurant was beautifully decorated with Christmas lights and the staff were all genuinely nice people. Good food. Good drinks. Good vibes. All for a reasonable price and we had left overs(: I will definitely visit again next time I'm in NYC. 5 stars for me!! &Thank you to the staff for making my birthday so special !!,0,0,0,Ally L.,"Sacramento, CA",0,3,4
2.0,12/17/2018,"Good food, but they strongly favor their repeat clientele. So if you enjoy being served at a restaurant and you're new to this place, then you should avoid it unless you come at an odd hour.Came here previously and had a good experience, but came here again with my friends to show them some good Italian food, and was extremely disappointed. Me and a couple other groups were waiting to be seated or to be put on a list, and literally 3 new groups passed us up. Not only that, but the hostess gave the front group attitude for inquiring about why these other groups passed us. Ended up leaving to eat across the street.I understand that the restaurant has strong loyal customer base, but if that is the case, don't complain about Little Italy businesses dying because milleniels don't want to eat old school Italian food.",2,0,0,Raymond F.,"Brooklyn, NY",23,176,0
4.0,12/14/2018,"The food was amazing, however they seated us in the back on the balcony type area, next to the service bar, where a Christmas party was happening. We pretty much sat behind where they had the DJ. So much for a romantic dinner. I'm almost suspecting they did this because we are younger (late 20s) and we were dressed pretty casually (jeans and t-shirts). Despite our seating issue, the food really was perfect. Eggplant rollatini and rigatoni alla vodka..great choices.",0,0,0,S. S.,"Port St. Lucie, FL",91,4,26
5.0,12/14/2018,"For my daughter's 21st birthday she wanted to dine at a nice restaurant in little Italy. Il Cortile was highly recommended by a friend. It was definitely worth the trip into the city. When we arrived they seemed somewhat busy and we were seated immediately to another room where there were still some tables available. The décor was typical to a upscale Italian Restaurant decorated nicely for the Holidays. It a had very warm and comfortable feel to it. Our waiter -came over and welcomed us. We first ordered a bottle of Prosecco for a birthday toast. We skipped the apps because we heard the portions were healthy. My wife and I ordered the Capellini Piselli e Prosciutto Speciali, (Capellini with meat sauce, tomatoes, prosciutto, mushroom, peas & cream), The birthday girl ordered the Chicken Parmigiana, hey boyfriend had the Pepite di Gnocchi (Potato dough stuffed with chicken, spinach & mascarpone), and my other daughter had the Rigatoni ""Principe di Napoli"" (""Prince of Naples"" rigatoni with filetto di pomodoro, prosciutto & Mozzarella). All our meals were delicious and plentiful, most of us could not finish our dinners. Then they gave the birthday girl a complimentary desert, a small portion of Tiramisu. She said it was awesome.Throughout dinner a local band came in and played happy birthday to those celebrating birthdays and Christmas Carols to each table. A very nice touch to the evening. Could have not been better if we had planned it. Just perfect. ,",16,6,20,Frank M.,"New Hyde Park, NY",210,159,1476
