rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/16/2019,"Amazing dinner experience.  The wine, Buffalo mozzarella appetizer and pasta special was excellent.  The tiramisu was to die for.",0,0,0,Ishwari S.,"Las Vegas, NV",15,2,0
5.0,4/16/2019,This is one of our go to Italian restaurant in the neighborhood. The staff is super friendly. They've known our daughter since she was born and always make us feel at home. The food is always good. Our favorite are the tagliatelle bolognese and the spinach raviolis.,0,0,0,Marie C.,"Hell's Kitchen, Manhattan, NY",0,5,0
5.0,4/10/2019,"I've been to this restaurant many times as it's in my neighborhood and I've been blown away with the food every time. The Branzino is probably my fav, but the salmon, all the pastas and breaded saffron rice balls appetizer were just as yummy! The ambiance at this restaurant is beautiful and the staff is super friendly and very informed on the best wine pairings for each dish. My fav Italian restaurant/wine bar by far in the downtown area!",1,0,0,Reena P.,"Washington, DC",81,2,0
5.0,3/18/2019,I ordered a steak to go which was delicious. A big peace of meat came with spinach and fantastic bread with olive oil. I refused on potatoes. I am a tiny girl but finished it all because I just couldn't stop eating this juicy flavorful meal. Best dinner!,0,0,0,Stubble B.,"Mount Hope, KS",0,4,0
5.0,3/14/2019,Carlos (server and Bryan (bartender) were fenomenal! Super friendly and professional. We had a lovely time and definitely will be back next time we visit NYC,0,0,0,Maciel G.,"Houston, TX",22,73,208
4.0,3/7/2019,"I passed by Felice multiple times a week but discounted it since I assumed it was just an average hotel restaurant. I came here on the recommendation of a friend. The restaurant is very large inside, very dimly lit, and accepts reservations. It's a great place to get together with a bunch of friends over good food, and a fun ambiance. We ordered the meatballs appetizer - super delicious, super saucy, great taste and texture. We also ordered the Linguine di Mare. The linguini noodles were a good texture, and there was plenty of seafood to last the whole dish! I wish that the sauce were slightly stronger/more flavorful but altogether the dish was really good! We also got the Fettucine alla Bolognese and this dish was SO good. Loved the red sauce, loved the veal, and the pasta really tied everything together. Would definitely come back for this Fettucine dish!",1,0,0,Amy F.,"New York, NY",201,73,115
4.0,3/6/2019,"My frirnd takes me here for lunch. It's a very adorable little place. The decor is simple and pretty. The food was great. We had the mussel appetizer. It was soft, sweet and melt in your mouth. Interested fettuccine alla bolognese was great. Perfect blend of meat sauce and pasta was definitely al dente.  My friend had pappardelle con salsissia - the sweet sausage was great as well. If I had one complain would be the amount of time it took for dishes to arrive.  We ran out of time and will have to try dessert another time. But definitely will come back.",0,0,1,Kathy W.,"Jersey City, NJ",5,74,196
4.0,3/4/2019,"For aesthetics alone, this place is 5 stars. You walk in and the walls are bookshelves with actual books on them and the walls are also lined with bottles of wine. Two of my favorite things in the world. The books are also removable, I may have fiddled with them because there is nothing I hate more than fake bookshelves. The wine was not removable. I came here for my company's Christmas party before the holidays and we had the entire top floor and private room to ourselves. It was really nicely set up. The bar had available a few wines and beers as well as open bar for us to imbibe in. I really enjoyed the red wine that was selected.Our dinner was first served with two rounds of appetizers. Not going to lie, I was almost pretty much full after the appetizer round. Veal meatballs, baked eggplant in tomato sauce, arancini, burrata, some kind of deep fried chickpea fritter. Not sure if I'm forgetting anything but all solid. Really liked the chickpea thing and the eggplant and meatballs. The arancini was alright but could be cheesier. For the next course we were given the option of penne in a tomato sauce or ravioli with spinach and ricotta in a brown butter sage sauce. Regrets on not going with the ravioli because the penne was just fine. For the secondi we had the choice of salmon and chicken milanese. I went with the salmon and it was perfectly cooked but again, regrets on not going with the chicken because that was the largest slab of meat I've seen in a minute. I tried a bite and it was super flavorful. Salmon was also very tender and nice. The shining star out of everything though was the desert. Everything was just a-okay tasting until I had the Tortino di Gianduia. Chocolate hazelnut cake surprise whatever. It tasted like I was eating a giant Ferrero Rocher ball. The gelato was also amazing tasting as I merrily ate away at my coworker's abandoned ice cream. I had a flight the next morning and couldn't move or breathe. Passed out like a fat baby. But will say, the shining points were the appetizers and desert for me.",6,2,4,Ingrid S.,"Brooklyn, NY",843,1384,11457
4.0,3/3/2019,"Smallish location in the Financial District that was very quiet for a Valentine's Day lunch.  A date invited me and it definitely had the ambiance and intimacy you'd want for a date.  Service was top notch and the entree I had for lunch was really good and filling.  If asked again, I'd go back.",1,1,2,Monica T.,"New York, NY",235,1924,25
2.0,1/29/2019,"So this is an updated review.  We recently went for restaurant week and booked a table on open table which I had the email confirmation for.  When we arrived they had no record of our reservation, the hostess went to the get the manager and I showed her on my phone that we did have a reservation.  The manager came over and hemmed and hawed oh where shall I put you  while we stood there awkwardly, there was a table for 4 and he said well I can seat you there but if a larger party comes, blah blah blah, we were ready to leave and did I mention we live in the area and go there all the time? He should never have made this our problem.  He then made two tables for two out of the 4 top and we were seated.  I did joke that we would gladly sit at the large table for 6 he assured me that it was reserved and the party was coming at any minute, well they never came we ate and left and was still empty.  The food at Felice is great, I have no complaints, I had the crostini with ricotta and honey which was delicious and the chicken Milanese, I wish they would've had the lasagna on the special menu because that is delicious.  My Husband had the pappadrelle with sausage not so good.  The service that night was awful as well, almost like a skeleton crew was working.  The drinks are fabulous kudos to the bartender.   I think the manager needs to have a customer service training.  We will be back but not so fast.",0,0,0,Moe M.,"Manhattan, NY",5,72,3
5.0,1/13/2019,"Perfect date night spot. Great ambiance. Great food. Great Service. SERVICE. My girlfriend and I received the greatest service we've had in NYC. We arrived at Felice without reservations at 7pm on Saturday. The host had all of his tables reserved, but worked us in anyways. He gave us a larger table that was reserved at 8:15pm but made it clear we could stay until then or sit at the bar. We gladly took the table (btw, the host helped the couple before us in the same way, incredible service!). Then our server took care of us for the rest of the night. He gave us an incredible wine recommendation, was attentive without being disruptive, and our wine glasses were never empty. My gf and I split an entree and he pre-split it for us and brought it out on two separate plates without us asking (thank you!). AMBIANCE. The lighting was dim, the restaurant was a buzz with chatter from the other guests, but there was enough space that you didn't feel like you were on top of the other ppl. It's exactly what you want for a romantic date and I wish more places could master this.FOOD. We split a bottle of the Sagrantino di Montefalco, Bocale from Umbria (which was dry-red and strong on its own but paired well with the food). We got the cheese plater, Linguine de Mare, and the tiramisu. All great, especially the Linguine de Mare. It had a great red sauce and wasn't too fishy. Thanks for the great date Felice! Will absolutely return and recommend you take that special someone to a nice date here.",0,0,0,Jorge G.,"New York, NY",211,2,0
5.0,1/9/2019,This is one of the best Italian restaurants I've EVER been to. The service was phenomenal and the waiters had our glasses refilled within minutes of taking one sip. The food was delicious and everyone was very friendly. 10/10 would recommend.,0,0,0,Jordan Nichole B.,"Manhattan, New York, NY",0,5,0
4.0,1/7/2019,"Location is very low key. I was not expecting such an intimate vibe, but was pleasantly surprised. In terms of food, I can only speak for the arancini and the fusilli with burrata dish which were both fine. One small thing to keep in mind though is, if you're trying be healthy and substituting for whole wheat pasta, you'll get a whole wheat linguine and not the homemade fusilli-- the same probably goes for the other pasta dishes as well.",0,0,0,Ron W.,"New York, NY",1,119,318
5.0,1/4/2019,"I have been here several time. Outstanding staff ( the GM Mina is the best ), one of the best services around! Highly recommended",0,0,0,Lea T.,"Brooklyn, NY",18,6,0
3.0,12/26/2018,Tucked away in Wall Street we dined late Saturday night and it was empty. Loved the intimacy and the entire staff. We weren't rushed and the food arrived as ordered in a timely fashion. The rice balls were great. Salmon was good. Branzino was good. I would have liked a little more cauliflower. Minestrone soup was very good. I'd visit again if we were staying at the hotel. Loved the staff and would love to try a few different entrees next time to enjoy some of their homemade recipes.,0,0,0,Amy S.,"Morristown, NJ",12,95,172
4.0,12/15/2018,"We stayed in Guild Hall, so this was a logical choice for breakfast. It was a bit on the pricy side (like $42 pricy for two coffees, an oatmeal, and a granola and yogurt bowl).... but everything tasted amazingly delicious. It was obvious that only the finest and freshest ingredients were used... and for the quality and the convenience, it was worth it.",1,0,1,Jody G.,"Buffalo, NY",168,831,229
5.0,12/14/2018,"I had several holiday parties to attend and this one was in the Wall Street area. The restaurant is located in the ThompsonHotel. This is an Italian restaurant that has great ambiance that makes you feel as if you could be in Italy. The service was outstanding. We had a special pre-fix menu that contained food from the regular menu. What I liked most was that you did not need to ask for anything, the wait staff was there at every turn to remove plates, refill the wine and water, etc. The hostess was bubbly and made sure that everyone was having a good time. The meal was served family style and we had ample food for the group of 14. The appetizers we shared was the Arnancini- breaded saffron risotto balls, mozzarella and sun dried tomatoes. Caprese Salad, Artichoke Salad , beets, avocado, sliced almonds, parmigiana and basil dressing. My entree was the salmon which was pan-seared with sautéed broccoli and sun-dried tomato pesto. There was also a choice of a sliced sirloin steak, Fettuccine Alla Bolognese, Fusilli with tomato sauce and creamy Burrata. For desert I had the chocolate gelato although there was a also a choice of Tiramisu and Pumpkin Cheesecake. There menu offers a lot of choices and they have a nice wine selection. They offer a nice house wine although for red we chose bottles of 2016 Kith & Kin which was a Cabernet Sauvignon from the Napa Valley. The restaurant charged a fair price of $80. You can purchase the bottle retail for anywhere from $27 to $35. The wine was great and we went through a number of bottles. We really didn't drink the white and had 1 bottle of Meroi which was a 2016 Sauvignon from Italy. We paid $60 and you can purchase the white at retail for about $25. This was a great experience, even though it is the hotel it was a comfortable, non-rushed experience. We spent about 4 hours there and the time just flew. I would recommend Felice for a great night out.",5,0,1,Brian M.,"Brooklyn, NY",383,107,711
2.0,12/9/2018,Too noisy. Food is fine but my dish was too salty. Slow service. For this price I expect better.,0,0,0,Katherine B.,"Manhattan, NY",0,62,0
4.0,12/1/2018,"Decent Italian restaurant, went with a friend for Thursday drinks and dinner. The food and drinks were decent. Nothing extraordinary however decent for a regular Italian place. The ambience downstairs is nicer than upstairs. We had a walk-in so they seated us upstairs, try getting a table downstairs. The bread was good and the chili vodka cocktail we ordered was delicious. All and all decent experience.",0,0,0,Megha G.,"Midtown East, Manhattan, NY",28,38,7
5.0,11/27/2018,"Delicious food and a very accommodating hostess on a busy night, made for a delightful evening out.  I highly recommended this restaurant.",0,0,0,Silvia G.,"Memphis, TN",0,1,0
3.0,11/17/2018,"It was a nice place to pass by and a good option given it was literally just below our hotel.The staff was really friendly and helpful, always immediately available.We had the melanzane parmigiana which was really tasty, and also the salmon tartar (the raw materials were very good, but it didn't feel like a tartar). For main, we ordered the burger which was good but not the best we have had.Overall, good place to go for lunch if you have no other options, but wouldn't necessarily go back. 3.5 stars would describe it fine!",0,0,0,Felix V.,"Manhattan, New York, NY",65,25,13
5.0,11/10/2018,"Super delicious food and great service! We came for dinner without a reservation and they were able to find us a table, appetizers and minestrone soup were great as well as branzini fish!",0,0,0,Renata Y.,"Sanford, NC",18,2,0
5.0,10/31/2018,"Came here for my birthday dinner last night, and Felice exceeded my expectations. We had the Caprese salad, which was among the best we've had. I got the Seafood Linguine and my partner had the special pasta of the day which was a mushroom with truffle cream. Both were made to perfection! Not too heavy, not too salty, but perfectly seasoned. Topped it off with their Tiramisu and called it a night. Will come back again!",0,0,0,Christine T.,"Brooklyn, NY",1,3,2
4.0,10/28/2018,"Very good food. Entrees are a little pricey, but its a good restaursnt overall. Service was fairly attentive and our waiter made good recommendations. Nice place for a weekend meal.",0,0,0,Jeremy R.,"New York, NY",0,61,0
