rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,3/28/2019,You better be RICH!  Very very expensive...went there for a gala after performance dinner for rich patrons of the ballet.  RICH!  Could never afford it my self as one of the artists.  Oh well...,0,0,0,Markie P.,"Manhattan, NY",0,16,17
5.0,2/4/2019,First time there and very much liked lunch. We don't like the uptown branch so were surprised. Restaurant is comfortable and light. No problem with noise. Food is terrific. Staff is professional and nice. There is no up-selling.....unlike the uptown branch.,0,0,0,Yan Z.,"Manhattan, New York, NY",29,14,3
5.0,1/31/2019,Love the venue - magnificent high ceilings. Food is amazing. Burrata to die for. Everything was excellent.,0,0,0,Ewelina A.,"New York, NY",4,12,27
1.0,1/1/2019,"We came here for New Years and had booked the most expensive VIP experience/table they had. We spent A LOT, and I mean A LOT, thousands of dollars to be able to have a memorable New Year's Eve experience. We flew all the way from Europe for this night. When we arrived, we had to give the doorman $200 TO LET US IN as the VIP line was even bigger than the general admission line. When we went inside, everything went really slow and by the time we were done with coatcheck, we were escorted to our table. Only then to find out that OTHER PEOPLE WERE SEATED AT OUR TABLE. We then had to wait and wait and wait (it was 11.30 by now CRAZY STRESSFUL), then they proceeded to give us a table at a general admission area, we refused because WE PAID FOR THE VIP AREA. What they had done was, they gave our table away to people that bribed them with cash. Eventually they put up another table NEXT to the VIP area, in the middle of the hallway pretty much. We had no other choice but to accept it or leave, so we sat down but because it was in the middle of the general dance floor, every drunk person started putting cups and empty glasses on our PRIVATE TABLE. Then they started picking at our food ON OUR PRIVATE TABLE. As the night went on, drunk people started hanging their coats ON OUR PRIVATE TABLE. Sitting down, ON OUR PRIVATE SEATS. All of this didn't happen to the people that they gave our initial table to because they were in a secluded VIP area where we supposed to be.We travel all over the world. Our family and friends will never, ever visit ANY Cipriani restaurant or venue again. We will stop hosting our charity events at Cipriani venues and discourage anyone to go there if they ask us. Thank you for ruining our New Year's eve, Cipriani.",5,2,0,K T.,"Manhattan, New York, NY",0,4,0
5.0,12/2/2018,"*Dessert only review* My partner wanted to wait out the rush hour traffic on our way out of town, so we decided to snag some open seats a Ciprianis and have an impromptu late afternoon dessert date. And I'm so happy we did. It was the BEST meringue cake I've ever had. This was a few months ago and I still think about it often! It literally melted in my mouth. Their tiramisu was also incredible, so smooth and rich. Our seats were positioned to look out over the rail. It was fun to watch everyone in grand central station going about their business. Watching the hundreds of people going in an out really made me appreciate the term New York Minute. The atmosphere was lively, people getting out of work, going to happy hour, having business meetings... etc., it was so fun! The dynamic between restaurant and busy station made for built in entertainment. Not sure if I'd love this for dinner but it made for a memorable and happy dessert date!",1,0,0,Kate M.,"Portland, ME",72,65,111
4.0,11/25/2018,"I come here every year for different events.  This place is really an elegant and gorgeous venue space.  They are very organized and their staff are pros.  I always have a fantastic time whenever I come here.  The food is pretty good.  They offer a nice assortment of appetizers.  For dinner its always the same either steak or fish.  I like their steaks but to me it's always a hit or miss.  Either you get a perfectly cooked steak (for me its rare) or a steak that is too well done and that is so not for me.  So now, instead, I order their fish (Chilean sea bass) it is cooked perfectly.  Their sides are nothing spectacular just potato and a vegetable.  I look forward to coming here again for future events.",1,1,2,Betty L.,"Sunnyside, NY",323,414,1887
2.0,11/13/2018,I loved this hall so much until it got to my food . The steak or chunk of meat was inedible and the staff looked like they were unable to handle the crowd. It just lost its charm after that.,1,1,1,Ayesha T.,"Malvern, PA",75,123,239
5.0,9/11/2018,"Attended the Legends Ball here on Saturday and I have to say the food was very good. My steak was delicious and perfectly cooked. My sister's meat was overdone and she should have said something. Mine was a perfect medium rare and you didn't need a steak knife. The burrata cheese appetizer was delicious too. The dessert was excellent as well. Service was very good and the venue is beautiful. All around great experience. I'm sure it was pretty pricey but since I didn't pay for it, I'm giving Cipriani's five stars.",0,0,0,Lily C.,"Islip, NY",35,461,428
1.0,9/9/2018,"I am beyond disgusted by this restaurant.  Friends met here for brunch after a night in the city, heading out for our trains.  The prices are not unexpected but very high.  We spent. $300 on brunch for a small party.  Every time anyone wanted to use the restroom, we were informed that the closest restroom which is in the adjacent restaurant is not open to Cipriani customers.  Then, when we were finished, and paid our large bill, we decided to go to the adjacent restaurant for a drink.  It is literally through the doors of Cipriani and it is pouring outside.  The manager refused to let us walk through the doors of Cipriani to go to the restaurant next door.  He insisted we would have to leave the restaurant, go outside and enter the doors of the other restaurant from the street.  After spending $300 in a restaurant, whose service otherwise was excellent, the manager's treatment was rude and unacceptable.  I hope the restaurant sees fit to terminate him because I frequent this restaurant often, and won't do so again given this.",1,1,0,Jennifer L.,"Sherman, CT",0,1,0
3.0,6/15/2018,Came here for a legal momentum luncheon. It's a beautiful large space with towering ceilings. The food was average but not bad.,0,0,0,J. Karim A.,"New York, NY",64,795,334
5.0,6/14/2018,"I have been here as a guest for several corporate events. The place is immense (for NYC standards). If you are planning an event here, you will  need a good lighting company to highlight the stunning arches on the walls. This food at Cipriani is consistently very good and the wait staff is always attentive.",0,0,0,Lori B.,"Manhattan, NY",28,123,670
5.0,4/26/2018,"Been coming here for years and had to revisit on this trip. Great place for movers and shakers and all the beautiful people. My friend made a reservation for our late lunch and the place was packed. Business men in suits, well dressed ladies, etc. I had my usual the white pasta with ham and then the branzino. He pasta is delicious and the fish served tableside. My friend had the veal chop which was Fred Flinstone size. We finished with the layer cake. The martinis are one of the best reasons to come here. There are served in large shot type glasses. The dirty comes with three mini olives. Two martinis are enough!!Love this place.",1,0,2,Maria-Elena T.,"Arlington, VA",357,1003,2869
4.0,4/7/2018,Finally got to go to this place after hearing tons about it and it was fun pretty good! The service is top notch and then bread basket they give you in the beginning is so good there's all different types served with butter. I had to order their famous Bellini which was delicious I got like 4 haha. Don't think they were too strong though. I got the pesto pasta which was pretty good nothing too special though. The calamari was perfectly cooked and crispy- definitely try it out! Overall good experience.,0,0,1,Melaina J.,"Tampa, FL",679,55,177
1.0,12/3/2017,"Have been here many times, the food is usual the space is fantastic. However, in light of the fact that they would agree to host a luncheon for DJT given his immigration policies we will never be back.",9,2,0,Dawn M.,"Schenectady, NY",183,28,16
4.0,10/2/2017,"I was at a wonderful wedding they catered at their event space near Grand Central Terminal. While walking around I discovered their restaurant in the Terminal, but didn't have time to eat there. This trip I did, and the food was terrific. My son and I stopped after touristing all day and even though we looked like bums they treated us like kings!We started with the beef tartar which was outstanding. It melted in our mouths!My son had the tagliolini with pomodoro. The sauce was perfectly balanced. I had the tagliatelle wth lamb ragu , off of the bar menu. My son finished with a lemon tart which was lite and delicious. You can't beat sitting on the balcony of the Terminal watching the world buzz by.",0,0,0,John G.,"Chicago, IL",308,337,69
