rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/27/2019,"The first time I came here the manager helped us get a table at the bar when it was really crowded and the food was great. The second time we actually made a reservation and the service was terrible. Margaritas and the guacamole were amazing, but we sat for over an hour without being seen, asked for the check 3 times, and had to actually ask the manager to ring us out. Maybe it was an off day for them, but it was unfortunate. They were nice about it once it was brought to their attention. I would return as the drinks are good, atmosphere is nice, and the prices aren't bad for the neighborhood. However, beware that the service might not be 100% when it's crowded.",0,0,0,Michelle M.,"Endicott, NY",224,3,0
4.0,4/19/2019,Yummy guacamole to start followed be Tampiqueña de Carne Asada and a margarita.  Pricey but we enjoyed all our food and drink.  Nice wait staff.,0,0,0,Ramsey J.,"Houston, TX",1,75,23
3.0,4/18/2019,"Nice looking atmosphere and the appetizers were so good that i couldn't wait to get the main dish... then a let down... portions way too small for the price. Other than the pork shoulder which is average, the steak and salmon dishes need to bulk up. Service and appetizers  - Main course and drinks",0,0,0,Jay A.,"New York, NY",1,66,10
3.0,4/16/2019,"5 stars for th chips alone...crispy, thin and addictive.Frozen margarita pomegranate is tart and will make you eat more freshly fried chips...Salsa is ok....but ask for the red hot chipotle salsa or th green salsa too if u like that teary eye runny nose effectI personally like the burnGuac is good...nothing magnificent You must get the churros...I don't care if it's oily and greasyThey are what you need after drinking a margarita and eating a carnitas Chamorro rice and beans thing...you want the super crispy crunchy churros.. get two... tres leches - big moist juicy saucy oozy cake...It's mild and you forget you are eating so much of it because every spoon doesn't seem to make a dent on it...and also it's not strong in flavor so you get distracted ina conversation and can easily polish half a slab of this cake brick at 9"" x 3"" x 3"" Chocolate cake thing...is skipable ...not memorableStick to the churrosForget the pictures...churros aren't instagramable...they are better in taste than looks...alambre shrimp - nah* over cooked Btw - the beans here are excellent..rosita mexicano nailed it...the simplest thing and yet so deliciousCarnitas- wish it was more shredded and swimming in jus...it was chunky and needed more sauce...add some table salsa or green saucePlace is busy / packed at 7p tough to get a waiter to make eye contact",0,0,0,Bubble T.,"Brooklyn, NY",11,564,152
5.0,4/16/2019,"Love this place, enchiladas are great and the Bar service is awesome, highly recommend the pomegranate margarita. Bartender Alida makes the best drinks and she is a such great lady, always with a smile. Thank You!",0,0,0,Angela R.,"Dover, NJ",0,7,5
5.0,4/14/2019,Beautiful and spacious. Most of all the waitress was so kind and helpful. I didn't get her name. The drinks were strong and amazing. The food was great too. It is big spacious and clean. Me and my girls loved it.,0,0,0,Tara W.,"Midtown East, Manhattan, NY",37,131,398
5.0,4/10/2019,"I came here with a large group of friends, and the staff was very accommodating. The atmosphere is fun and trendy, and it was a perfect place to come after work on a weekday. We shared a couple of pitchers of margaritas which were great, and for my meal I had a quesadilla. Very delicious and filling! I ended up having to take half of it home with me, but I'm already looking forward to having it as leftovers tomorrow! Overall, would definitely recommend.",0,0,0,Jamie D.,"New York, NY",328,3,2
2.0,4/9/2019,"What a disappointment... not what I expected, the drinks were up to par, but the food menu was just sad.. from the moment fajitas were not in the menu, I automatically wanted to stand up and leave, I might've as well gone to Taco Bell.. I was here for a birthday dinner with my wife & she felt the same way..  we were extremely disappointed with the lack of variety.. and lack of Mexican favorites.. whoever was responsible for this menu selection needs to have a reassessment. This was place was great years ago and now my memories are tainted.. I would never come back for a dinner celebration.",0,0,0,Jaime A.,"Puerto Real, Puerto Rico",138,24,13
4.0,4/8/2019,"Excellent Mexican food in the city. Just a bit on the pricier end of the scale, but the quality is consistently good. Highly recommend the table side guacamole, queso dip, and the shrimp tacos. Also, the steak dish is phenomenal, but one of the most expensive options on the menu.",0,0,0,Daniel O.,"Manhattan, New York, NY",0,5,0
5.0,4/6/2019,"Got in right under the buzzer on a Thursday for happy hour.  The server was kind enough to honor happy hour even a few minutes after it ended. The house wine was ok, but the mango margarita was great.  I was surprised we got a table to sit at in the bar area since it was a Thursday night. Also ordered spicy guacamole which was delicious.  Would definitely come back here, at least for happy hour, if not dinner.",0,0,0,Sara S.,"Washington, DC",0,50,46
4.0,4/6/2019,"Really nice interior, and bustling at 9:30pm on a Friday night. Service was excellent, and redeemed a star for the food. The food was hit or miss. It's one of those spots where you need to know what to order, and order the same items every time (cough*tableside guac*cough.)Guacamole en molcajete - A (we ordered two larges for 9 people, and didn't finish)Quesadilla de camarones - APescado baja tacos - B-Tinga de res tacos - B (too saucy/salty)Camarones capeados tacos - AChamorro - A+Rice and beans - A-Corn - B+P.S. chips and salsa are free and unlimited!",1,0,1,Annie G.,"New York, NY",25,76,257
