rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/5/2019,"North Square is a very classy, civilized, and old-school restaurant for the older crowd. I came here for a small school event, hosted by a billionaire entrepreneur in their private dining room with a personal waitress and bartender, just to give you an idea. The service was excellent, with them pacing us well, and the food was super ""celebrity chef""-style and innovative. I got the chopped salad with quail egg, the pumpkin salmon entree, and the apricot pear crisp. I loved the combination of the flavors of each dish, and thought every bite was flawless. I didn't leave too full. The three-course meal left me the perfecto level of satisfied. You can tell their menu is well thought-out! I recommend North Square for more mature diners or professional, quiet meals in a rustic atmosphere.",3,1,6,Darya S.,"Manhattan, NY",978,2060,1393
5.0,3/31/2019,We went to the jazz brunch today and it was fabulous. The food was delicious and the portions were large. But the prices were reasonable. Great jazz and no cover charge for the jazz like some of the other places. We will definitely go again.,0,0,0,barbara b.,"Irvine, CA",0,13,0
2.0,3/24/2019,"Eek, not a very good experience. Important to note that this restaurant is in a hotel and maybe it meets the needs of transient hotel guests who don't know any better, but as a native New Yorker, I can tell you that this restaurant is absolutely not worth going to.Ambiance: As others have mentioned, this is not a place to go for ambiance. It feels as though you are in a pretty old and farty restaurant that could be connected to a cheap hotel/motel. Nobody under 65 in this restaurant, which is not necessarily a problem, if the food and service was good, but unfortunately it wasn't.Food: Better than the ambiance, but not great. We had the tuna tartare which was okay, nothing special. We shared the rack of lamb and filet mignon. The rack of lamb was prepared nicely and was overall good. The filet was not very good -- heavily over-seasoned with peppercorn which overtook the meat. Sides of undercooked steak fries and uninspiring onions also did nothing to enhance the filet. Nothing special here.Service: Sadly, this might have been the worst of all. We had a waitress who simply didn't put much effort in (which maybe isn't surprising given the overall mediocrity of the restaurant itself). For starters, we had some questions about various dishes, and she was unable to really answer any of them. For one of the dishes, she told us ""It's hard to explain, you just have to try it to understand."" That might be the most unhelpful response -- she must have failed to realize that part of her job is to be able to provide insights about the food to diners so that they can make more informed decisions about what they want to order. Having to try the dish to learn what it's about is not really the answer. What really got me is at the very end of the meal, our server was sitting at a booth with another worker of the restaurant. Admittedly, we were the last table in the restaurant, but even so, it's not acceptable to check out as a server and forget to keep an eye on your table. After dessert, we both had empty water glasses and our server was nowhere to be found. Finally, she emerged from hanging at her booth instead of working, and I asked for some more water. She looked down at the water jugs that had clearly already been emptied and washed out. She seemed to be a bit put out that she'd have to refill the water jug in order to be able to refill our waters. Sensing this and honestly just wanting to get out of this place, I told her it was okay and not to worry. I figured she would of course say something to the extent of ""No worries, of course I will get you some more water."" Instead, she shocked me and said ""Okay"" and proceeded to sit back down at her booth. That's right -- a customer of the restaurant asked for some more water, and she actually sat back down without getting more water instead of insisting to of course get more water. Absolute joke -- but again, not sure what standards this restaurant as a whole holds itself to, so maybe this is to be expected.Overall, with thousands of restaurants in the city, there's zero reason to spend a minute of your time or penny of your money at this uninspiring and underwhelming restaurant.",0,0,0,Jay K.,"Manhattan, NY",6,94,0
5.0,3/13/2019,"Sunday before last, I googled ""best Sunday brunch in NYC"". North Square came up as #1!!! I went there and had an awesome Sunday afternoon brunch experience! Their kale salad can't be beat! The combination of ingredients and their fresh, orange vinaigrette is simply amazing! The service is excellent....... the Jazz was ""old school "" music I grew up listening to. The entire afternoon was so enjoyable, I went back again last Sunday, and did it all over again!! BTW: on a cold day..... order their ""Hot Toddy""! It more than warmed me up!",0,0,0,Linda J.,"Long Island City, New York, NY",0,9,0
1.0,1/22/2019,"Once more, we decided to give North Square a try. The ambiance is so attractive that we had not crossed it off our list though the food has not been up to our standards. We will not be back after last night. Here's the story:My husband explained in detail to the waitress that he could not eat garlic and asked specifically about two different meat dishes. She asked the chef if there was any meat that had not been marinated with garlic and returned to say that there was one non-marinated serving of the pork tenderloin. My husband immediately ordered it.Our food was brought by a server and we began to eat, only for my husband to discover that the meat and the accompanying mashed potatoes were laden with garlic! We called the waitress, she checked in the kitchen, and returned to inform us, with embarrassment, that my husband had been given another person's dinner, not the non-garlic version that he had ordered.The waitress also said that my husband's order was almost ready and indeed it soon arrived. (By this time I had almost finished my dinner.) We were upset to see that parts were barely cooked. Again we called the waitress, and again she seemed embarrassed. The carelessness with which our food was prepared and served at North Square could not be compensated by not charging us for the 2 glasses of wine and 1 mixed drink that we drank.",1,0,0,Gail P.,"Bronx, NY",0,5,0
1.0,1/13/2019,"Best value in town. Interesting menu choices, included on their price fixe special. Usually includes a beef, seafood, chicken choice.; normal portion sizes, too. Desserts are all excellent & wine list is comprehensive. Hard to go wrong here.January,2019 update: What has happened to North Square?Four of us went for brunch which in the past was always great. Place was nearly empty, menu limited, all a la carte, & poor service. Big disappointment.",0,0,0,Virginia G.,"Manhattan, NY",0,40,0
1.0,1/13/2019,"Just a small disclaimer that this review concerns food allergies, so if this doesn't apply to you, feel free to scroll past. I went here for breakfast with my husband last week since we were staying at the hotel next door. I'm celiac, and he eats gluten free because of me but he's not allergic. We were going to get breakfast quickly at the hotel but the hotel told us that the only gluten free options available that were safe to eat was at the restaurant, since everything else had cross-contamination risks. We went down to the restaurant and placed our order only for the server to come back and say, ""The gluten free muffins are actually touching the other muffins, we keep them side by side in the same case. Is that okay?"" I said it was fine because I didn't want to cause a scene and say I didn't think there was anything there I could really eat, as there was no actual practices in place for safe consumption - eg. my husband got gluten free toast but it was made in a shared toaster. I want to give the review one star because I don't understand why they can't just keep gluten free options separated. Why are the gluten free muffins touching the other muffins in the case when the risk for cross contamination is so high? Why can't they be stored in a separate case? How difficult would that be? It honestly feels like apathy on the restaurant's part that they would say that they have ""gluten free options"" on the menu but not ensure that these items are actually safe for people to eat.My husband had the toast, two muffins, and a sliced banana and said that it was, ""Just okay but pretty bland."" I sat there and awkwardly watched him eat while Googling actual gluten free breakfast options on my phone - luckily we found another place only a few blocks away. My true rating is 1.5 stars because I want to give half a star to the server who actually took the time to tell me that there were cross-contamination risks. If he didn't, I could have gotten seriously sick, and since I was seeing a Broadway play later that afternoon, I'm glad I didn't have to spend it in the bathroom. THANK YOU! But to the restaurant, I'm warning anyone with serious food allergies to steer clear. If a restaurant can and won't take simple steps to prevent illness in their customer, it really doesn't speak highly of that restaurant.",1,1,0,Kristin M.,"Ballston Spa, NY",2,31,15
3.0,12/29/2018,"Dinner this evening at North Square, in the Washington Square Hotel in Greenwich Village after making an OpenTable Reservation. We were seated promptly. Chef Yoel Cruz creates spectacular dishes. The ""Atichoke soup"" ($9.00) with lemon cumin croutons and chives was delicious.  No I didn't misspell that.  ""Atichoke soup""  was what it said on the menu. The coriander crusted yellowfin tuna coconut rice carrots and shiitakes, wakame and citrus soy sauce ($26.00) was ordered medium rare but arrived rare but acceptably warm. The Kale salad ($12) was good. The seared halibut ($25) with sauteed collard greens white bean ragout and romesco sauce was outstanding. Dessert was the apple cranberry crumb pie ($10) which was also excellent as was the coffee.Too bad the service was haphazard which detracted from the dining experience. They charged $1.00 more than was listed on the menu for the daily special soup and they left off the glass of wine (they said the latter was intentional). I get annoyed though when restaurants put the check on the table w/o my requesting it and w/o asking about a coffee refill. On the other hand, the prices are ridiculously low given the quality of the food and the creativity of the presentation. This chef can easily open his own restaurant and charge twice what North Square charges. But I guess he loves his work there. Decor is OK. Definitely worth a visit. At the time this review is being written, the restaurant also offers a $42 prix fixe menu with choices for appetizer, entree, and dessert. The prix fixe menu choices included some of the chef's best dishes.",0,0,0,Bob G.,"JAMAICA, NY",17,213,400
5.0,12/23/2018,"Yummy jazz brunch! Had a tasting item: 2 over easy eggs, mini pumpkin pancakes, smoked apple sausage. It was perfect. Bloody Mary was excellent. Not too spicy, too boozy or too watery like I had it at  some places before. Staff is very polite and friendly.It's good to be back.",0,0,0,Bojana R.,"Quincy, MA",65,32,9
2.0,11/22/2018,"We had thanksgiving dinner here, and it was awful. The service was poor (the waiters all seemed very inexperienced and also out of it), the main dishes were poorly cooked and prepared, and had obviously been reheated. The salads and desserts were fine, but on the whole the experience felt like a lazy ripoff. The decor is unimpressive in the extreme. Will not be returning.",0,0,0,Michael K.,"New York, NY",0,5,0
