rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/22/2019,"I got married here about a month ago, and it truly is a great venue! It is a little hidden, but what's on the inside is gorgeous. The staff were so helpful and friendly from the very start, well before the actual day-of my wedding! They worked with us on our budget and were extremely accommodating. Though a lot of things seemed to go wrong on my special day, this venue was not one of them. The room was gorgeous and the food was great as well! The dim & romantic lighting, with the greenery and brick walls was so perfect and made for some great photos. Loved being here!",0,0,0,Gabby G.,"Seattle, WA",205,12,16
5.0,4/20/2019,"First of all, the food here is amazing. This is definitely not traditional Italian food, but it has a unique flavorful twist on every single dish. The restaurant itself is very simple/elegant. It was a great pick for date night. This place is definitely on my favorites list now.",0,0,0,Anastasiya M.,"Jersey City, NJ",252,15,1
5.0,4/15/2019,I absolutely loved Gran Morsi. There's some delicious Italian in NYC so for a place to be a true standout it needs to be damn good. Well Gran Morsi is fantastic. The octopus was cooked perfectly and comes with a great sauce. Then came the eggplant parm and side pasta and they were both spot on. My favorite of the night was the English pea and ricotta Ravioli that comes in a preserved lemon sauce with mint and pearl onions. It tastes like a sunny spring day on the Mediterranean coast. Finished the meal with a chocolate tart which was also just perfectly executed. Wish I had known about this place earlier.,0,0,1,Valbona S.,"New York, NY",156,92,71
4.0,3/31/2019,"Gran Morsi never disappoints. It's my neighborhood go to and always so consistently good. Service is excellent, Lily has been my server twice now and she's amazing. Because of her I tried the focaccia and open myself up to newer things. Artichokes, meatballs and burrata are my go tos! You'll never be leave hungry or dissatisfied!",0,0,0,Laudine V.,"New York, NY",1,10,2
5.0,3/23/2019,"Gran Morsi was amazing! My friend and I split the arugula salad and brussels sprouts. For dinner, I had the short rib (perfectly cooked and delicious) and my friend had the squid ink pasta. We both loved our dishes. Great food, hip ambience, and really nice waiters -- I will be returning soon!",0,0,0,Isabel D.,"Princeton, NJ",295,17,4
2.0,3/16/2019,"Very disappointing experience. The service was haphazard and the food did not justify the high prices. we waited 10 minutes for a table after we had made a reservation. Fine it's busy. No problem. But then the bartender could only recommend the two most expensive cocktails. We waited 15 mins after we finished our main courses for a side dish to come. The portions were small and the food was good but not $35 per entree, $25 per appetizer and $16 per cocktail good. I'd say go somewhere else.",0,0,0,Benjamin Lorish R.,"New York, NY",0,4,0
5.0,3/14/2019,"I was initially struck by how much I liked the super clean and minimal decor. It has that kind of white-washed industrial vibe with high ceilings. The gender-ambivalent bathrooms were a nice touch. Their menu Negroni is wonderful. It featured good ice and the bartendress prepared the drink expertly. I also tried the Smoky Paloma, which was well-made too.In terms of food, I think my favorite item was the house made focaccia, rubbed with chili oil. It was super delicious and paired well with the burrata appetizer dressed with poached pear. Salty, sweet, spicy, mmm!I'd definitely go back and was quite happy with the experience.",2,0,0,Evan J.,"Austin, TX",100,193,26
5.0,3/14/2019,"I came here for a team dinner and everyone was impressed. There was 6 of us, so we ordered a lot of appetizers plus our meals. While the service was slow - Every single item was spectacular. The artichokes were amazinggg. They had the perfect hint of lemon. The buratta is not something I would have thought to order, but it was so good. It was smooth, creamy and very fresh. I had the pappradelle bolognese and it was fill, but so good I had to finish it. Everyone raves about how good everything was. Can't wait to go back!",1,0,0,Michelle A.,"Union City, NJ",2,59,22
5.0,3/8/2019,"Delicious, great service and love that there's space and room there. Quiet place for a romantic or business dinner. Food and wine was delicious!",0,0,0,Cindy S.,"Manhattan, NY",22,115,54
5.0,2/20/2019,"Chris and I came here for dinner after utilizing the Yelp app for suggestions near our hotel.It's just five minutes from the Four Seasons Hotel.  The dining room is stunning with an amazing vertical living wall of plants.  The bar and dining area our small but provide patrons with plenty of space separate from other people.After reviewing the menu we chose to dine at the bar and order from the happy hour menu. The prices were a great value for a high end restaurant.We ordered an assortment of the specialty cocktails as well as the salad, the burratta pizza plus the meatballs.The friendly bartender took care of us the entire evening and informed us that the meatballs were featured with their chef on the Food Network show ""Beat Bobby Flay"" and they were the winning dish. I don't eat meat but my brother who is a chef proclaimed the meatballs as amazing!The salad was fresh and the pizza had a thin crispy crust and was delicious!!The chocolate dessert with the pear and ice cream was decadent.The happy hour menu is value priced by New York standards. Our final bill was $136 for the two of us. A decent value for an upscale restaurant.I recommend this place!!",2,0,0,Philip M.,"Atlanta, GA",27,191,421
5.0,2/19/2019,"Love love love love love. Visited on Valentines Day for their special prix fixe menu and boyyyyy am I in love. The interior is so cute and classic, modern, simple and bijou.To start, we ordered the Scallops and Baby Arugula Salad. The scallops were perfectly seared on the outside and soft and tender in the inside. It was perfectly put together with black truffle, blood oranges and other creative ingredients to bring out and compliment each flavor. The arugula salad was very fresh and was perfectly complimented with clementines, almonds and piave.For the main, we ordered Filet Mignon and Duck Breast. Both the meats were cooked to perfection and boasted a juicy, tender texture. The chef did an amazing job putting together these dishes for Valentine's Day. The ingredients as you can see in my pictures were unique, creative and were very well thought out. Each bite was a new adventure of its own.We finished with alcohol-infused desserts which were also very unique and creative. This spot is quite pricey but in my opinion worth. every. penny. Their portions are quite small but the creativity and thought put into each plate will leave your tongue in awe. I can't wait to be back to explore their regular menu.",3,0,1,Sara W.,"Rego Park, Queens, NY",170,95,123
5.0,2/13/2019,We hosted a private event at Gran Morsi this past weekend. Gina and her team were very accommodating and helpful with planning the event. The day of the event went very smoothly with execution and the food being excellent. I couldn't have asked for a better experience.,0,0,0,Imran A.,"Manhattan, NY",2,6,0
5.0,2/5/2019,Great place to meet a couple of friends or to bring the whole crew.  The dinning room can get a bit loud.The food was excellent.  The short ribs and Brussels sprouts were amazing.,0,0,0,David B.,"Manhattan, NY",2,81,426
5.0,1/23/2019,"Wow!!!!! One of the best Italian meals I have ever had in NYC! Not to mention by far the best Bolognese I have ever had- even better than Italy. This restaurant knows what they are doing. The vibe, succulent plant wall, and menu is top notch. Stand outs were the burrata, Bolognese, and garganelli with truffles. This will be my loyal go to! Can't wait to try the pizza and other pastas. But you can't go wrong with the Bolognese! I want 2 orders!",1,0,1,Rachael B.,"West Hollywood, CA",52,322,476
5.0,1/22/2019,"My boyfriend and I went on a last minute date here (as it just so happens to be right next to my day job), and the convenience was actually way overpowered by just how great the food was. Our server was excellent and accommodating and the ambience is warm and delightful. It's just an all around great Italian restaurant, and it doesn't hurt that it's accessible by just about every train, soooo no excuses!",0,0,0,Eleri W.,"New York, NY",450,52,35
5.0,1/15/2019,"All the appetizers we got were very good - brussel sprouts, artichoke, burrata, octopus. I recommend asking for the specials because from what I saw, the specials looked better than the normal entrees. I got the tagliatelle with truffles, which was amazingly creamy and cooked perfectly al dente. Desserts were also good, but on the small side. The mascarpone gelato in particular was really good.",0,0,0,Rachel L.,"San Ramon, CA",100,34,0
2.0,1/12/2019,"Slightly overpriced and a bit hyped. Food was okay compared to the upscale prices. The environment / decor doesn't match up to the price of the dishes and wines. They should get higher quality furniture. In comparison, Tutto il Giorno has higher standard in taste for decor and environment and more reasonable prices for the food.",0,0,0,Helen Homan W.,"Long Island City, NY",143,1,0
5.0,12/26/2018,"I had a wedding here recently and everything went smoothly. My friends and family enjoyed the food, the atmosphere and the staff. The staff was attentive to our needs and wants. I cannot thank them enough!",0,0,0,Beatrice M.,"New York, NY",0,15,2
5.0,12/20/2018,Recently did my company's holiday party here for a private pizza making and wine tasting and it was amazing. Gina assisted me in booking the event and was extremely helpful and knowledgeable. The staff was also super friendly and everyone had a blast. We all really enjoyed the education for the wine and history of pizza making. I would definitely recommend this for a private event or party! Thank you Gran Morsi!,0,0,0,Nefe S.,"Manhattan, NY",0,7,1
1.0,12/6/2018,Bad bad. Paid $21 for a small pie. Was delivered COLD. Looked and tasted rather stale. Very disappointing,0,0,0,Shrismita A.,"Midtown East, Manhattan, NY",0,5,0
5.0,12/1/2018,Held rehearsal dinner here in basement. Great venue and Gina was very helpful to work with. It was a truly joyous occasion.,0,0,0,Emily M.,"Scottsdale, AZ",0,31,2
5.0,11/20/2018,Amazing spot for a private event downstairs. Super reasonable and the food is great! Meatballs are the best here!,0,0,0,Kristina H.,"Manhattan, NY",14,16,1
5.0,10/30/2018,"Was in town for a conference and wanted to find good food for a reasonable price for the six of us. Mission accomplished!Everyone loved their dishes, and the common refrain was how fresh and flavorful everything was. Naturally, I had to go back the following night because it was just that good. Bravo!",0,0,0,Garrett H.,"Oconomowoc, WI",1,115,4
4.0,10/30/2018,"My wife and I used the Gran Morsi (all the cool kids call it ""The Morsi"") for our 10 year wedding anniversary. I don't want to gush about them but they were great! From day one they were accommodating and they kept the process fun. While I feel that I spoke with a lot of different people in the beginning our party was eventually handled by Freddy and Gina. Gina is a dreamboat when it comes to answering questions. As we had not planned anything this extensive (DJ, Food, Venue, signature cocktails) in a while we had over a hundred separate questions and Gina was always available by email to answer them. In addition we looked at the place a few times to make sure our vision for this event wasn't too ambitious and even in person she was funny and knowledgeable and she cared about the process. I am sure it never stopped being work for her but it seemed like she was passionate about making our party what we wanted it to be. Even when hiccups in our custom made items threaten to derail order Gina and Freddy put the train back on the tracks easily. The space is really nice and pretty sound proof. If there are events on both floors I am sure they wouldn't disturb each other. Also the food is AMAZING! It strikes me as a very simple rustic Italian menu and I everything that I have had was better than great. They sell the BEST fettucine Alfredo I have EVER had in life. It is to die for. Their chicken parm is perfect and the homemade pasta hit all the check boxes for us! Their bar staff and drinks are also delicious. We added two signature cocktails (normally not included) to our menu because we had them in the restaurant and fell in love. Every one of my guest loved them as well as the traditional favorites. The Pros are everything above. I could not recommend this place enough and we will be using it in the future for other parties. One Con is that, though EVERYTHING that we ordered was DELICIOUS,  some of it was not served in the main restaurant. Similarly, Gran Morsi DOES NOT offer tastings. This forced us to have a couple of meals there on our own dime and then order items from the event menu sight unseen or taste untasted. Even though everything was good we would have liked to either have a sponsored tasting or at least had the ability to buy all of the items we were purchasing for the Party in the main restaurant. Also Gran Morsi charges full price if you have vendors that you would like to feed. Other venues might charge a discounted rate but Gran Morsi does not.   Over all they made our party amazing. Food was delicious and the staff was great!",0,0,0,D C.,"Manhattan, BOWLING GREEN, NY",0,1,0
5.0,10/30/2018,"The restaurant was a bit difficult to find as the signage was not well lit. However, once I was able to find it, it met all my expectations.  I had Eggplant parmigiana on the recommendation of the waiter as I have food restrictions.  The eggplant was just awesome. It was served in a small skillet and while the serving looked small, it was just phenomenal.  I had a glass of Barolo to go with my wine.  I requested the wine be chilled a bit, which the staff gladly accommodated. The decor and the ambiance at this place is great.  I will absolutely visit this place again.",0,0,0,Sameer G.,"Frisco, TX",0,5,0
5.0,10/28/2018,"This spot is a hidden gem in my opinion and is now becoming more and more well known! It is located in TriBeCa and definitely now one of my favorite Italian restaurants. I do have to commend excellent service from our server Maddie and general manager Freddie! Excellent work to you both and definitely for provididing that personalized service. Now food, just pure satisfaction! Maddie was very charming and definitely knew her menu really well. She sold us on the special which was Pappardelle in a white sauce with truffles all the way from Italy! I also loved the grilled octopus and burrata as pictured. I highly recommend this spot and do recommend reservations in advance. Everything on the menu is excellent!",1,0,0,Doris F.,"South Williamsburg, Brooklyn, NY",145,27,98
5.0,10/25/2018,"I hosted a theater class in the events space, and the staff and management were so accommodating to our needs and what we wanted to do. It truly felt like a home so comfortable, amazing good, friendly and professional staff all with a warm smile. Looking forward to dining again.",0,0,0,tamryn s.,"New York, NY",0,2,0
5.0,10/22/2018,Nice warm place inside.  Food is delicious.  Tried the octopus and meatballs appetizer.  My wife and I enjoyed them.  I also ordered black pasta dish.  Delicious.  Great place to get together with your significant other or a group of friends,0,0,1,Eugene J.,"Santurce, San Juan, Puerto Rico",49,53,23
