rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/16/2019,"Amazing French restaurant in the heart of Soho. Great atmosphere, nice crowd and attentive waiters. The food is beautiful! Great for a date, dinner with friends or impressing your parents when they come visit.",0,0,0,Camille Sacha S.,"Brooklyn, NY",92,1,0
5.0,4/14/2019,"Bring France to New York as I am unable to travel to France.  A French Bistro in New York summons dinner for one as life is too short but to make the most of this fabulous but fleeting time.  This intimate French bistro reminisce of my past splendid visit to Paris, France.Steak Frites $3810 oz. prime bavette, Pommes frites with Béarnaise sauceI am truly enamored of this French entree.  This entree is very well prepared as it was cut in pieces in its authentic French form and cooked well without being dry.  Burnt edges for the meat but it has no effect on the quality or taste as it was not dry.  The Pommes frites were abundant overflowing the plate.  The Béarnaise sauce provided was a nice light compliment paired with the meat.  I was able to eat my fill.Château Cambon, Gamay (Brouilly, France 2016) $16Suggested by my server for food pairing with my steak which is very light served chilled, medium body and smooth finish.  I actually enjoyed this red wine.Vanilla Crème Brûlée $8This dessert was too heavy and very thick vanilla cream which I did not enjoy.  I was unable to finish the plate.  The organic cane burnt sugar coating was average.Ambiance is intimate with dim lighting, light French background music conducive for conversation and good for couples to take dates.  There is one long couch against the wall.  I am enamored with the mirror walls and wall paneling.  Outdoor seating is available with weather permitting, but I always prefer indoor to fully experience the atmosphere of a restaurant as I do not want to see vehicles passing the street blowing dirty wind in my food nor hear boisterously loud vehicles' horns blaring.  My server Neysen is attentive, efficient and professional with a smile as she was not dismissive nor pushy nor ushering me to quickly finish my meal.  Prior to my meal I received a complimentary warm pastry puff as a small appetizer which was enticing.  Business cards and post cards are available for grabs.  Bistro Leo is accessible by C local train at Spring Street station.Nota Bene: This business is dba ""Sessanta"" which appears on your bank's credit or debit card statement.",19,8,16,Tina C.,"Queens, NY",2001,4196,9889
5.0,3/26/2019,"TLDR: Great for unique cocktails and appetizers! Overall rating: A+Came here tonight for a quick drink before a show at HERE Theater nearby. It's truly excellent and I'm already looking forward to coming back. We got the last of the fall/winter cocktails menu. Fausto, the head mixologist here, was really great! You can tell he's really passionate about creating the perfect unique and delicious drinks. He was friendly and chatted about cocktails with us for a while. I was impressed with the dozen bitters they had!-JEAN JUSTE PISCO SOUR (pisco, lime, fig syrup, banyuls, anisette, egg white, garnished with a lavender sprig) $17: This was one of the best pisco sours I've had! It was made with real egg whites! It tasted of berries. It was complex and not sweet. I LOVED it! It was $17 but worth it. Looking forward to trying the strawberry based version (starting this week). A++-FALL LEAVES (scotch, bumbu, drambuie, date syrup, green chartreuse, peychauds bitters) $17: My friend's cocktail was oddly too sweet. Great if you like to taste the alcohol in your drinks. I prefer to not taste my alcohol. B--WARM BAGUETTE (grass fed herbed butter, sea salt) $4: They make great mini baguettes here. I appreciated the herbed butter was soft and spreadable. A++ Can't wait to return for the seasonally changing cocktail menus! Also love their charcuterie platter but I wasn't super hungry. The entrees were ok, but not mind blowing from my previous visit. I'll just stick to snacks and drinks here!",1,0,1,D D.,"Manhattan, NY",4,143,27
2.0,2/12/2019,The decor was beautiful but the ambience did not feel like a french bistro AT ALL. Music was crappy radio pop and the food was mediocre. It just felt..... lazy. The Service was great but to be honest I most likely will never be back.,0,0,0,Rose M.,"Brooklyn, Brooklyn, NY",176,3,0
5.0,2/4/2019,"I came here for the Sunday lunch during restaurant week. I do appreciate how they offer restaurant week on Sunday as many other places do not.I had mussels as the appetizer and they were great. They were in a creamy but light buttery sauce and the portion was generous.For the entree, I had the steak frites. Honestly, the steak was not as huge of a portion size as I had seen on yelp or it definitely looked better in the pictures, yet once I started eating it I was pleasantly surprised by how filling it was. The fries were perfect. I liked the béarnaise sauce (sort of tasted like hollandaise) that came with it as well. As a dessert, (not included for lunch's restaurant week), we tried the prickly pear sorbet and the crême brûlée. The crême brûlée was some well except I was a little disappointed there were no fruits on top. The prickly pear sorbet was very rich in flavor. I recommend it for a sweet yet tangy choice. Overall, I think the food was 4 stars but the service was amazing (definitely five stars) and I just loved the ambiance. We were seated on comfortable couches, the mirrors, and blue/green textured wallpaper, made it a charming atmosphere. We stayed and relaxed as we ate our meal for 3 from 12 noon until 3 pm.",2,0,3,Tina S.,"New York, NY",112,197,226
2.0,2/2/2019,"Didn't have the same experience as other fellow rw attendees. I came here for winter rw2019 and the appetizer was the star of the show. The mussels were savory with sides of toasted baguettes. No sandy mussels. We were given an empty plate to our mussels when were done. Trying to tell them to take our plates away, but was given a plate to put the empty mussel shells. What for? Obviously we were done. Took another server nearly 20 min to remove our empty mussel plates and to serve us our entree. As for the entree, the steak frites was quite dry even though a medium and medium rare was ordered.  The fries were salty and stringy. Service was not attentive as soon as our appetizers were served. Our server was more attentive and friendly to the table next to us. Tried to get attention of the drink server and it was the same. The decor of this place was definitely the second star of this review. Very cute and romantic with hints of euro vibes. Nonetheless, I will give this place another chance if the service improved.",1,0,0,Jenny T.,"Brooklyn, NY",61,1,0
5.0,1/27/2019,"Restaurant week was on point here! They do Sunday brunch which was ideal for us and I booked for 2pm and they seated us 20mins early as we arrived early. They also accommodated my seating prefs to have it separated from other joining tables for more ease of access and comfortability. I had the mussels which were good with the sauce. Without the sauce the mussels were just steamed to cook. Sauce had white onions in them, butter and other things I wasn't sure of (but it tasted good!). Steak frites was recommended as medium rare (which is still my ideal steak level) and the glass of red was sharp and was good to pair with. Our server was super friendly.Ambience wise we were seated under the skylight which was very nice and there was even a comfortable pillow to lean on while eating for better back support.",0,0,0,Yan H.,"Brooklyn, NY",204,19,10
5.0,1/27/2019,"So delicious!  I went for restaurant week, the steak and wild boar sausage was delicious and the ambiance is exceptional. The place is really well decorated. The staff were also helpful and friendly.",0,0,0,Liz M.,"East Islip, NY",0,4,2
5.0,1/26/2019,"My girlfriend and I found Bistrot Leo on the list of Restaurant week locations. We decided to try it out and made a reservation on our 1 year anniversary. It could not have been a better choice! I had noted it was our anniversary on the reservation and the entire staff was so thoughtful about it. They brought us rose and gruyere cream puffs (on the House). They were polite and attentive. A+ service! We had the Pâté and Mushroom soup, Salmon and Coq is Vin as entrees, and both deserts. Everything was delicious, but the Coq au VIN was the standout winner. Thanks BL we will be back again soon!",0,0,0,Wylie B.,"New York, NY",172,3,0
5.0,1/24/2019,This place is gorgeous and the vibe is on point! I attended a private Hennessy/ dining experience last night and had a phenomenal time. The cheese selection is fabulous. The breads are so fresh and soft- just as you would expect at a French spot. We had a short rib and vegetable dinner. It was cooked and flavored to perfection. The bathrooms are IG worthy. I will definitely be coming back soon to try the cocktail list and full menu.,0,0,0,Jen S.,"Brooklyn, NY",1001,218,6
4.0,1/22/2019,Super cute and romantic restaurant.  Discovered this during restaurant week.  We tried the entire menu! If you want to do the same come with a group of 5 and get to it! Everything was good!cheese puffs starter - this was a surprise complimentary dish which is always a nice start to a meal.liver pate - very good and I don't usually like pate!stuffed squid - good - but sounded better than it wassalmon - very goodbouillabaisse - very goodcoq au vin - deliciouslamb - very goodbrulee- oh yes!chocolate - love that chocolate and not to sweet,3,0,1,Rene B.,"Brooklyn, NY",84,392,888
5.0,1/21/2019,"I noticed Bistrot Leo while I was getting Cronuts around the corner. Checking on the NYC restaurant week menu, Bistrot Leo is a participant so I made a reservation. I am craving Steak Frites! Then my wife calls and asked me to change the date, not knowing it pushed me out of NYC restaurant week. which means no Steak Frites for me. Sad face. Not to worry, we had an incredible brunch that I can't wait to tell y'all!Walking in, Bistrot Leo is a cute as hell French Bistro. There is French music playing, there are French wines being poured and there's French food being prepared. Oooh la la! Our waiter? Towards the end of our meal, He put us on the low priority list which pisses me off. The food kept the fifth Yelp star.My wife & I sit down after coming out of the cold. We ordered two hot coffees. After looking at the brunch menu, we both know what we want. My wife ordered an omelet & I ordered the Croque Monsieur. Once we warmed up, now I want to experience Bistrot Leo. We ordered some outrageous French wines and a Charcuterie plate. The Charcuterie plate? Wow! They had a chicken liver pate with organic butter that was so decadent, I would have been happy with just this item. The Jamon ham and grain mustard was wonderful with the crusty baguette. My Croque Monsieur and side salad was perfect, a classic French meal. My wife's meal? The eggs whites were fluffy and creamy from the cheese, this was a cheff'd up dish that had my wife swooning. The potatoes were another masterpiece. Creamy in the middle and textured and crunchy on the exterior, the total dish was heavenly. While my wife and I are enjoying our meal, our waiter is MIA. The restaurant is empty and I see him up front. I nod him over and ask him for coffee refills, more cream and more bread for the charcuterie. He takes our plates and silverware, he says he'll bring back clean items. He never comes back and I took everything we needed from the next table. I nod for check and we said our goodbyes. Au revoir Bistrot Leo. I will be back for French Restaurant week, I want to try the Steak Frites!If you're looking for a nice French bistro that's fun and has great yummy comfort entrees? Bistrot Leo is an excellent choice.",11,9,8,Bill S.,"Long Island, NY",601,2493,5315
4.0,11/26/2018,"Very tasty French restaurant. I love the wine selection & water service. my cup always had water so you never have to ask for refills. Overall the food and service was great. I order the chicken thigh with the brown sauce and the chicken texture was amazing, the waiter told us it's people favorite and I could taste why. Also the carrots with the white creamy sauce was delish. I was on a diet so I was happy to find tasteful food w/ no carb options.",0,0,0,Stefania M.,"Fort Lauderdale, FL",0,34,40
4.0,10/25/2018,"First time I was here, it was lunch and I gave it 2 stars.Then I came here for dinner and found food to be quite excellent. So 4 stars it is...Recommend: pork rillons, cockle spahetti, short rib (for sure), duck lasagna.Friendly staff. nice outdoor area.",0,0,0,D Z.,"New York, NY",3,438,10
3.0,8/21/2018,"Went for restaurant week so we were able to get a decent deal in terms of price, but it still felt overpriced for the mediocre quality. Fries were good.  Steak had some grizzle. Drinks were on par with most of the other overpriced places in NYC (ie mediocre). Ambiance was superb.",0,0,0,Jonathan R.,"Rochester Hills, MI",0,10,0
4.0,8/17/2018,Love the ambience. Felt like I was dropped into a cute French film. The roast chicken with mushrooms was delicious. The waitress seemed a bit slow but maybe they were just understaffed that day. Good overall!,0,0,0,H K.,"Warwick, NY",200,30,0
5.0,8/15/2018,"Bistros Leo is very French and very fine dining with serious chef cred. I've been twice for restaurant week. First time with girlfriends was a mixed bag, second time it was perfection. Lovely interior and French tunes take you far away, and of course the food...Ate:CrevetteBranzinoLemon tarteCabernet francOddly I had the crevette and Branzino twice. the raw crevette with horseradish and avocado mouse is simplicity defined. The Branzino on the second visit was perfected with eggplant mousse and perfectly seared eggplant and perfectly seared Branzino and the poured veggie pesto. The lemon tart was also super delish. If its not restaurant week, have some deep pockets and be transported to France.",6,1,4,Franny A.,"New York, NY",865,1322,1125
