rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,3/31/2019,"Get the Le Boeff and don't look back. With marbling on par with the Miyazaki, you'll leave happier than the guy who ordered Wagyu cut. Medium rare. Bone marrow aside. And don't skip the shishitos. Enjoy",0,0,0,Elan O.,"Hermosa Beach, CA",61,35,13
3.0,3/27/2019,Kosher a plus if that's something you requireFor the actual food Thumbs downNothing special The Waygu Burger is absolutely awful.Service is blahNot bad not great,1,0,0,Edwin M.,"Manhattan, NY",3,87,8
5.0,3/25/2019,"Went on a Wednesday night, pretty quite and calming evening ... great service and staff was extremely attentive!!! Food was great and loved the atmosphere",0,0,0,Nida P.,"Brooklyn, Brooklyn, NY",0,6,0
5.0,3/10/2019,"Best restaurant in NYC! Alessandro is the best!!!!! Amazing food, beautiful ambience and top notch service:)",0,0,0,Sherry S.,"Brooklyn, NY",0,3,0
5.0,3/10/2019,"Amazing restaurant! Excellent food, incredible staff, & sophisticated ambiance. Highly recommend the veal tongue appetizer and anything salmon!",0,0,1,Lindsey M.,"Long Beach, NY",0,8,0
3.0,3/10/2019,"Went in on a double date for Valentine's Day. As soon as we walked in the mood was off. Our server seemed so forced and was like a robot. Caesar salad was like actual iceberg lettuce and was not appetizing, steak was good but again not the best in the city. Food overall was good but not GREAT so I really don't think I would ever be back.",0,0,0,Angie P.,"Manhattan, NY",10,20,6
5.0,3/6/2019,This is the BEST steakhouse that I have ever been to.  The 42oz Tomahawk is aged to absolute perfection with the most impeccable marbelization.  The staff are super attentive and gracious walking around with smiles on their faces during service.  I really felt like royalty when dining in here and can't wait to visit again!,0,0,0,E W.,"Port Washington, NY",0,3,0
1.0,3/6/2019,"There are many reasons why I'm giving Reserve Cut such a low rating such as a snooty sommelier who seems to possess no knowledge of wine other than its price on the menu. But above all, the main reason I would never return is the blatant LIE they tell on their menus. For a hefty price of $109, what you get is 109% not wagyu beef. It was tough, chewy and lacked seasoning. There was definitely no sign of marbling in the meat. In fact, I actually enjoyed my coworker's steak more and it was almost half the price.We got the short rib tacos and a couple of other apps which weren't bad but nothing great. The restaurant itself was beautiful but with such high costs for average food, you're better off going somewhere else.",3,0,0,Stacy X.,"New York, NY",10,10,3
5.0,3/4/2019,"5 STAR RESTAURANT I had the Wagyu Burger and my friend had the Wagyu steak and Wagyu carpaccio last night and i must say it was so scrumptious and delicious i highly recommend this steakhouse to everyone on this planet, the service was impeccable, great atmosphere and staff.",0,0,0,Nach B.,"New York, NY",28,7,2
3.0,3/1/2019,Was there with my kids. The waiter are sales people recommending to highest ticket on the menue. Food was ok but way over priced Price doesn't justify the food quality.,0,0,0,Ron B.,"Côte Saint-Luc, Canada",66,1,0
4.0,2/20/2019,"Good place with great service. I got my birthday dinner there. Nice location , staff was very friendly and our waitress was trying to do everything we wanted. Nice and calm atmosphere. Food was pretty good also. It's a high class of glatt kosher restaurants so be ready to pay extra for that, but if it's not a problem you have to visit that place for a nice dinner!",0,0,0,Hanna L.,"North Bay Village, FL",0,11,0
