rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/15/2019,Came here during lunch hours and the food was pretty good. This place specializes in Asian fusion type dishes. We ordered a bunch of different plates to share and my favorite was probably the fried rice.  The interior really stands out and I could see it being pretty packed later at nighttime.,1,0,0,Mike M.,"Pittsburgh, PA",77,150,248
2.0,4/9/2019,"The drinks by the lobby bar were disappointing and quite expensive @ $16 a cocktail.The bartender was nice and the decor is pretty cool. Other than that there's literally nothing special about this place. We ended up going to a rooftop bar a couple blocks away that was just as good and not as pretentious.If you're looking to overpay for subpar cocktails, come burn your money here. Otherwise, save it for literally the hundreds of other bars within a one mile radius.",3,0,0,Peter K.,"Manhattan, NY",470,686,86
4.0,4/7/2019,"First impression - awesome atmosphere. The graffiti on the walls is fun and personally, I didn't notice that I was adjacent to a hotel. It was on the louder side but not so loud you couldn't have a conversation. There was lots of seating and it was open enough that we definitely didn't feel like we were eating with the table next door.We were disappointed that happy hour was only in the bar area. We ordered drinks anyway and they were good but I wouldn't pay $16 for the Endless Summer cocktail again.To eat, I ordered the avocado robata and buddha's delight dumplings. The dumplings were good albeit a bit dry. I would definitely order the avocado again. It was grilled perfectly and the cassava crackers added a great crunch to the dish. If I went back I honestly might just have two orders of avocado robata.",0,0,0,Sydney A.,"New York, NY",23,34,73
4.0,3/30/2019,"Despite the enormous size and relative upscale-ness, this place will actually let you occupy a table and just chill with drinks. A welcome change. We got the Toki Highball, some red wine and whiskey, all were enjoyable. Will make a note to stop by for food at some point.",3,1,4,Josephine L.,"Manhattan, NY",620,1619,20
5.0,3/22/2019,I had the best food ever here! This spot is amazing and my server Porsche was Bomb! I will most def be back with all my friends!,0,0,0,Dana L.,"Katy, TX",21,1,0
5.0,3/22/2019,"The food and drinks here are pretty excellent, but mostly I'll be coming back because the service is awesome. NYC has no shortage of great food, but service can be laughably bad. Our server (Portia I think?) was suuuper attentive but not annoying, helpful, and really sweet. I'll be going back for the food and the service, glad I don't have to sacrifice one for the other!",0,0,0,Emma G.,"Brooklyn, Brooklyn, NY",0,1,0
5.0,3/22/2019,"I must say the Korean friend cauliflower is to die for, if I wasn't afraid to go to jail I would have smacked the cook and Porsche our waitress was the best, will definitely come back.",0,0,0,Fame L.,"Roselle, NJ",1,6,0
5.0,3/22/2019,I came in with my daughter and grandson and my waitress Porsche was amazing. She was extremely pleasant and made sure we were all taken care of. The food was really amazing. I will be coming back when I get the chance.,0,0,0,Nico M.,"Bronx, Bronx, NY",110,1,0
5.0,3/22/2019,"Wow not really sure where to begin! Ate at rice and gold Saturday and was overwhelmed by the amount of delicious vegan options and my AMAZINGLY ATTENTIVE waitress who also happened to vegan Porsche! My fave were the miso rice cakes and mushroom bao which she recommended. Almost a week later and I'm still thinking about this experience, Porsche if your reading this thank you & you're so cool ! Can we be friends ?",0,0,0,Bria S.,"Springfield Gardens, NY",138,3,0
5.0,3/22/2019,The food here is so good. My server Porsche was so nice she knew all the good stuff on the menu. She recommended the kimchi cucumber salad for me because I told her I was vegan and she was as well! The kimchi cucumber salad was great! it did not disappoint.,0,0,0,Lexus L.,"Katy, TX",74,3,0
3.0,3/18/2019,"After walking past Rice and Gold a few times recently, Chuck and I decided to grab brunch this past weekend. We made brunch reservations at 2pm and got a pulsd deal (2 for $49). It was one of the first gorgeous spring days so we had a nice early afternoon walk in lower manhattan and arrived at 1:50. The restaurant is HUGE. There are high ceiling and awesome murals covering the walls and columns. We decided to sit at the bar but there was barely anyone there. The reservations were not exactly necessary. The bottomless brunch is a 2 hour deal but we were told that it has a hard end time set for 3 PM. That was misleading since the description said that we can make the reservations from 11-2pm and we had to call to speak with someone to do so. Whatever. We can deal with an hour and 10 minutes of unlimited instead. It was St Patrick's day weekend and we were not going to go back out there to find another brunch place. The unlimited includes 3 pretty typical brunch drinks with a slight flair to them. The mimosa was flavored with yuzu. The screwdriver had maraschino cherry juice. The bloodys had asian inspired spices. While beautiful, the cherry screwdriver was insanely sweet so I asked to cut back on some of the cherry juice. The food menu had a lot of different options. I was torn between the chicken and waffle and the oxtail noodles. Our bartender suggested that I get the chicken and waffles. It is a spicy, sweet mix that I definitely appreciated. The chicken was very crispy. It was drizzled in peppery honey and peanuts. The waffle was tiny but tasty. Chuck grabbed a burger and waffle fries. I haven't had waffle fries in ages so you better believe that I stole a few of them. Throughout the entire dining experience, our bartender did a great job filling our cups every time we emptied so while we did not get 2 full hours to sit there, we got the quantity of 2 hours mashed into one. I am not sure I'll be back any time soon. The food was ok. Drinks were ok. The service was quick and efficient at the bar. I can't necessarily complain about anything (other than the cutting us off nonsense) but I also can't rave about anything. It *was* amazingly convenient for a post brunch walk across the Manhattan bridge on a beautiful early spring day.",2,0,0,Erin P.,"Brooklyn, NY",340,314,1082
