rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/30/2019,"We visited Thalassa recently and were blown away by the experience!   We were treated like royalty from the start!  The food was delicious and prepared with creativity.  Kebabs of cheese and vegetables started our meal along with raw oysters.  The sauces that accompanied these appetizers were a perfect complement and did not overpower.  The fish tacos that followed were the best I've ever had, with the taco being light and fluffy.  Two varieties of Sliders,salmon and chicken, melted in your mouth.  Decadent Greek yogurt with pistachios, berries and syrup completed the feast. Before we left, we made a reservation to return for a wonderful fish meal!  Hurry over and you won't be disappointed.",0,0,0,Terry G.,"Manhattan, BOWLING GREEN, NY",0,4,0
5.0,2/28/2019,"This must be my favorite Mediterranean restaurant in manhattan.They bake their own bread, which is too good to start with. Their own olive oil exported from Greece is a great combination with a bread as well. Don't need to mention their delicious scallops! Just wow!",0,0,0,Ophelia W.,"Manhattan, New York, NY",0,8,3
5.0,2/17/2019,Easily one of the top restaurants in NYC. Walking inside was beautiful and breath taking to say the least. Staff was phenomenal in sitting us and layout was large and romantic. The service was wonderful. We were very well taken care of. Food was also very good and portions were large and worth every penny. The wine options were fantastic. My only suggestion would be to add a couple more options for food outside of the seafood Category. The staff and overall restaurant really impressed me.,0,0,0,Julian L.,"Manchester, CT",2,7,7
5.0,2/16/2019,"This place is beyond AMAZING! The host and wait staff are so kind and go out of their way to make your dining experience beyond memorable. I recently came here for my anniversary- and the food was TO DIE FOR. Gabriel and Steven made our first time here an experience we will never forget with their ability to go above and beyond for their guests. I can't express the level of their kindness, they really go above and beyond. We even had the opportunity to meet the head chef- who made us feel so welcome with his hospitality. For appetizer, we had scallops and grilled octopus.(we didn't get a picture of the octopus, we just dove right in) Entrees were the lobster special and the Lavraki. I'm drooling as I write this. The desert was a medley of the chocolate molten cake, baklava, and a custard that melts in your mouth. Overall, the experience was out of this world. My new favorite place to get seafood. Thank you so much Thalassa, I can't wait to go back!!",0,0,0,Alexis N.,"Bronx, NY",25,4,4
4.0,2/12/2019,"My job has hosted their holiday party two times at Thalassa so far and they've never disappointed. When we entered we were greeted by the manager and staff and escorted to the coat check on the top floor. I must say I appreciate art and they truly have a great deal of landscape captures but I was told that's the norm for restaurants on that side of town. We entered the top level and the table setting and ambiance was beautiful. Low lights with stream lights on different sections of the top level. I mentioned their landscaping art on the first level, well on the top level there's so much more to see and they're all beautiful. The bar was where they catered appetizers and drinks. At every turn there was food and the bartender actually remembered our drinks after the 2nd visit. The appetizers were very good! Lamb, scallops, and other great combos. I was so full from the appetizer by the time I got to the dinner plate I was a stuffed potato. Everything was great! Food, service, and drinks. They may have to host for 2020.",2,1,1,Petrina R.,"Brooklyn, NY",149,176,996
5.0,2/1/2019,Loved this restaurant from the location atmosphere and service not to mention the food where top notch happened to go one restaurant week with no reservations and they accomplished us even Steve at the end took professional photos of us will definitely be back we had just gotten married at city hall and this will be our anniversary spot thank you for a wonderful experience,0,0,0,Ro S.,"NJ, NJ",31,7,0
5.0,1/20/2019,"What a wonderful restaurant! The food is amazing, from complimentary Lobster Bisque, through little plate of sweets all the way through Port Wine. I had See Bass with steamed green leaf veggies and it was superb! I highly recommend this place!",0,0,0,Maggie K.,"Lyndhurst, NJ",5,19,74
2.0,1/12/2019,"Don't check your coat!  Mediocre evening with mediocre food ended with lost coats.   Coats.   It's the easiest thing for any restaurant to get right, but somehow these guys mis-tagged dozens of coats causing swarms of unhappy people to wait for up to an hour to locate their coats.  Coats.  Wow.",0,0,0,Jason W.,"New York, NY",0,3,0
5.0,1/6/2019,"this place is great place for greek dining experience, staff was exceptionally warm welcoming and on point with service.our server Gabriel  was the best. one can't ask for more, great food ,great service nice ambience.i will be going back and looking forward to the same quality service",0,0,0,Will C.,"Manhattan, NY",0,6,0
5.0,12/16/2018,"Great place to host an event - Tasso could not be more accommodating or helpful, it's a pleasure to work with him. The event was for around 120 people, and the food was great and never ran out. The bartenders were extremely attentive, and everyone had a wonderful time. The event space was upstairs, so it was nice to have the whole area for our group. As it was a networking event, Tasso even had them set up a table so we could smoothly check people in and hand out name cards. We'll definitely return!",0,1,0,Sarah G.,"Philadelphia, PA",0,9,0
5.0,12/8/2018,"This restaurant is outstanding!! The way I found it is definitely out of the ordinary. I love Dover sole, and searched it, sure enough, Thalassa came up. It is a gorgeous place in the heart of Tribeca. Our server Gabrielle was outstanding. For our appetizer we had the grilled Portuguese Octopus... this was the best I have ever eaten. For the main coarse we shared the lamb shank & the Dover sole... the entire experience was amazing!!! I will be a regular here",0,0,0,Jennifer N.,"Brooklyn, NY",184,94,341
5.0,12/5/2018,"Wow this place is really exceptional. The space is really nice, large, and the decor is really lovely. I felt like I was transported to Greece. The service is really top notch. They crossed off every checkbox. Before ordering, we were shown the fish special of the day and fully explained how it was prepared. The fish here is very fresh.When we ordered drinks we asked for no sugar in the drink we ordered, when we ordered an item off the menu later the server actually remembered that we didn't want sugar and alerted us that there was sugar added in that item. Right there, that attention to detail, immediately made this a 5 star place for us. We were really impressed and grateful that he remembered. We also had asked for gluten free options, which they really took their time to help us choose the best menu items. The service is just impeccable. The food was absolutely delicious. The bread comes with olive oil, olives, and feta cheese. We ordered organic black quinoa, the tilefish, Lavraki (fish special of the day), and the lobster mashed potatoes. The fish was cooked perfectly. The lobster in the mashed potatoes was not skimpy at all, like a lot of other places. Everything was very tasty, I'll definitely come back here. Food tips: Seafood, Black Quinoa, Lobster Mashed Potatoes",0,0,0,Colleen D.,"New York, NY",146,166,512
5.0,12/4/2018,"My husband and I got married here, and if your wedding priorities are excellent food and drink and stellar service in a beautiful space, Thalassa is your best bet. We just wanted a great party without having to obsess about tiny details and this was perfect. The events manager, Tasso, was fantastic to work with, and every staff member we interacted with was lovely. Plus, our guests couldn't stop raving about how great the food was. A great choice for one of the biggest days of your life or just a delicious meal.",1,0,0,Alanna S.,"Brooklyn, NY",0,4,0
5.0,12/3/2018,"I can't say enough about how wonderful my daughter's wedding was at Thalassa this past Saturday evening.  The place is gorgeous, the wine cellar where the ceremony took place was beautiful.As to the food, service and ambience, it was beyond our wildest dream of how enchanting and delightful everyone at the venue was. Many of our guests were blown away by how good the food was, and how impeccable the service was. I would recommend this establishment to anyone who is looking for something different for a wedding.",0,0,0,Alan S.,"Oceanside, NY",0,26,0
5.0,11/9/2018,Absolutely first rate. A great ambiance meets service equivalent to the Dorchester on park lane. First rate food starts off with an exemplary cocktail experience. Excellent bar staff and a real scene just for cocktails alone. The nibbles can fill you up but please show up hungry and leave room for the fishes. Classic Greek food meets contemporary thinking. Other than that what else do you say? My taste may not be your taste but quality is universal.,0,0,0,Kevin O.,"New York, NY",0,61,30
5.0,10/14/2018,"A nice classy but not pretentious Manhattan restaurant with a nice non Manhattan price tag for the fixed price dinner of around $40 per person for a generous 3 course meal. The octopus ceviche was tender and tasty. The stuffed fish was generously stuffed though slightly on the dry side. The yoghurt martini with toasted walnuts was a delightful end to the meal, although if like me, you're used to non fat dairy, it can be heavy. But I'm not complaining. A good place to bring dates, friends, family... anyone really. The tables are well spaced so you don't have to listen to what your neighbours are saying, unless they are excessively loud. My brother in law generously treated us to dinner that night, but this place is good enough that I might have paid for it.",0,0,0,Emily P.,"San Francisco, CA",1,16,4
2.0,9/14/2018,Our seafood was fishy which is unacceptable.  The corny MBFGW theme got old quick.  I wouldn't go back unless it was for an event.,0,0,0,Catfish H.,"Manhattan, NY",0,247,114
5.0,9/13/2018,"Very cozy restaurant in a great area. 5 star - about food, all fresh and interesting serve. Cocktails really liked, the barman Carlos is a magician. Special thanks to chef Ralpheal. I want to celebrate my birthday in this restaurant.",0,0,0,Ekaterina V.,"Manhattan, New York, NY",28,1,0
5.0,9/10/2018,The best Greece restaurant in New York! Thank you Ralpheal and Carlos for the best food and cocktails!!!,0,0,0,Oksana L.,"Brooklyn, Brooklyn, NY",12,1,4
4.0,9/7/2018,"Feels healthy but the portions are very large. There's a great variety of salads, seafood, and appetizers. The fresh seafood offering is the real highlight and made quite well. Inside is very clean but initially felt a little awkward. Pretty empty on a week night and quiet enough for a good conversation. Service was good and food was made for us promptly. The zucchini fritters and stuffed calamari were delicious and my favorites of the night.",0,0,0,Helen S.,"Manhattan, New York, NY",8,52,242
5.0,9/4/2018,"One of the best Greek restaurants in Manhattan.Tasso (the owner) is a wonderful host who will take care of you right! Alex was our bartender. He was very attentive and even made some specialty cocktails which were delicious!In terms of the food, the Maine Diver Sea Scallops wrapped with Kataifi Filo were the BEST scallops I've ever tasted! The kataifi around the edges added a unique crunch to the outside, and the scallops were flavored and cooked to perfection inside.The ambiance of this restaurant is upscale - beautiful and classy with sea-themed blue and white, and gorgeous lighting.They also have private rooms upstairs and downstairs. I highly recommend this for an evening date, wedding reception, or private party. I'll be back for sure!",0,0,0,Rachel P.,"New York, NY",187,3,0
5.0,8/31/2018,We have gone here multiple times and always find that the whole fish is done here better than any other restaurant in town.  We also always find interesting and modestly priced Greek wines.  Recommend highly.  An added bonus....beautiful interior and wound is sufficiently low to permit conversations.,0,0,0,Robert K.,"Manhattan, NY",0,1,0
5.0,8/31/2018,Came for a food and wine tasting. The place is very quaint and romantic. The food presented was exceptional and very well presented. I would highly recommend this place as a great date spot or business dinner.,0,0,0,Alex B.,"Staten Island, NY",2,32,17
5.0,8/15/2018,"I can't say how much I am in love with this place. Excellent services. Super yummy food. And great deal on the RW menu. Firstly the complementary bread/cake with some amazing spread (I am not sure about the name but it was so delicious). Appetizers we got octopus and salmon - great fish and fair dressing. Entree I got grilled lamb chop - Prob the Best lamb chop I've ever had! My friend got the sea bass which I tried a little - also very tasty! Finally the dessert - we got yogourt and a custard/pudding - both were good. In all, this is prob my best RW experience so far and I will 100% come back to it to try their regular menu.",0,0,0,Yulu H.,"New York, NY",7,292,507
5.0,8/14/2018,"One of my uncle's favorites when he is in town and I can see why.Well designed menu, highlighting the best of Greek seafood.Every dish we ordered was screaming with freshness and superb preparation. Every experience at Thalassa is memorable leaving us wanting to return. Every aspect of this restaurant deserves 5 stars.",0,0,0,May C.,"Cupertino, CA",80,59,0
5.0,8/3/2018,"Excellent Service, Great Meals, Fabulous for Events!  We recently hosted an engagement party at Thalassa and could not ask for better service as well as great meals with a  fabulous bar and great drinks.  From the moment we contacted Thalassa to secure the venue until the day of the event the staff and events manager were both accommodating, attentive and professional.  Thank you Tasso and Team for making this event a memorable one for the bride and groom to be.  Words from many of our guest ""fabulous venue, excellent food and a great evening."" We recommend Thalassa Restaurant for events and dinners.  We can't wait to go back.",0,0,0,Neela M.,"Staten Island, NY",30,9,2
5.0,8/1/2018,"We decided to try Thalassa for Restaurant Week and had a fantastic experience. The restaurant is beautiful, with elegant decor and comfortable seating. Everyone on the staff was gracious and welcoming, and Alex, our server, was professional and attentive throughout the evening. Before our salads we were served a treat from the chef of chilled tomato soup that was so good it should definitely be added to the regular menu. As for the rest of our meals, everything we ordered was fresh and deliciously prepared. We honestly can't think of a thing that we would have changed. Looking forward to a return visit soon!",0,0,0,Gary C.,"Traverse City, MI",0,4,0
5.0,7/28/2018,"My friend told me she went here for RW and she liked it (she has got high standards). So I decided to give it a try, and i like it alot. Food was good, service was good, the place and bathrooms were clean. Other restaurants that i will not name should take note. I did not leave hungry and at most fancy places I tend to.",0,0,0,Victoria C.,"New York, NY",0,15,35
5.0,7/28/2018,"This is probably my favorite Greek Restaurant in town. Appetizera are very generous and extremely tasty. Variety of fresh fish and seafood would satisfy any taste. Great service, wine list is exceptional.",0,0,0,Vlad Y.,"Staten Island, NY",26,1,0
5.0,7/27/2018,"Stopped in for some drinks and appetizers with co-workers great service, and the most friendly staff.  We decides to sit by the chairs and coffee table and they moved everything around and bought us some additional chairs.  The appetizers were amazing so I need to go back and check out the food.",0,0,0,Angelina R.,"New York, NY",30,3,0
5.0,7/13/2018,"Restaurant is well decorated and the tables arent right on top of each other so it was perfect for my date night, or for dinner with friends and coworkers.   The maitre'd and our wait staff were very helpful and friendly yet not over bearing.    The food was delicious.   Lots of very fresh seafood and shellfish options.    Cant say enough good things about our waiter Alex.    Will definately return",0,0,0,T M.,"Kings Park, NY",0,8,0
5.0,6/9/2018,Perfect service and the seafood is very fresh. Love the complementary shrimp bite. Strongly recommend,0,0,0,Joy Z.,"Manhattan, NY",0,15,6
5.0,6/7/2018,"I went to Thalassa last week and had another incredible meal. This was my 3rd time I have dined here. I'm not much of a reviewer but this time I decided to write one. For starters- the space is super pretty. It doesn't feel like the every day norm in NYC restaurants. Elegant but not stuffy. The service is fantastic. Greeted and seated right away. The staff was attentive but not annoying throughout the experience. The food- phenomenal. Not only was it delicious and the plating so pretty, it had to be the freshest fish I've had in some time. Other than preparing and executing a recipe which they do top notch here, the fish quality also is key and all three of those together put on quite the culinary experience. We had the scallop app, octopus app, and stuffed calamari. All were excellent but the scallops were my favorite. I could have eaten 6 orders of them. After that I had the soft shell crabs over sea urchin risotto. It was delicious. The most shocking part about it that was there was actual whole pieces of sea urchin served with the risotto. I was expecting the broth only to be made of sea urchin, not to actually have it to eat too. On our way out, we was fortunate to meet the chef himself -Ralpheal. Super nice guy and he was quite thankful of our compliments. Looking forward to my next experience here!",0,0,0,Bodi K.,"Manhattan, New York, NY",0,3,0
5.0,5/18/2018,"Out of the world service! Reminded me of when we were in Greece where people were super nice.The drinks were made well. We ordered a Dirty Martini off the menu, and it came out exactly how it should be. That was the first sign that the restaurant is good.The food was super tasty. Just the right flavors and freshness. Even with great food and drinks, the top of my list was their service. Even though they were understaffed, the waiter was never hurried. He had sort of an elegance to himself. They forgot to add our drinks at the bar to the bill, and when we pointed that out, they were ready to comp us. Really, comp us for $40! We obviously said no to that, but we really appreciated the gesture.The decor as you enter feels clubby, but the dining room is very relaxed and elegant. They also got us free desert wine at the end as it was our anniversary. Overall, we really enjoyed our experience here.",0,0,0,V L.,"Financial District, Manhattan, NY",0,5,0
5.0,5/15/2018,"We hosted a wedding rehearsal dinner at Thalassa for about 60 guests (including small children and picky eaters) and we couldn't be happier with how it went. The space was elegant yet cozy, the food was exquisite, and the servers were attentive. But the star of the show was Tasso, the special events director. He responded immediately to our questions and worked with us every step of the way to create a magical evening.Highly recommended!",0,0,0,Michael S.,"Washington, DC",0,2,0
5.0,4/16/2018,"Thalassa has been a family favorite for nearly a decade and it never disappoints. Their service has always been attentive but not annoying. Our server Madison lived up to expectations. Of course, the food is the main event. Freshest seafood prepared simply but expertly. Nothing compares.It's hard to say what to order because it's different every time. We always listen to what the server suggests because they'll let you know what's the best that very day. Don't miss out on the amazing veggies sides! Broccoli rabe with feta, lemon potatoes, I could go on and on.",0,0,0,Andrew M.,"New York, NY",0,2,0
5.0,4/11/2018,"I have been to Thalassa for multiple special events as well as quiet dinners.  This restaurant is a real gem.  Food, service and ambiance are all wonderful.And if you are planning a group dinner for a special event, the management and staff are first rate in every respect, and make it very easy for you to show your guests that you think they are special.",0,0,0,L M.,"San Francisco, CA",0,8,0
5.0,4/9/2018,"I had a small wedding party this weekend at Thalassa and it was truly an unforgettable experience. The staff from the beginning to end (especially Tasso!) were easy to work with, incredibly accommodating and really made the experience special. The food was fantastic (the entire wedding party commented on how delicious it was), the atmosphere was classy (but not too classy that it felt stuffy), the staff on the night of the dinner were so attentive and pleasant, the music playing was great and everything was just perfect. I can't recommend this place enough for a wedding party, event or just a great dinner; if I could give this place 1 million stars I would. THANK YOU THALASSA!",1,0,0,Victoria T.,"New York, NY",7,4,0
5.0,3/27/2018,"Great service and environment.  Food was yummy.  My friend and I went there for dinner and our waiter was very kind and friendly.  We ordered fish and lamb were yummy.  Fish dish has great flavor of stuffing and the Lamb is tender.  Environment was fantastic that great for couples, friends and family gathering.  They have a party area in the basement that good enough to host a family party of 30 or more.  I was impressed by their service from greeting to service.",0,0,0,Vienna C.,"Manhattan, NY",7,78,120
4.0,3/25/2018,I really like Thalassa. Service was so nice and respectful.  If you love seafood like me I highly recommend you eat here. For dessert they have gelato in super-cute mini ice cream cones! So cute.,3,2,5,Saira K.,"Atlanta, GA",1164,1261,1903
5.0,3/18/2018,"Second time here in two weeks. Love the food, the staff and the place. Great fish restaurant bit their appetizers are quite special. Had scallops in kataifi wth salsa which is amazing. Grilled octopus is excellent. For main we all wanted lamb chops and they created a main from the lamb appetizer. Great racks of lamb done on a fire grill tastes like the islands. Gabriel was our main waiter. We love him. He looked after us like family.   Ask for him.",0,0,0,Gavin M.,"North Wales, PA",0,4,2
5.0,3/16/2018,"Excellent place, probably one of my favorite restaurants in NYC. The price/quality ratio is unbeatable; their prix fixe menu is outstanding for the price. They have a massive wine list for those who like variety and exotic options, with a bunch of Greek wines. The service was probably the best along with the food, our server Gabriel was really nice and knowledgeable. Definitely became my go to Greek in NY",0,0,0,Carlos L.,"Toronto, Canada",220,4,0
5.0,3/5/2018,"Had a great time at Thalassa. Highly recommend the meatballs with a twist of lemon, the Dover sole, and the crabmeat salad. The restaurant vibe is cool, relaxed, yet upscale. Madison provided excellent service at the bar and made excellent recommendations which really enhanced the dining experience. If you're in TriBeCa and looking for seafood/Mediterranean, I'd definitely recommend Thalassa.",0,0,0,A M.,"Manhattan, New York, NY",0,1,0
5.0,3/4/2018,"This restaurant is awesome.  Excellent food, service and ambiance.  Very fresh sea food and Greek specialties.  Highly recommend.   They even have vegan selection so everyone was happy.   A treasure in TriBeCa.",0,0,0,Bill P.,"Brooklyn, NY",0,7,2
5.0,3/4/2018,"Five stars all around.  Food service and ambiance.  We wanted fish and  had given up looking for a restaurant prime time Saturday night.  We remembered Thalassa in TriBeCa which means ocean in Greek.  We were warmly greeted and seated by super friendly and polite staff.  The service was impeccable. The food was excellent.  Delicious healthy portions. Super fresh fish (we had the snapper filet and the greens followed by blood orange sorbet). As we were leaving the owner himself asked us how we liked our meal.  Genuine Greek hospitality plus super food.   I would recommmend this place for any occasion.  Can't wait to go back,  Cathy P",0,0,0,Cathy P.,"Brooklyn, NY",0,4,0
