rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/30/2019,"Decent steak, a bit pricey. The waiter on Tuesday night very pushy with the upsells and asking if we wanted more to drink. Was actually intrusive, reminded me of a vegas nightclub host trying to get people to spend up on bottles.",0,0,0,Matt C.,"Manhattan, NY",0,3,0
5.0,12/3/2018,"The best date night we have had in years!!Please - sit at the bar and dine with Eddie, you will be in for an event of a lifetime.Eddie is the best and took amazing care of us, he set up our spot with a gorgeous bouquet of flowers, made the best Manhattan's, poured us amazing Champagne, we got the Bone in Filet and Aged NY Strip with Truffle Gnocchi paired with an amazing Pinot Noir, followed by a delicious chocolate lava cake on the house!We can not wait to come back!!",1,0,1,Heather H.,"Manhattan, NY",1,55,0
5.0,11/13/2018,"Halloween 2018!My wife and I dined at the Strip House in full Halloween attire. Not only did the staff provide remarkable service as always, and not only was the food amazing as always, but as a symbol of appreciation for bringing Halloween to the restaurant, we were treated to dish after dish which we didn't order, and delicious champagne to end the evening. It doesn't get better than at the Strip House Speakeasy. Superb!",0,0,0,Dr. Richard Z.,"New York, NY",0,12,0
4.0,9/10/2018,Pricey steakhouse but it has a nice old school charm. It's a bit cramped inside with your neighboring tables but that is new york for you. Very dark ambiance so it's a place to wow a client but i would say necessarily a date since its cramped.The go to dish here is the bone in strip or the aged bone in rib eye. Wonderful tender flavor with a nice pepper and salt crust. The oyster appetizers were also great 6 east/ 6 west. Wonderful of the sea flavor. I'd forgo the sides as none of them stood out and you can save a few bucks. The dessert of the night had to be the layer chocolate cake. Large portion which was enough to serve 4. Had to take it home as there were leftovers. It's a pricey place but the steak was spot on.,3,1,3,Kevin C.,"New York, NY",1570,775,1785
5.0,8/12/2018,One of the best steakhouses I've been to. The ambience is out of this world. The service was awesome. The dry aged filet I ordered was outstanding. Served with roasted garlic for the steak and it was mouthwatering. All of the steaks get the roasted garlic. The sides were all fantastic. Delicious!!!!,0,0,0,Tricia A.,"Brooklawn - St. Vincent, Bridgeport, CT",511,10,0
5.0,5/16/2018,"This is hands-down my favorite steakhouse in the city. Not only is the food always delicious, but the vibe is also great. We recently planned an event there, and the staff couldn't have been more accommodating and easy to work with throughout the entire process.",1,0,0,Lauren M.,"Manhattan, NY",0,13,0
5.0,2/10/2018,Dinner last night was beyond our expectations.  What an intimate space.   A perfect hidden gem in Manhattan.   Make sure to get their Ribeye.   The charred crust seals in all the flavor.   Best steak I have had in a while and the service was top notch.  Can't wait to come back for more!,0,0,0,Andre M.,"Miami-Dade, FL",35,6,1
4.0,2/7/2018,"Went here with a friend to check out this place for restaurant week.After perusing the menu, I decided to go with the onion soup, the strip steak, and the vanilla pear cake.The onion soup wasn't your conventional French onion soup option as it came in a bowl with a mini grilled gruyere cheese sandwich on the side for dipping. This seemingly simple dish actually was quite tasty and definitely was a hearty opening to the meal.For the main course, I opted for the strip steak (we were at a steak house after all). The strip steak was good--not outstanding though and the portion size was a bit small. The potatoes and Brussels sprouts were also decent, but nothing to write home about.I finished the meal with the vanilla pear cake with pumpkin ice cream. I am not sure if I really understood the pairing, but the pumpkin ice cream was absolutely delicious! The cake was decent as well, but definitely got outshone by the ice cream. I also had a bite of my friend's banana bread pudding, which was also very tasty.Overall, this place serves up some great food at a decent price for restaurant week. Not sure I would order the steak again with the +10 supplement on the Restaurant Week menu, but everything else was very good.",3,0,1,Ryan R.,"New York, NY",746,1843,225
2.0,2/1/2018,"Didn't enjoy our Restaurant Week dinner. The choices were unusual and not satisfying. Kale and Brussel sprout salad with a runny poached egg on top?? Just plain weird. We paid the $10 supplement for the steak option but the portion was quite small. More than a small tablespoon of mashed potatoes seemed warranted.Despite the food, the service was great. The hostess was especially inviting and friendly, and all the wait staff were efficient and accommodating.",1,0,0,Elizabeth B.,"Stuyvesant Town, Manhattan, NY",0,4,0
4.0,1/12/2018,"Met a friend for a drink before headed to the Strip House restaurant upstairs. Very cozy, cool spot. Decent wine list and cocktails. I would recommend if you're looking for a pre dinner drink or post dinner cocktail.",0,0,0,Kate S.,"Linden, MI",4,52,11
