rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,2/10/2019,"We bought a $100 gift card for this restaurant and now it's closed not even a month later? Someone better be refunding us money. We never even had the chance to go to the restaurant! This is absolutely ridiculous, especially after how much of a hassle it was to get them to send the card in the first place. Somebody need to contact me immediately about a refund.",0,1,0,Christopher N.,"Wesley Chapel, FL",536,28,6
5.0,12/29/2018,"What an amazing restaurant with incredible service! We reserved the 3rd floor private dining room for a very special event, my son was proposing to his girlfriend and we had family in from out of town for the event. The manager confirmed the reservation that morning and had the room completely ready for us on arrival. We had a bit of a delay with our party but the staff were amazing and so responsive to all of our needs. The food was incredible, absolutely perfect in every sense.The restaurant and staff made this event something special we will always remember,  thank you for such an amazing evening!!!",0,0,0,Shanie S.,"Mid-City, New Orleans, LA",45,4,0
5.0,12/20/2018,Jean Carlo and his staff were A+. One of the best steakhouse experiences in NYC. Must try for anyone local or visiting. Get the porterhouse for 2!,1,1,0,Nick P.,"Ridgefield, CT",0,4,0
1.0,12/17/2018,"I've been here a few times and must say the food was good.  But I will say customer service is always a choice I choose over the quality of the food.  I've been trying to get a hold of a gift certificate for the past week and half and have been strung along by the employees telling me they don't know and to call back.  I've called back many times and actually walked into the restaurant thinking it might make it easier.  Nope, the workers gave the same attitude and answer.  Pretty much told me over the phone ""what do you want me tell you, I don't know anything about gift certificates and I guess we don't have any, I can't help you.""  I'm sorry with that attitude I've been dealing within the past week, I will never set foot back in this place.  I was trying to purchase 3 gift certificates for 300 each and now it looks like I'll just go with smith and wollensky, where they actually respect their customers.",0,0,0,Moe D.,"Brooklyn, Brooklyn, NY",0,1,0
1.0,12/16/2018,Happy birthday to me.We arrived at 5:10 for a 5pm reservation.   Ordered quickly as we had a show.   Took 40 min for appetizers to arrive.  Wine ordered.   Waiter forgot.  Had to ask again.   Steak overdone.  Service non existent.Had to get up and ask for the check so we would not miss our show.  Why take a 5pm reservation if you are not open to serve.   Horrible.,2,0,1,Jim S.,"New York, NY",42,8,0
1.0,12/16/2018,"I had a horrible meal at Greenwich Steakhouse last night. The service was so terrible it ruined our evening. In the course of dining there for around 2 hours we never once were asked how our meal was, if we wanted another round of drinks, and our waters were never refilled. Diners all around us were opening complaining that their food was taking a long time or the waiter never delivered the check. Our drinks came out after our appetizers without any explanation after we waited around 30 minutes for 2 drinks. It was so disappointing as the food we ordered was on par for a good steak house however if I'm ordering a $100 steak I didn't think it's unreasonable to expect a high level of service. At the end of the meal I explained to our waiter that I was upset and he then started an argument with me that he had been working in restaurants for 25 years and knew he was right. In New York City there are so many other GREAT steakhouses, take my advice and skip this one.",1,0,0,Maddy K.,"New York, NY",0,2,0
1.0,12/15/2018,If there was an option to give zero stars I would. By far the worst service I've ever had at any restaurant.,1,0,1,Jillian S.,"Manhattan, NY",287,1,0
1.0,12/14/2018,"One of the worst restaurant experiences I've ever had. I wish overcooked steaks were the problem, but they were just a symptom of a much larger issue. Complete incompetence from host to kitchen to wait staff, capped off by a waiter asking my friend ""What is your problem?"" None of the six of us will be back. Don't make the mistake of coming here.",2,0,1,Andrew R.,"Manhattan, NY",303,15,5
5.0,12/14/2018,Jean Charles took such great care of us...gave us the exact lunch experience we wanted..food was great service was awesome ...need to come check it out!!!,0,0,0,Sam B.,"Charleston, SC",3,9,1
2.0,12/9/2018,"2.5 stars. Surprised at how many good reviews this place has. I was there yesterday with two of my friends. We were seated immediately, which was great. However it took almost an hour for our food to come out (approx 55 mins). We ordered a porterhouse for two and a tomahawk steak with two sides. When I asked the waiter why it was taking so long 45 mins in, he said it normally takes that long and we should have ordered appetizers for that reason (???). That's just bad customer service. When the steak finally came out, it was medium rare as we'd ordered, which is good. However it lacked flavor. It definitely lacked salt but there was no real flavor. Disappointed over all. Considering we paid over 200 dollars just on food for three. I've been to a decent number of steakhouses. This one was definitely one of the most disappointing ones. Bland food. An hour long wait and mediocre service.",0,0,0,Anup S.,"Manhattan, New York, NY",0,1,0
