rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/17/2019,"This place is a delight, in crappy FiDi. Went there for a team lunch, arrived at midday and it was totally empty. By 12:30pm it was almost full. We all had the Schnitzel, and it was friggen delicious. Perfectly fried, still juicy, and it had some lovely (authentic Austrian) sides that I don't know the name of. I was like starving - and I thought to myself ""I wish this was a slightly bigger serving size"" - but then I realized I DIDN'T need to eat until loosening the top button was necessary. And I was happy. Atmosphere was so nice - its a cozy, restaurant. Perfect for a date, work lunch, or just when you NEED to eat schnitzel (which happens more than you think).",0,0,0,Lisa L.,"New York, NY",76,31,2
4.0,4/16/2019,"Cozy ambience and good service at the bar. The burger was pretty good - juicy and cooked well, but a bit too salty for me.",1,0,0,S C.,"East Hanover, NJ",21,404,46
4.0,4/3/2019,"Food was very delicious! Although the ""Wiener Schnitzel"" was not origins Wiener Schnitzel as it was made of Pork and not Veal. The portions were very small for the price paid, like potato salad was of a side of two table spoons. Strudel was very delicious, but again such a tiny portion! Service is was friendly and good!",0,0,0,Rudi S.,"Munich, Germany",0,59,116
5.0,3/30/2019,"Really good authentic Austrian / German food is actually kind of difficult to find. But this place delivers, perfectly cooked meats and other dishes with  great flavors.",0,0,0,Brian M.,"Glenmoore, PA",15,177,92
5.0,3/20/2019,Beautiful eclectic decor. The best schnitzel I've ever had. I went with my Austrian company so I guess they should know. This is more of a. Lunch spot and their sister restaurant in the village is more dinner,0,0,0,Richard B.,"Grand Rapids, MI",54,197,163
5.0,3/12/2019,This is one of the best restaurants in an area with not many good food options. The decor is beautiful and calming with a warm feel.The best part about the menu is that there are delicious options whether you want to eat healthy or pig out.I recommend the ricotta crostini and crispy Brussels sprouts.,0,0,0,Masha G.,"Upper West Side, Manhattan, NY",23,3,1
4.0,3/2/2019,"This place is such a pleasant surprise! It's in the quiet part or FiDi, 2 blocks past the Trinity Church and a bit away from the Freedom Tower. When I was looking for the place I was genuinely confused by the location. My friend and I went for lunch and were hoping to get seated a bit early because she had a meeting afterwards. We got there and the woman greeted us sort of rudely, saying, ""we open at 12"" and walked away. We were not impressed. We walked around for a bit, came back, and was greeted by a man. He was super nice, not too attentive and overall changed the experience for us. I'd say what really got us...THE FOOD! The menu is nothing special but the quality of ingredients were clearly superb. I just got the classic burger and my friend got some sort of pasta with swiss chard? I'm definitely gonna recommend this place to my friends. I recommend you make a reservation on opentable though. At first we thought it would be dead because it was lunch, but not long the entire place was packed.",0,0,0,Argina G.,"Sunnyside, NY",0,13,0
4.0,2/27/2019,"Came here for a work lunch and enjoyed a nice meal. We started off with some drinks (they only have a selection of wine and beer, despite there being what seemed like a bar in the back) and ordered some appetizers for the table. We got the grilled french carrots (minty, kind of odd), crispy brussel sprouts (not vegan), roasted cauliflower, and pommes frites for the table, all which were delicious. As the resident vegan of the bunch, I ordered the whole wheat and avocado, with a side of butternut squash soup, but found both to be pretty disappointing. The avocado toast was really just be avocado puree and the soup was rather bland, but I enjoyed having options to eat that weren't just salad. My coworkers had a range of items, from the Schnitzel to the duck, and all enjoyed their meals. I think the highlight for me were the appetizers, but I wouldn't go back on my own dime. I'm certain my coworkers would, though!Tl, dr: We picked this spot for its location and wide range of options, including vegan ones, and everyone left satisfied. I wouldn't recommend this for vegetarians/vegans, however, as the food fell a bit short, but for the main dishes and overall experience, I felt 4 stars was warranted.",0,0,1,Olivia S.,"New York, NY",144,47,54
3.0,2/26/2019,"Cozy atmosphere, good service. They definitely have vegan options, I'll give them that. Had the crispy cauliflower. Was tasty. Also had the chick pea stew which was lacking. Both items had a non-vegan ingredient removed but not sure anything was done to round out the experience for the vegan version. The stew... was just not impressive from a flavor or texture perspective. The fries were good but a little too thin for my preference - very shoe string.",0,0,0,Molly N.,"Upper West Side, Manhattan, NY",13,89,87
5.0,2/22/2019,"This is my favorite spot in Fidi to eat, and drink. It's pricey but the food is really good. The burger is great. Good service. Nice place to go after work for dinner; casual vibe but bougie.",0,0,0,Charlie H.,"London, United Kingdom",309,4,0
4.0,2/18/2019,"We went there at Valentine's night, four girls of us. They only have pre fixe menu for Valentine's day, 65 per person. Appetizer is ok, the oyster is really good. Entrees are really good. Filet is so tender, bass is good, and schnitzel is good as well. Desert is not so good as expected.",0,0,0,Qingshan M.,"Jersey City, NJ",37,11,42
5.0,2/17/2019,"I visited New York for a work trip and stayed in the financial district. Schilling was new my hotel so my coworker and I went there for dinner one night.We ordered both the wiener schnitzel and the housemade tagliatelle. The schnitzel was a delight, but the tagliatelle was to die for. It was one of the best meals I've had in months. The flavor palette was complex and flavorsome--the pickled Thai chilies gave the dish a subtle Eastern spice in this Western dish. The tagliatelle was soft but not too soft and the lamb shoulder was tender.I enjoyed the tagliatelle so much that I came back the following day for seconds before flying back to Chicago.",0,0,0,David Q.,"French Quarter, New Orleans, LA",7,7,6
5.0,2/15/2019,"We really enjoyed our small plates dinner: baby gem salad, crispy Brussels sprouts, roasted farro salad (with ginger, soy, and avocado, it gave a sushi vibe!), and tomato and chickpea stew with creme fraiche. Delish!",0,0,0,Jennifer K.,"New York, NY",7,19,0
