rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,3/22/2019,"Good but not great! Service is friendly, not uptight! Love it! The atmosphere was chill for an Friday. The drinks we're delish! But the surf and turf and baked clams were nothing to die for, just regular . The fillet mignon was good but nothing to talk about.",0,0,0,Yahaira M.,"Brooklyn, NY",10,169,369
5.0,3/11/2019,"Came here on a Saturday night and the place was not packed. The atmosphere was very comfy and warming.We ordered the oysters, bacon and salad for appetizers and they were delicious.The oysters were very fresh.They cut up the bacon for us to share.We had 4 people and ordered a porter house for 3 and portion was perfect.The porterhouse was cooked perfectly. It was very tender and juicy.We got cream spinach and asparagus on the side and they were very tasty.For dessert, I had the brownie sundae and it was the perfect end to the dinner.The waiters were friendly and they did not rush us to leave.Great place to go to and will definitely be back.",0,0,0,Kitty Y.,"Brooklyn, Brooklyn, NY",85,61,121
5.0,3/8/2019,"Arguably the best steakhouse in NYC. Mike is an amazing bartender. Very personable and makes a hell of a drink. Start with a slice of heaven,  I mean bacon for an app. Then get the baked clams they are a perfect choice. I've never had a steak that wasn't cooked to perfection here.  I've been here several times and have never had a bad experience.  Last night I was with a large group for a 50th birthday party. Our waiter Hugh was on point. Taking care of that many people is not easy and he handled it with ease. I'm glad I found this place years ago.  I'l keep coming back for years to come.",0,0,0,Kevin G.,"Nanuet, NY",5,18,0
4.0,3/3/2019,"i tried their porterhouse and share it with friends. I dont drink alcohol and order non alcoholic beers. I know you guys prefer red wine to pair, but to be honest, to pair it with cold beers is perfect. Love MarkJoseph NYC !!!",0,0,0,Kylie H.,"Mid Florida, Lake Mary, FL",1,3,0
5.0,2/24/2019,"OMG!  What else can be said.   Yes it's expensive, yes it's a bit stuff to deal with the staff, but what you may miss in the price and first impressions you will more than make up for in they truly simple but delicious food they serve. First off the Guinness is soo smooth.  I have never had another one that tasted this good without being in Ireland.  The staff has a special place and they know it.  They kind of came across as highbrow, but hey it is a great small NY steakhouse.  Let's start off with the appetizers,  I ordered there Caprice salads and Thick sliced bacon.  I was blown away... seriously it's wintertime and you do lot expect to have something this fresh tasking.  I pride myself in finding places off the beaten path to try new and fun foods. The bacon is crazy good, a little char, great rendered fat, and the taste..  crazy mix!!! The main course was a cowboy ribeye.  This was cooked at an internal temp of 126f finished with a great sear. Excellent Dinning! Thanks for reading my traveling rambles -Sepi",0,0,0,Cris E.,"Ankeny, IA",19,58,12
5.0,2/17/2019,The restaurant week menu is a great deal.  You get a real steak as opposed to other restaurants that offer small portion size of foods that are not on their normal menu.,0,0,0,W C.,"New York, NY",0,11,3
5.0,1/5/2019,We came here because it was highly recommended by locals. Our waiter Mike was absolutely awesome! This was the best steak I have had and had great sides. Would highly recommend again!,0,0,0,Alstom G.,"Apex, NC",0,1,0
4.0,12/24/2018,"Great food and exceptional service! My bf and I have the tradition of going to a new steakhouse every year for his birthday and 2018's selection did not disappoint!We had an early 7pm reservation and were welcomed promptly upon arrival. They have a coat check which was a nice touch. First impression of the dining room was that it was very nice and elegant. After we were seated our server Meredith came over to introduce herself. She was awesome and very funny. A few moments later one of the servers brought over two bread rolls. I'm a super fan of the starter bread at steakhouses but I was a little sad these were hardly warm and were served with hard butter. For the appetizer we got the Bang Bang Shrimp - 3 delicious jumbo shrimp lightly breaded and served with chipotle mayo. They were sooooo good! Def. a favorite of the night. For our entrees we decided to share the 40oz Porterhouse steak for 2, the lobster mac and cheese, and a side of mashed potatoes. The steak was spectacular! Not only was it cooked to perfection but the presentation was amazing as well. It came out in this sizzling plate still laying in all its natural juices. The lobster mac and cheese was just ok, it was somewhat bland and I felt that it was lacking both a substantial amount of cheese and lobster. The mashed potatoes on the other hand were delicious! We were really tempted to get a second order but we were too stuffed. Needless to say we had no room for dessert! We also didn't get to try any cocktails but as far as the menu goes its mostly wines with about 4-5 specialty drinks; some of the options included an old fashioned, a mule, a martini, etc.Prices are a bit steep, I'd say $100 p/p at the very least but I think its worth it. While I do think there's a bit of room for improvement, the service makes up for the little mishaps. I will def. be coming back during Restaurant Week as I've only seen amazing reviews with regards to that!",24,12,22,Rossy M.,"New York, NY",2413,357,1200
5.0,12/22/2018,"My bf takes me to steakhouses for my birthday and this was the best we've ever been to. Food and service was impeccable. We got the shared porterhouse, sauteed spinach and mashed potatoes. We basically licked the plates off! I cant wait to return, and for restaurant week! This is definitely a hidden gem, beautiful area in the financial district. It's of course pricy, but worth it. We came on a weekday evening so it was pretty empty but I'll definitely be returning!",0,0,0,Nic B.,"Manhattan, NY",1,24,0
5.0,12/18/2018,"It is always a special treat when we come here for dinner! The staff is friendly/attentive, the restaurant is spacious, and the food is AMAZING! Definitely try the bacon, tuna tartare, steak sandwich, & obviously the steaks! The mashed potatoes are silky & heavenly! Ohhh and their steakhouse sauce is on point! Big shout out to Jarred - great cocktails & super personable!",0,0,0,Saira W.,"Brooklyn, Brooklyn, NY",17,113,358
5.0,12/9/2018,A hidden diamond! We have been to Mark Joseph a few times and have never been disappointed. The staff are very attentive and made each of us feel very special. The menu is typical steakhouse. On our last visit two weeks ago we enjoyed the soups and wedge salad as appetizers. Our entrees were prepared exactly to our request. Dessert was v rly good. The wine selection was robust. We will definitely be back!,1,0,0,Lora G.,"Staten Island, NY",0,22,0
