rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/26/2019,This place is terrible. The servers and bartenders try but the drinks are sugary and sweet as hell. The food is bland and the most limited bar menu. A travesty of a place to go before or after a movie. Pass on this and hit another restaurant in the area.,0,0,0,Randy P.,"Riverdale, NJ",88,15,1
2.0,4/22/2019,Not as good as I expected. Food was basic. It was a Friday night & the manager was making the staff do all the extra cleaning that should have been done on a week night. Killed the vibe.,0,0,0,Eva F.,"Isle Of Palms, Charleston, SC",149,5,0
4.0,4/17/2019,The place is a wonderfully designed space and there is a nice view of the bridge. We came as a group and we all felt well treated and enjoyed the drinks and shared a bunch of appetizers.  This is a great place.,0,0,0,Jeannine M.,"Bayside, NY",19,409,43
4.0,4/12/2019,Had a good time enjoyed the movieAnd the seats were super comfortable...  We had the lounge Chaise seats but unless you like sitting right on top of the screen they are very close,0,0,0,Carl K.,"Roselle, NJ",91,14,39
3.0,4/12/2019,"I normally love this restaurant for after work drinks and food.  Today's lunch was disappointing.  Ordered the Tuna Poke and the tuna was in chunks, the rice was dry, the chips burnt, and the onions and tomatoes was sparse.  If the lunchtime chef does not know how to make the dish, it should not be offered on the menu.DO NOT GET THE TUNA POKE FOR LUNCH",0,0,0,Dee R.,"Long Island City, NY",0,2,0
4.0,4/11/2019,Went here for happy hour and we really enjoyed it. The happy hour deal is great but it's a pretty short one (they had 'last call' at 6:40!). Turkey burger was outstanding and my cocktail was perfection! Service was fine though not the most attentive. Will definitely come back with coworkers again.,0,0,1,Tania A.,"New York, NY",50,6,0
2.0,3/31/2019,"This place is a disappointment for service and food.Venue: (4/5) this restaurant is on the third floor of an I Pic theater.  That's pretty cool.  It has a lounge chic feel to the restaurant.  I saw dates, and groups of all sizes.  The party I was with took a private room and had about 8-10 people coming in and out.Food (3/5) overall ok but misses on many itemsTruffle fries (2/5) - how can you mess up fries? At tuck it was a miss.  The fries came out somewhat warm.  Some were crispy others were not.  No one wanted to get a second order even with plenty of drinksBrussels sprouts (3/5) ok but nothing to remember Calamari (4/5) good.  We reordered this.Pizza (2/5) pass on thisService (1/5) - oh my.  We started to get drinks from  the bar instead of waiting for the waitress to return.  She was pretty slow.  Napkins we had to get from the bar and utensils at times.  I ordered a vodka soda with cucumber she brought a mimosa.  The place was not full but the waitress seemed overwhelmed.",2,0,0,Lana T.,"Financial District, NY",376,334,160
4.0,3/31/2019,"I LOVE iPic and am loyal to them, so I try to eat at Tuck Room each time I watch a movie but to be honest, I rather eat from the movie menu than the limited menu at Tuck. I don't find the food great either, but the drinks and service are fantastic. I recommend sticking to the salads and drinks. The burgers are also good but on the heavy side and quite pricey I might add.",0,0,0,Cheryl A.,"Fort Lauderdale, FL",109,43,59
4.0,3/30/2019,Came here bc we wanted something to eat before our movie. We were seated quickly and out waitress was really nice. I ordered the sangria which was pretty good. For food I had the calamari and it was so good I ate all of it lol. For my entree I ordered the chicken Caesar salad. Our waitress was very attentive by checking on us not too overwhelming. I will definitely come back.,1,0,1,Tanya M.,"Brooklyn, NY",125,30,92
5.0,3/16/2019,"This restaurant is one of the coolest, upscale eateries in New York! I had the best Impossible Vegan burger I've ever eaten. It was far superior to the vegan restaurants I frequent. Cilia was my server. She's a wine expert. I had a crisp, semi sweet, semi dry Pinot Grigio to compliment my burger. It was Cilia's perfect suggestion! The decor is exquisite! I felt like I was at the Four Seasons Hotel in Las Vegas!!! For a great Saturday lunch.......try Tuck!",1,0,0,Linda J.,"Long Island City, New York, NY",0,9,0
