rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,1/4/2019,"It didn't live up to anything at all. It was mostly people that weren't NYers (local or not) and for them, it's a fine place to spend 50% too much money. No way the things we had were any sort of revelation of flavors. Crab fried rice - the edge on this was the Japanese mayo and some caviar? Nah, mayo is not edgy unless you put it under a salamander. The mayo just calms it down. Wings - were fine. They are just another flavor of chicken wings. Big friggin deal, amirite? Hong Kong noodles - I know it's not fair to compare it against my local Shun Wang in Elmhurst but dude, this was just a boring version of that. Where is the excess?? Wok charred bok choy. Dude, that's just a normal bok choy. It is the most friggin normal thing. Why are they listing it as 'wok charred'? If it were anything other than charred in a wok THEN you write the method. They are exoticising themselves. It's bok choy not Roy Choi. Bok Choy. The whole thing fells like you are in a city that is not NYC. Idk, I wish them luck but it's boring and expensive. Actually I don't even wish them luck because it's a celebrity restaurant and how can I support a place where the brains is not getting dirty and I will never have a chance to meet?  If you're even confused about authenticity, worry not. Talde is as authentic as it comes. You're eating at the flagship celebrity chef restaurant, hailing from Illinois - it is no more, no less than what you would expect from that. It's not Asian food served with a wink, it's Asian food served with a crutch. This is Asian-American fusion on the weak end of what is American. It uses ""American"" to explain why it has no spark. But that's selling America short. They use the ""American"" as an excuse to say why it sucks. I'm not saying Daniel Talde has to be anything. But the place is weak. If you want some sort of Asian food, go to Sunset Park, Elmhurst, Chinatown, Flushing. If you want a New American place (which is awesome and what fusion actually is), go to Bushwick or Manhattan or Flushing.I'd rather live next to a Guy Fieri's than a Talde'sTalde is the reason I live in Queens. Talde is the first restaurant I've been in where they give you chopsticks as an ornament.",2,1,2,Jeff O.,"Jackson Heights, NY",488,1403,217
4.0,1/3/2019,I can't say  they serve the best wings ever like some other yelpers have said  but they are pretty damn good w/ their homemade ranch . Chicken wings and beer . Who knew ? Apparently a lot of people but me . I'm late to the party but happy that I finally arrived .Had the six piece for twelve dollars with a two hearted iPa and I was in heaven !! Suddenly the beer and peanuts  / beer and chicken wings / beer and greasy Chinese food combo made sense !!!!!  Sweet spicy earthy  with the best  ranch I've ever had and a hoppy bitter refreshing beer that cut through any residual sweetness like a hot knife cutting through cake .If I was rich this is what I would order for  my super bowl party !Rich I'm not so I will keep dreaming and keepin my order to a 12 piece order max which costs $20 pre tax .Maybe even next time I'll try the $18 beef fried rice .,0,0,0,Aerin A.,"Playa del Rey, CA",176,150,89
1.0,1/3/2019,"A year later and still a 1 or less. The Mala Beef and Broccoli arrived with two spears of broccoli, gross ground beef and NARY a Szechuan peppercorn. Just a sticky mess. I asked the waiter about the peppercorns and he just said ""it's the spice"" and I had to explain a few times there were none. All this I emailed to Talde and never heard back. These guys are done trying, it seems.",1,1,1,Jessica V.,"Brooklyn, NY",8,91,1
4.0,12/29/2018,"This place is a little small and a lot cramped on a Saturday night but the service is very friendly so +100000 for your friendly wait staff. We ordered a really old-fashioned and a lychee Collins - both strong flavors, both excellent drinks. Then we split the edamame (fine), kung pao chicken wings (very flavorful and sticky), the crispy oyster and bacon pad thai (oh my gooooood, not spicy and very sweet and textured), and the mala beef (got a kick but not really all that spicy). I personally liked the pad thai the best and the mala was a little disappointing because it wasn't as spicy as I expected it to be with Szechuan peppercorn. But nevertheless, the meal was delicious and thank God for Asian food portions because it was way too much food for two people.I am excited to come back and try other things on the menu!",1,0,0,Kristen L.,"Brooklyn, NY",38,289,87
5.0,12/15/2018,"I must say this restaurant really impressed me. Small, close, yet open environment. My favorite dishes were the Kung Pao Wings and the Crab Fried Rice. Holy bonkers.... AMAZING! Special thanks to the executive chef Jon Vaillancourt for the treatment and the well-prepared food. I will definitely come back again and I advise all to try this place out for themselves!!!",0,0,0,Schu M.,"Stamford, CT",0,9,5
3.0,11/18/2018,"Meh. There's a lot of hype around this place, which is probably why it felt so underwhelming. Everything about my dining experience was just average. The food, the service, the ambiance. Just go to a hole-in-the-wall place in Chinatown if you want authentic and affordable cuisine. Probably won't go back but wasn't the most negative experience. Just meh.",0,0,0,Sophia R.,"Manhattan, NY",285,18,0
5.0,11/5/2018,"Great place. Had early dinner for 6. Loved the korean ribs, chicken wings, crab fried rice and fried oyster pad Thai. Friendly service",0,0,0,Erik W.,"Washington, DC",0,51,3
2.0,10/22/2018,"Have eaten here several times and have always been impressed. Had dinner here again on Friday 10/19/18, the standards across the board have gone down. Very disappointing. Wondering if Talde changed ownership and/or kitchen staff changed.",0,0,0,Joe T.,"Brooklyn, NY",0,2,0
1.0,10/21/2018,"This place has the slowest service I've ever experienced in Jersey City. Came on Sunday for brunch. Literally was waiting 45 min for food. Manager came and apologized and said they weren't anticipating the ""rush"" - place was half empty! And food was meh once it did arrive. Please learn how to be a restaurant.",0,0,0,Asif K.,"Jersey City, NJ",0,25,1
1.0,10/10/2018,"I heard they were featured on topchef so was expecting some really good food. Unfortunately it was a case of tying too hard to be different, only to land short and very subpar. I can deal with under spiced or unsalted as you can always add more. But overly spicy and salty, you can't do anything about. We ordered crab fried rice & walnut shrimp. Both of which were way too salty... Like i am talking - - - oops I dumped a whole salt can. Plus for a few salty fried shrimp with walnuts and some orange pieces it was whoppin $25. A bit expensive I would say! Thank goodness they were kind enough to take off bill, but if the only good thing u ate is a bowl of instant--like ramen then that's not a good sign. Probably won't be back.",1,0,0,Suki N.,"Rockville, MD",3,91,42
