rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/28/2019,"So glad that I made a reservation here when we attended Sakura Matsuri at Brooklyn Botanical Garden.I love to have brunch at sunny and bright restaurant and this one is perfect.  We got the table right away.Proairy and open - even it had a little rain today, the restaurant still has a fresh and happy atmosphere Coffee - big cup, hot and good with half & half.  Also got free refill.scrambled egg with sausage - 5 stars, love the roast petite potatoessteak & egg bibimbap - 4 stars, not very authentic but the beef was really good with Korean ricesweet pea dessert - 5 stars, never considered sweet pea can be a dessert and this one totally worksservice - 5 starsConbathroom was outside the restaurantWill definitely come again to try their other dishes such as the ancient grain bowl.Corporate members get 10% discount.",0,0,0,LoveToEat Z.,"New York, NY",9,315,1169
3.0,4/21/2019,"Would give 4 stars for the food, our waitress and the beautiful setting but definitely only 1 star for the woman up at the front desk, who was pretty awful.We had a reservation for Easter brunch at 1pm. We booked on open table weeks in advance and it doesn't say on that site that you actually need to buy general tickets for entrance to the garden in addition to reserving at the restaurant, which is frustrating, given how expensive the restaurant is and that we weren't planning to go to the garden after, but we tried to roll with it and waited in the very long ticket line (because it's a busy day, which is reasonable) and luckily got there early. We called the restaurant at 1:05 to explain that we didn't know we had to get tickets and that the line was very long, so we would probably not be at the restaurant until 1:10, asking if they could please hold our table while we got our tickets and walked over. The woman on the phone was incredibly rude and dismissive. She said ""someone from your group called and cancelled the reservation (absolutely not true), and you're already late (by 5 minutes at this point), so you have no table anymore."" It looks like the *restaurant* cancelled our reservation at 12:30 for no apparent reason, and sent us an email at 12:30 (which we didn't see until after), while we were already there, our family had driven in from out of town and we were waiting on line for tickets. Rather than acknowledging their mistake she continued to aggressively blame me for the cancelled reservation, and said if we arrived, even in the next few minutes, we would not have a table. It took arguing with her and getting the manager on the phone to finally get them to admit their mistake (kind of) and make sure our table was ready when we eventually arrived only 10 minutes after our reservation.We go to the garden all the time and this is the first time we've eaten at Yellow Magnolia. The woman at the front desk made a very nice holiday brunch really unnecessarily confrontational and stressful. I'm glad we finally got to sit down and enjoy our brunch but I'm not sure we'll come here again because of that interaction.",0,0,0,Sebastian M.,"Brooklyn, NY",4,20,0
4.0,4/6/2019,"This is pretty much what you would expect for a food stand in a park with hot dogs, hamburgers, salads, and more basic entrees. Beverages such as $4 water bottles and soda wine and froze. You can pick up snacks here too. There is outdoor seating and places to sit in the garden to enjoy your purchases. It is right by the bonsai room and the cacti too as Well as the conservatory room. Relaxing place to enjoy and spend some time though it is not decadent, just convenient in the Brooklyn Botanic Garden.",0,0,0,Corinne B.,"Hoboken, NJ",341,151,248
3.0,4/1/2019,"Went on this past casual and sunny Saturday afternoon, one of the first days of the Spring season. Unfortunately, I feel like I had higher expectations that weren't really met. I should have done my research beforehand, but you cannot just go inside to eat here. **NOTE: We had to purchase a $15 adult entrance ticket to the Botanical Garden in order to go inside the cafe, as this is a part of the garden. (Side note: Luckily, it was a nice day to enjoy the walk outside, but not many flowers have bloomed yet to our visibility. Sad D:)Food was pricey considering the food wasn't anything extraordinary. The food tasted light and healthy, but you can get this type of brunch anywhere you go in NYC.The venue is beautiful, but considering it was greenhouse-like, as in floor to ceiling window type of deal, it was VERY warm indoors. Beautiful to eat at, but very uncomfortable to sit through a long brunch to chit chat over. I was sweating while brunching, which probably tainted the experience a little, but that's what you get for all of the incoming sunlight which was very pretty. If ambience is more important than pit stains is for you, then go and take all the instagram photos you want! (Even though, I think that it was not as nice as the photos make it look inside :/ ) On the upside: It was defintely cooler when we stepped back outside to leave! During our meal, one of the cocktail waitresses/servers accidentally knocked over my cocktail glass over the table. She was quick to replace the drink which was kind, but no other compliments were given after that. All in all, the cost per person which was a shared biscuit appetizer, one egg-based dish each, and one cocktail each came to $37 + $15 to enter the garden. It's the price you pay for the experience I guess, but next time, I might just do a picnic at Prospect Park for half the price and probably more things to look at.**Out of fairness, this review is based on the overall experience because I had to pay to get into the venue in order to eat at the restaurant.",0,1,0,Jinnie K.,"Brooklyn, NY",325,74,95
2.0,3/31/2019,"Food is good but quite expense, $18 for a small cheese burger with beet chips. Very polite and friendly staff",0,1,0,Dave F.,"Brooklyn, NY",39,50,9
2.0,2/9/2019,"I'm a BBG member and was glad to get reservations during restaurant week as the regular cafe menu is quite expensive for what they offer. The roasted broccoli appetizer was good, my friend ordered the salad with shaved parmesan which was fresh. However, we both ordered and had to send back the main course fried chicken with wild rice and collard green slaw. The small fried chicken cutlet tasted old and more like frozen breaded chicken, not freshly made. The wild rice was watery and equally tasteless. We tried the test tube of habanero and honey sauce they put on the plate but it did not enhance the dish. My friend reordered the chicken, hoping it was just some fluke, but I substituted the falafel with beet hummus instead. Unfortunately, the fried chicken did not improve, and the tiny falafel plate was also bland and oily. Save your money and go to the canteen outdoors in the spring. The food is much better, and it costs less than half the price.",1,0,0,Annette L.,"Brooklyn, NY",0,4,0
5.0,2/1/2019,"Wow ! So I went during restaurant week and got an excellent lunch at a good price. I ordered the broccoli and fish tacos. The broccoli was great - oven-roasted with a side of aioli and chilli powder flakes that remind me of what they serve in Japan. And the fish tacos were excellent ! I added a few drops of the sweet yet spicy habanero sauce on the side and gave it a little kick. Also, I had some biscuits with jam and brown sugar butter. I forgot that the butter was ... butter and accidentally took a huge bite. Well worth it !",0,1,0,Chris H.,"Fort Hamilton, Brooklyn, NY",7,81,332
4.0,1/6/2019,"The food was delicious and well seasoned, I ate the scrambled eggs with sausage, home fries and salad; everything was cooked to perfection.  The lobster eggs Benedict that Mariel ate needed a tad bit of wow factor, maybe a little spice or sweetness. Otherwise than that I loved the service and ambience.",0,0,0,Edgar B.,"FOREST HILLS, NY",96,503,3098
2.0,7/29/2018,"The food here is under seasoned and  bland. Suitable for small children or the elderly. But the bonus is that it is also expensive! The one night point the that it is located within the botanical gardens, so once you pay for entry in the the gardens (which you will have to do in order the eat there) you can enjoy the lovely gardens.",0,0,0,tiffany l.,"Brooklyn, NY",108,13,7
3.0,6/27/2018,"It was okay. pretty expensive for smaller portions. I am a vegan so I had the organic strawberries salad with macadamia nut ricotta and crostinis- the crostinis tasted burnt but the salad itself was pretty great. (just not sure if it was worth 15 dollars)? my mom got the roasted broccoli and that was divine. I am glad they have vegan options here, but it is on the pricier side. I wish we went to the canteen instead and had the impossible burger! (or maybe the BBG could let us picnic in their gardens, due to the price of admission)?",0,0,0,Kai L.,"Islip, NY",0,14,3
