rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,3/31/2019,While shopping around my daughter and I decided to stop here for a bite to eat. We ordered chicken parm and calamari which was all soooo good as it was fresh and seasoned well. Might I add that the staff was nice.,0,0,0,Lynnie J.,"Fort Greene, Brooklyn, NY",1,24,8
1.0,3/30/2019,Alcohol prices are a joke. $25 a glass for Macallan 12yr... and a cheap poor at best.,0,0,0,Brandon L.,"Commack, NY",0,2,0
2.0,3/10/2019,"Went there for the brunch and was very disappointed to find that they didn't use real chicken in their menu (picture attached). Hard to imagine that a restaurant with so many positive reviews served food like this...Even Wendy's serves real chicken, not an imitation chicken patty like these guys used. Definitely a big turn off for this place and disgusting to be honest...We also did the bottomless brunch drinks and the mimosas were mostly orange juice. There are a lot of other good options in the area that I would choose over this one.",0,0,0,Sean M.,"Huntington, NY",0,12,5
5.0,3/1/2019,"So much menu, so little time.  Our visit to Altesi was a little early, so the place was pretty empty. Fine by me!  Such nice decor - the wine wall is awesome - and I love the modern pops of orange.  They have this super tasty spicy oil that I drizzled on everything, and I mean, everything!  The bread basket got oil, the pizza got oil, the meatballs got oil.  I didn't stick around for dessert, but I might have taken it that far.",1,1,1,Adriana P.,"Sayville, NY",70,61,175
5.0,2/27/2019,"I came to this restaurant when I was really hungry, and I left completely satisfied.To start, the bread is amazing. The crust is perfectly crisp while keeping the center soft and chewy, so already, my meal was off to a great start.I ate the squid ink tagliolini with shrimp and a spicy tomato sauce. The noodles were cooked perfectly and everything tasted great. It wasn't too spicy, but had just enough of a kick. Definitely going back next time!",0,0,0,Philip S.,"Manhattan, New York, NY",753,166,257
4.0,12/27/2018,"My husband and I went here for dinner on Christmas Eve. The food, wine and ambiance were all great. However I'm giving 4 stars because we felt the service was a little rushed. And I know it sounds funny bc most people complain about slow service but in this case it was rushed. The wait staff barely let us finish what we were saying before walking away and I barely swallowed my last bite of entree before the dessert was brought out. Especially on a nice occasion such as Christmas Eve  it's nice to take your time. Again, though the food, wine and ambiance were all great   And the Tartufo I had for dessert was delicious but just something to consider as far as the rushed service.",0,0,0,Erica R.,"Brooklyn, NY",0,17,0
3.0,12/25/2018,"My family went to Altesi Downtown for Christmas Eve this year, and it was exactly what we were looking for. Comfortable seating, affordable menu, great service, and most importantly - didn't break the bank (which can be very hard to find in Soho). Everyone at the table (with the exception of one), decided to go with the fixed priced menu ($46) for Christmas Eve which included one appetizer, one entree, and dessert. I got the Fried Calamari to start, which was great. Cooked perfectly, and the sauce was different from traditional italian restaurants - tangy and a little bit spicy. Highly recommended! My brother got Caesar salad which looked pretty standard, and my mom got Mozzarella and Tomatoes, which were creamy and fresh.After the great round of appetizers, I had high expectations for the entree . I ordered lamb shank after seeing many positive reviews on yelp about lamb at Altesi. It was disappointing. It looked good, but was 80% bone and the little bit of meat was fatty and tasteless. My dad agreed, but what can you expect for a $46 fixed price menu! My mom got the chicken which seemed a little better. My brother that didn't do the fixed price ordered Tagliatelle con ragu di Agnello, which is pasta, lamb shank ragu and fresh ricotta cheese. The portion was smaller than other italian restaurants in the area, but he was happy with it. My dad and I were still hungry from the minuscule portion on the lamb, so we ordered a margarita pizza. It came out and it was much smaller than expected (if we knew, we would have ordered two!) but it was very good. Thin crust pizza, perfectly made, crispy and delicious. Dessert was next, and it was excellent. Everyone else got Tartufo, I ordered the sponge cake with fruit and both were delicious. I don't drink, but everyone else ordered wine and felt the prices were reasonable. I saw a lot of other Yelp reviews commenting that the wine pours were skimpy, but they served the wine in carafes and it looked like a pretty standard glass to me.Overall, the waiters were friendly and great, and they didn't rush us at all (important when with family). All the food was acceptable, and it didn't break the bank. I will gladly return to Altesi Downtown. I think next time I'll try the non-fixed price menu, order more pizza, and - if it's better - revise the star rating on this review higher.",0,0,0,Chris B.,"New York, NY",110,61,237
4.0,12/17/2018,"On a rainy Sunday afternoon while my family ate at a different restaurant, I roamed the Soho neighborhood in search of pasta with a patio so that I could eat with my dog. We were in NYC from Boston with a 13 yo and a dog. Every time I come to New York, I have a hankering for handmade pasta, made beautifully. I usually don't factor whether the restaurant is dog-friendly but that was my condition last Sunday. I happened upon Altesi because it was the only restaurant with a large awning and seats outside that would accommodate my puppy. I was practically the only person in the restaurant. I wasn't that hungry and I had been walking for some time but most restaurants in the area with outdoor seating were either awkwardly situated or did not look that appetizing (seating by the entry way, jazz band playing right next to the table etc). Boy what a pleasant surprise to eat the simple but beautifully executed pappardelle with mushrooms.Perfectly cooked pappardelle noodles bathed in a pecorino sauce. Was there cream, wine? I couldn't tell but it was delicious.Whoever cooked this little dish cared about the way it was executed. It will remain one of the most perfect pasta dishes I have enjoyed, and I have eaten a lot of pasta. Cheaper than Cipriani in the neighborhood, lovely decor and great service. My dog was largely ignored by the wait staff but I could care less because the pasta was perfect. I will be back! Thank you Altesi for making my sad little walk in Soho a meal that I will never forget.",0,0,0,Mimi W.,"Arlington, MA",0,48,1
5.0,11/9/2018,"Highly recommend the fettuccini with truffle and green peas. Buttery and just creamy enough without an overpowering truffle flavor. Reasonably priced too, at $21. The focaccia they serve with pasta was also perfectly baked and seasoned. Tried the black tagliolini squid ink pasta and it was DELICIOUS. Other notable item menus that I will try when I come back are the Lamb Ragu and the Papardelle. Can't wait to come back!",0,0,0,Joanna K.,"Evanston, IL",230,16,0
3.0,11/8/2018,"This place is pretty disappointing. Service was good and the noodles were well done but the sauces were seriously lacking. The Alfredo sauce was way too rich and didn't have any seasoning beyond the cheese. Similarly the lamb pasta had lamb that was too dry and the sauce had no complexities to the flavor. This place gets a 3 because it had a nice ambiance and good set, but for the price, the food only gets 2 stars.",0,0,0,Linda H.,"Portland, OR",0,26,0
