rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/28/2019,"I went for tea today at the Williamsburg hotel with a group of ladies. I must admit, I wasn't pleased at all with the establishments service. The wait time for our tea along with the pastries was HORRIBLE!!! I didn't feel warm welcomed. I couldn't wait to leave fast enough. I don't really know what the problem was?!? To my understanding the manager didn't want to take part in the vouchers that were purchased by the group...However, regardless of the vouchers at the end of the day.  Everybody's money is green. Had they acted right, you would have seen a lot of $$ being spent. But we kindly paid our tea tax & tips...left and went to another fine place for lunch...I wont recommend or revisit again!!!",0,0,0,Meshell C.,"Brooklyn, Brooklyn, NY",0,1,0
1.0,4/28/2019,"Want to high tea Saturday with family and while the staff was excellent and the sweets and sandwiches tasty and fresh the place itself is abysmally laid out .   The elevators are so small that there's not even room to change your mind!  One of the three elevators has been out of order for three months. NOT ACCEPTABLE.  You need them to get to the bathrooms.  I waited 20 minutes to go down one level and then another ten minutes to get in to the loo.  NOT ACCEPTABLe.  HOW did they get a liquor license with that set up?  Also, no freight elevator and huge laundry carts had to vie for space in the tiny elevators.  NOT ACCEPTABLE,",0,0,0,Patricia D.,"San Francisco, CA",0,1,0
2.0,4/28/2019,"We are currently here for tea service, reservations were at 2 it's currently 3:15 and we are still awaiting service. Although we are a party of 19 (and we had reservations) The manager Grant, was exceedingly difficult about redeeming our pulsed deal (again....we mentioned it while making reservations), stating ""Only 3 certificates per party, we really don't make any money off the pulsed deal"" (again.....we mentioned this while making reservations and your profit margin is not my concern)! The tea was cold by the time the pastries came out (it was apx a 40 minute wait between the tea delivery and the food delivery). The only reason they earned 2 stars is because of the staff (besides the snarky hostess and the manager) was fairly pleasant and I enjoyed the live music..we've opted to salvage the afternoon and head to another spot for lunch.",0,0,0,Stephanie D.,"Bronx, NY",3,91,81
1.0,3/30/2019,"The bartenders are horrendous. My boyfriend came up to order drinks and he waited a very long while because they would just look at him and ignore him and walk away. He went back to our table after being treated so rudely and I took my turn, figuring they'd pay more attention to a female ordering drinks. I did get my order after 15 whole minutes (the bar was not busy at all at this time) because one of the bartenders completely ignored me and the other one who finally acknowledged me kept me waiting 15 minutes because in between making my drinks he kept going over to the other side of the bar to flirt with a group of women. This happened thrice before I got my card back to sign the receipt. Will never come back here. This is a place to go if you really want to kill your night.",0,0,0,Geraldine S.,"Elmhurst, NY",0,2,0
5.0,3/27/2019,"Just had the best brunch thanks to our amazing server, Genti! We had never been here before, and were excited to try it out. Genti was absolutely the best -- he guided us thru the entire menu and helped us pick the best options, even providing us with the weekend high tea menu. My friend is local, while I live in Manhattan. I don't normally travel to Brooklyn, but I will 100% be making the trek back to dine here again thanks to our amazing experience. Thank you everyone, and thank you Genti for your incredible service!",0,0,0,Hannah H.,"North Hollywood, CA",27,14,1
1.0,3/21/2019,"If I could, I would give this hotel a negative star. I had my wedding party stay at this hotel and aside from various guests with multiple incorrect charges on their cards,but on the way to the afterparty of my wedding, the elevator got stuck for over an hour. Needless to say, there was no after party after that incident. Despite complaints, the hotel did nothing to acknowledge this disaster. Accommodations in the hotel were not what they sold us. They also told us there was a hotel garage with a valet. I would steer clear of this hotel. There are many other hotels in Brooklyn nearby I would choose that are far better. Whatever you do, DO NOT have your wedding block at this hotel. They are NOT equipped to handle it. There were many mistakes made even leading up to the wedding date. Unfortunately we couldn't change the block and even worse it never got better only worse with their service. Elevators were terrible and the fact that it got stuck was not a surprise considering it took an abnormally long time during regular hours, when not busy. The point, go stay somewhere else. We will never get our wedding day back again and that's upsetting. But anyone who reads this will hopefully not suffer the way we did. This establishment should be ashamed of themselves but truthfully I don't think they even care.",0,0,0,Nicole K.,"Englewood, NJ",0,1,0
1.0,3/21/2019,"HORRIBLE. Terrible. Totally Disgusted. Had my wedding guests all stay here- 20 ROOMS. This place is a complete joke. Missed my after party of my OWN wedding after being stuck in their elevator for more than an hour with my uncle passed out from claustrophobia and had to be sent to hospital and no one in this hotel gave a crap !! They did not do right by us and try to comp our room. They didn't even come check on us to make sure we were okay! Zero. Nothing. It was my WEDDING NIGHT!!!! If you want to see more of the night see Melanie M. Review below, to see the rest of the horrible service and treatment this hotel displayed! I would NEVER ever recommend you stay here. Also when we arrived our safe was broken and the light in the wall was hangin off that you could see through the wall. This is a ""high end"" suite that goes for hundreds upon hundreds of dollars a night! SAVE yourself. Do not come here. Head to anywhere else in Brooklyn because anywhere else is BETTER. Promise you that!",0,0,0,Lisa M.,"Englewood, NJ",0,3,0
1.0,3/17/2019,"I  came into the hotel and to get drink and was told about the roof top. So went to downstairs bar and attempted to go upstairs with the GF. We were stopped stating the we were not allowed to go upstairs. The doorman looked at us and stated we had to spend minimum of $500 and get a table if we were going to be allowed upstairs. That was kinda ridiculous but being neighborhood people, who feel more and more alienated by the influx of these types of establishments, that are not for us.The bartender GIO stated that the doorman is kind picky and we can probably get in during the week.  I feel that after he turned us away he let up some younger ""hip"" millennials but that is what they are looking for.  Won't be coming back and will be voting in next zoning board meeting to change rules for these horrible establishments which alienate the locals who have been here for decades. I guess my money is not good here",0,1,0,Gregory Paul S.,"Brooklyn, NY",364,49,53
1.0,3/14/2019,"One star is generous. I am beyond disgusted with the treatment we received here. Enjoyed a beautiful night at a wedding nearby and then went to the hotel where many wedding guests were staying and the afterparty was booked on the roof. Well, from the second we walked in we were met by rudeness from staff only to be magnified when we got stuck in the elevator for over an hour with people from the wedding including the two brides. Not the way you really want to end your wedding night. A few minutes after we got stuck one of the brides uncles passed out from claustrophobia and the heat.  The lax effort of the staff to get us help while we called down and told them someone in the elevator had passed out and was unconcious on the floor. It was beyond hot in there and the air was very thin. Panic set in to many of us around the 10 minute mark and only increased the hotter it became and the less oxygen we had. It was horrifying. After over an hour the fire dept got us out and the man who was passed out was taken to the hospital. Beyond belief, we were met by no hotel personnel and there was no concern at all on their part for our well-being and safety. Zero. Good business practice, not to mention Common decency would dictate that someone from the hotel should have at least pretended they cared if we were okay. They did not. When we took the stairs down to the lobby we saw 2 police officers which comforted me that they would come since we were stuck in the elevator with a man who had passed out. Nope! They were called by front desk because the couple of people from our party who made it up to the roof bought a bottle of grey groose before they knew the rest of the wedding was stuck in the elevator. When they found themselves up there alone they came down to the lobby and the staff called the police on them because they were carrying a closed bottle of grey goose they had bought overpriced AT THE HOTEL. What?!?! I mean I have heard of adding insult to injury but come on now! I emailed the hotel about my concern regarding their LACK of concern for us and the safety of their building. Unfortunately I can not get a response because they have our money so they are done with us.  Anyone in our party who used a credit card there was also overcharged. One person has a mystery $4,500 charge from the hotel. Customer service is zero. Common courtesy unfortunately is zero as well.",1,0,0,Melanie M.,"Hempstead, NY",21,5,0
4.0,3/11/2019,"I'm torn about this hotel. On the one hand, the front desk and the hotel staff were absolutely wonderful. I requested a higher floor when we booked our king terrace room, and they had a top floor room ready for us upon checking in. The hotel is gorgeous, the decor is modern but welcoming and the rooms are decorated beautifully with very comfortable beds. The sleep machine was a great touch, and combined with the provided earplugs helped us sleep through the late night revelry of the nearby music venue. On the flip side, while the aesthetic of the room was great, it lacked basic features to make our stay as comfortable as it could have been. There is only one mirror in the entire room, in the bathroom so it made getting ready to go out super inconvenient, especially with the all glass open concept shower which provides NO privacy and definitely made things a bit awkward sharing the room with my adult daughter. They only provided one washcloth and one hand towel. I wish they had a coffee maker in the room, but the provided coffee in the mornings down at the lobby bar was a nice touch and was available hot and fresh both mornings of our stay. The views of the city are amazing from the terrace, we never went up to the rooftop pool as it seemed to be more of a nightclub and requires special entry. A local friend described it as ""a high pressure swimming situation"" which pretty much took away my desire to check it out. Overall we enjoyed the location and the hotel, and hopefully with enough guest feedback they will make some minor modifications to increase overall comfort and convenience for all their guests.",0,0,0,Dawn D.,"Seattle, WA",2,34,1
