rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,3/31/2019,"UPDATE #2Went to breakfast again on Monday, but instead of a buffet, it is a la carte. We had Lucasz as our waiter, and he's actually pretty great. He was on top of our orders, really attentive, and was the complete opposite of our disastrous Sunday experience. I had the eggs Benedict, and they use a different kind of ham (was not typical Canadian bacon), but it was good. Kids ordered a cheese omelette and chocolate chip pancakes, both good. The croissant tray is also amazing - chocolate croissant and cheese croissant were our favorites.UPDATED REVIEWGreat service recovery by Luis. He saw how unhappy we were with the lack of food in the buffet (croissants, fruit, cheese and other items not refilled) and brought over some fresh cut fruit for the kiddos. Thank you for saving the day. Managers should take note - Luis deserves a raise as he seems to be only person in the restaurant that cares about the customers.PRIOR REVIEWStaying at the Conrad for a 3 night stay. Went to Atrio for breakfast on Sunday morning and there was a 20-minute wait. Asian man at host stand said that we would have to wait in the lobby and cannot go back to the room to wait. We have small kids in tow so we did our best to entertain them in the lobby as we waited. Then when we were finally let into the restaurant, they ran out of many foods and would not refill. Everyone working here has a frown on their face and are unhelpful. We didn't have sugar on our table for our coffee and when asked, they told us to grab it off of our neighboring table where other guest was sitting/eating. Do not recommend this restaurant at all, especially if you have to pay.",0,0,0,Amy A.,"Northbrook, IL",74,173,113
4.0,1/19/2019,"Good spot for drinks or breakfast.. For Hilton Gold Or Diamond Members Complimentary Wine and Cheese From 3-5pm.. As well as free buffet breakfast on weekends.. Breakfast Buffet was excellent.. Everything from scrambled eggs, egg whites, bacon, sausage, pancakes, fresh fruit and home fries..",0,0,0,Lou P.,"Staten Island, Staten Island, NY",0,39,106
5.0,12/24/2018,"Would recommend this place!I was here to take a client out to lunch. It is located in the lobby of the very fancy Conrad hotel. The staff is very nice and attentive. This is the type of place you have a ""power lunch"" at, or perhaps just a nicer lunch than in the nearby options. The noise level is low, which is great because you can hold conversations without raising your voice over other patrons or the music.The food is great. The serving portions are on the smaller side so you'll likely want to order an appetizer or two with your entree if you're coming in hungry. The price is what you'd expect for a ""$$$"" place in the Bryant Park neighborhood.All in all, I would definitely return to take future potential clients out in the area.",0,0,0,Derrick W.,"New York, NY",232,31,5
1.0,11/19/2018,"If I could give this bar lower stars, I would. I have been here many times, and the bartenders have generally been nice and they recognize a repeat customer. However, today I encountered a bartender named DANIEL that was both rude and condescending. He was attentive to other guests but not to me (allegedly because he did not ""recognize me"" even though I have been to the bar and been served by him before). Even if he just lacks that mental capacity to remember people and be kind, his attitude and rudeness are unacceptable and extremely off-putting. I would advise folks to stay far away from this place if he is working that night.",0,0,0,K M.,"Manhattan, NY",0,7,0
3.0,11/3/2018,"I came for breakfast and wasn't too fond of the menu. I asked to see a lunch menu. I liked those options better. It was only 40 minutes until lunch so I decided to wait. Lunch time (11:30) came. A guy comes to start setting up the bar about 10 minutes prior and looks at me but doesn't say a word to me for the entire time. He had a completely unfriendly vibe. At 11:40ish I decide to ask him if it's lunch time because I'm thinking perhaps I was wrong if this guy is ignoring me. He tells me that it is lunch time, and that I could sit at any of the tables and that he isn't responsible for the area I was sitting (and I was sat here by the host). I was confused thinking I could not order food at the bar. He yells someone some other guy over, asking him if he's responsible for the bar area in which I'm seated. I finally got some silverware and placed my order. The food came in no time. Steak sandwich with fries. Fries were average,  steak sandwich was decent, nothing amazing. Definitely will not be back. There are 4 stars that do it betterm Too many other places in this area.",1,0,0,Ku E.,"Brooklyn, NY",1,7,3
5.0,10/7/2018,"Atrio in the Conrad Hotel in Battery Park City is right off of the stunning lobby atrium.  It sports an open kitchen that immediately sets your palate on fire due to its spick and span (and I mean clean - and I am Jack Lemmon/Felix Ungar OCD!) appeal.  The restaurant/bar is immaculate and is very modern with a slight retro feel.  You actually feel as if you are in a restaurant in an airport terminal, and that is meant in a very jet-set way.  Shaun, the GM, is a true gentleman, and our server, Valter, has veteran qualities of an old-world service that has made a renewed stake in New York City.  He was very pleasant, making conversation very easily, and made sure that we were very happy with our dinners, which were exceptional, from the al-dente risotto with English peas and asparagus, to the French pressed pot of coffee and savory desserts.  He overheard me say that my parents' 60th anniversary was this coming Thursday, and brought out their dessert with a lit candle and sang ""Happy Anniversary,"" along with me!  The restaurant also has a wonderful, and somewhat magical, aura in that it has a rare quietude that lets you relax almost instantly.  Atrio has fast become one of the greatest culinary finds in NYC.  Offset from the tension of all of New York, is is nestled within the Conrad Hotel right on Vesey Street (at North End Avenue) across the street from the spectacular Brookfield Place in Battery Park City.  As my mom and dad have both been facing medical challenges this year, this was one of the first times they were able to finally get out and enjoy fine dining again, and I was so happy to see that happen.  And Atrio and its staff made this blue autumn afternoon one to remember.  Happy fall to all at Atrio and thank you from the three of us - Paul Sr., Grace and Paul Jr.  Sunday, October 7, 2018.",0,0,0,Dr. Paul R.,"Brooklyn, NY",0,6,0
2.0,7/8/2018,"Being in the Conrad Hotel, this restaurant really could use a new menu and better execution.We got several small plates: tuna tartare was good with a generous portion of chopped avocado, grilled wings served with store bought sauces, lamb sliders were too dry and gamey, potbelly buns were decent, but the buns themselves were a bit too soggy...",2,0,0,Thuha N.,"Fort Lauderdale, FL",135,101,119
4.0,6/11/2018,Not sure why others rated this place so low... pricey but the environment was very comfortable and relatively quiet. Service was impeccable and the food delicious. Get the flatbread appetizers - all are so good! Restroom is located outside the restaurant in the hotel lobby but is very clean and nice.,0,0,1,Amanda L.,"Manhattan, NY",535,62,103
1.0,5/4/2018,"I never usually do this but my experience here was very disappointing/: I live in the area and casually went to Atrio with my friend last night. Patrick was the server who was taking care of us for the night. We ordered our food and drinks and was asked if we were keeping the tab open which is odd because we ordered food and not just drinks but I gave my card because I didn't want to think anything of it. When we were done, i asked for the bill. In return, i got receipt with my card being charged without my bill being shown. Me and my friend planned on splitting the bill which I explained to him after he ignored me trying to get his attention after he quickly dropped the receipt off. He claimed that my card wasn't charged then backtracked said that he can undo the charges. We were definitely prejudged and profiled here. Then came back with the split bills. I checked my account and ended getting charged twice/: the bill was a hundred dollars",0,0,0,Shannon C.,"Manhattan, New York, NY",0,3,0
4.0,4/30/2018,"Came here for restaurant week lunch - chose this restaurant because we were meeting friends who worked in the financial district so this wasn't to far for them to come for a lunch. This restaurant is located within a hotel and sometimes felt a little too integrated with the hotel (which was a downside to me) - for example to use the ladies room you have to leave the restaurant and walk across the lobby past the front desk. Other than that, we were seated immediately, I ordered a martini (which definitely wasn't watered down), and I chose the salmon from the pre-fixe menu, which was cooked perfectly. It was paired with a grains dish which complimented the salmon very well. The atmosphere is very modern and chic - you feel like everyone is on a ""power lunch"" and the staff is very friendly.",0,0,0,Natalia M.,"Jersey City, NJ",119,57,121
