rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/5/2019,"History, history, history!  This restaurant is located in what used to be the original JP Morgan bank vault from 1902. All around, you are surrounded by old deposit boxes when you dine in the main dining area. I had the caprese salad, chilean sea bass and mac and cheese and NY cheesecake. Caprese salad was  very good and even had roasted tomatoes. The mac and cheese was phenomenal! So creamy and cheesy! The chilean sea bass was surrounded by steamed veggies and soupy (I tried capturing it in my picture attached). The cheesecake with strawberry drizzle was very rich and creamy! My husband had the caprese salad, filet mignon,   Roasted potatoes and ny cheesecake. He really enjoyed the mignon  (med rare) and recommends at this steak house. The roasted potatoes were very well seasoned and complimented the mignon and Chilean sea bass well. I gave this steak house 5 stars for several reasons:Part of its history, its location ( across NYSE), friendly and knowledgeable staff ( a staff member gave us a brief history of the JP Morgan vault). Very clean restrooms and facility overall. As for price I am not sure of the price because I went with a work group that arranged a group discount. If you visit the financial district go in, enjoy a drink, dinner or lunch and sit back and enjoy a part of NY history!!!",0,0,0,Yari S.,"Miami, FL",0,11,18
5.0,3/26/2019,Great steak  and drinks I would recommend this to anybody that's down town in the city v..casual place  to dressy  great to take pictures when you leave,0,0,0,Dornell S.,"Brooklyn, NY",89,25,20
4.0,3/25/2019,"Just had a great meal.  Shakeel, our server, took excellent care of us.Steak was cooked perfectly.  Crab cakes were just alright. Creamed spinach, mushrooms were good, hash browns also just alright.Try the Lava Cap cabernet, one of the bargains on the menu.",0,0,0,S M.,"Pleasantville, NY",0,1,0
1.0,3/24/2019,"Food was just ok and my server was nice and attentive, but one of the waiters with the deep NYC accent basically yelled at me and my son for walking around near the bar after we ate. This guy was just extremely angry and rude and the other waiters and bartenders seemed very angry. The place was only about 20% full which didn't surprise me considering how bad Bobby Vans has gotten over the years. This restaurant lost my business for good after this experience. There are 5 other better steak houses with better service within a few blocks of this place.  Furthermore, the sidewalks outside the restaurant always smell like dog urine.",0,0,0,Craig C.,"Manhattan, New York, NY",0,8,1
3.0,3/18/2019,"Service is great. The food was average.  Fresh but not amazing.  Peter Luger and Del Frisco's are amazing.  Had the porterhouse for two, I thought it was small.  My wife had the crab cakes.  She wasn't impressed.  Also orders the fries, calamari, creamed spinach and Cobb salad.   All of it was ok.  The fries portion was too small relative to what I was seeing at other tables.  The calamari was seasoned well but wasn't crispy, it sat in the kitchen for a while.",0,0,0,Manual W.,"Brooklyn, Brooklyn, NY",0,36,0
1.0,3/15/2019,"The Indian male waiter shakeel, he is the server on my receipt. he is so rude n lack customer service. We can here for a birthday dinner and was rushed because we got here at 945 our reservation time n the kitchen closed at 10pm. I ordered creme bur la 'dont know if I spelled that right but whatever"". The desert n he brought it out cold. When my bf ask isn't the pose to be warm which it can be, he lies n said no. I order that desert all the time, so I shouted yes it can be warmed. That's not all he brought our check before we was even done dining. The list goes on n on of things he did. Smh. Ooo n I asked the same waiter to ask the manger to see the volt n he said he dont think its possible, come to find out he never asked the manager for us. But in the end I got to see the volt that's why I really came here n because my bf asked the manager he allowed us to. Food was good. But honestly because of him I didnt enjoy my time here. N the only reason I didn't report him is because I dont want it to be on my heart if he gets written up n eventually loose his job. But I'm sure other people will complain on him soon. Smh",1,0,0,Byrhonda H.,"Brooklyn, NY",448,53,96
2.0,3/10/2019,"My boyfriend and I did a staycation in the financial district, instead of going to a nice sushi spot we decided on a random steakhouse because my boyfriend was starving. The ambiance is very old but not in a chic way, tourists probably go here a lot and older people. The food was okay, we got oysters and calamari and two steaks. Calamari wasn't great just super fried and covered in Parmesan I think? It was weird. This is definitely like a sports bar with steak kind of place.They don't have a drink or cocktail menu, they have a wine list. They said they had a full bar and it took up a large part of the restaurant but When we asked for two drinks that are pretty common (Tom Collins and Hemingway daiquiri) the server asked the bartender and came back asking us how to make the drinks. They came back in a large cup with ice and it reminded me of when I ordered vodka cranberries at a crappy club unfortunately.They need a bit of a re model and definitely real bartenders .",1,0,2,Ally R.,"New York, NY",28,21,18
5.0,3/9/2019,"Was waiting outside the door to get in at 4:30 because the website said opens at 4:30 then the host apologized an let us in about 4:45 when they actually open at 5 pm now on Saturday. The service was excellent  from the host to the waiter's and the rest of the staff.We had grilled octopus, ceaser salad, clams casino, oysters Rockefeller and veal meatballs,all excellent. Then main course of filet mignon and 28 day dry aged rib eye steak, both were excellent .had a Groupon deal also, then we wanted to see the vault in the basement and on the weekend it's closed so the host took us downstairs for a tour of the vault which was a treat to see. Will definitely  return again soon.",0,0,0,Mikey D.,"Staten Island, Staten Island, NY",0,8,17
5.0,3/1/2019,"Had not been to Bobby Van's in a while but saw a Groupon deal and decided to go and was very happy we did. The hostess and waiter were very friendly and did not treat us any differently because of the Groupon which was must appreciated.The food was excellent! We started with the Baked Clams which were wonderful and for entrees we had the Chilean Sea Bass, the Lamb Chops and the Bone-in Ribeye, none of which disappointed. If anything, though the Apple Strudel for dessert was good, perhaps we had expected more.  Nevertheless, looking forward to going back to Bobby Van's with or without Groupon.",0,0,0,Andrew L.,"New York, NY",2,86,186
1.0,2/24/2019,"Well I have to say I was beyond disappointed in Bobby Vans Broad Street. My husband and I brought my sister to celebrate her birthday.  I had made a reservation, but when we arrived, it was not in the system. We were a large party, and I was relieved that they could accommodate us anyway.  The server was very sweet and efficient.  We ordered appetizers, which were very good and came out in a timely matter. After that, it was a disaster. We waited and waited for our main course, close to an hour. And when it did come, my husbands skirt steak was ice cold. He was furious, as we waited so long, and this is how it came out? My son and I had the porterhouse for two, I ordered it medium, and it came out rare. Both were sent back. We started to eat our sides, rather than letting them sit there and get cold. We were told that 3 sides would be plenty for our party size of 7. The roasted corn side was literally served in a saucer, that was more like a single serving portion.  When we did get our steaks, they were just meh.  At the end of our meal, the server said, that the manager was sending over complimentary dessert. Very nice thought, but didn't even give us a choice. Sent out 4 slices of cake, for 7 people? Hmmmm.  We won't be going back after this debacle, there are too many other great steakhouses in Manhattan.",0,0,0,Marilyn S.,"TriBeCa, Manhattan, NY",5,32,0
