rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/24/2019,Very quality establishment. Excellent service and excellent drinks. Food was very good as well. All around great place - very convenient for downtown Brooklyn. The manager (Shannon?) and bartender (Jeff?) were great and very friendly.,0,0,0,Channing H.,"Lusby, MD",152,10,0
5.0,4/20/2019,"Love the ambiance in this place, it's right In downtown Brooklyn, never have a bad experience here and the food is always good. Not my first time here and def not my last.",0,0,0,Romy C.,"Flushing, NY",188,5,2
5.0,4/20/2019,Beautiful location- a hidden oasis with enclosed outdoor area in back. Great drinks too!,0,0,0,Cristy J.,"Manhattan, NY",142,18,2
4.0,4/20/2019,I love the casual setting!!! I love coming here with all my family and friends! I will be back! The drinks were amazing as well.,0,0,0,Michelle P.,"Brooklyn, Brooklyn, NY",0,1,0
4.0,4/20/2019,A beautiful scenery! Love it! I love to go out for a casual dinner with family or friends from time to time.,0,0,0,Mia S.,"Brooklyn, NY",34,1,0
5.0,4/14/2019,Amazingly beautiful restaurant and nice setup. There's a place in the back that's outdoorsy without being exposed to the elements; as perfect as one could ask for. BRUNCH TIL 4!!! Really good menu setup and honestly a slamming burger if brunch isn't desired. Shannon is a solid waitress. It's refreshing getting someone genuinely nice and attentive.,0,0,0,Benny R.,"Brooklyn, New York, NY",0,1,2
1.0,4/14/2019,Food took too long to be prepared... wasn't much to prepare... most of the food was also cold. The service as well was lacking in attention. Between ordering and the buffet might as well go to an ihop you'll get better service.,1,0,0,Laura D.,"Manhattan, New York, NY",231,1,0
4.0,3/22/2019,"We were staying at the Holliday Inn and were happy to find this place.  We sat at the bar every night and Jordan took great care of us, remembering our drink orders and making recommendations.  The bar menu was pretty good, chicken nachos and fried chicken were tasty and if you like spicy, try the Korean wings.",0,0,0,Juan C.,"Miami, FL",29,51,6
1.0,3/15/2019,"Waited 40 minutes for 4 eggs and breakfast potatoes which I saw the waiter take from the hot bar. The eggs were runny at the top, solid at the bottom, and appeared to have been dropped on the plate from a distance. When I asked for them to be recooked the waiter pulled out his notepad and tried to tell me I had made a mistake when I ordered. None of the meal was comped and they didn't make any attempt to rectify the problem. We had to go to the front desk of the hotel to complain and they helped us.",1,0,0,Olivia A.,"Walnut Creek, CA",0,10,0
2.0,2/18/2019,"This review is just for the food. Service was great, very nice and accommodating hosts/waiters. (Would give 4-5 stars based on that alone)Brasserie Seoul based on the better views, sets higher than normal expectations for hotel restaurants but doesn't meet them. The food isn't inedible, it just isn't what you would expect. Having made these dishes myself before and watching pro chefs online prepare them, this is my best guess at how Brasserie Seoul put the following dishes together:Korean fried chicken wings- mostly likely reheated frozen wings (soggy skin).Truffle mac n cheese- most likely instant mac, no flavor and just a bit of watery cheese. Steak au poivre- no peppercorns (queue Sterling Archer).Hudson valley duck- duck breast was cooked well but no seasoning.I'd skip eating here altogether since you can probably go down the block and pick up a pastrami egg and cheese that won't disappoint lolSide note: Yelp page reports the venue dress code attire as 'dressy', it's not",3,0,1,Jimmy L.,"Brooklyn, NY",558,86,12
1.0,2/18/2019,"What happened to the chefs signature French and Korean dishes??!?! Bistro Petit was amazing, and the only reason that I dined here was to have the Kimchi bouillabaisse. What a let Down.",1,0,1,Ariel P.,"Bronx, NY",26,108,28
