rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/30/2019,"I love this spot. I came here for brunch this past weekend. We were greeted by a very warm, welcoming host. Also my waitress I did not catch her name she had curly dark hair was beyond lovely and accommodating. She was very attentive without being up our.. excuse me... up our ass. I have came here before with a different server and l wasn't as happy when I left. But I will definitely be back now. Thank you for great service",0,0,0,Sharon B.,"Brooklyn, Brooklyn, NY",0,1,0
5.0,3/16/2019,"The Greenhouse is our family staple in Bay Ridge. We've celebrated many events here including birthdays, graduations, anniversaries, and retirements. Our entire family is always very satisfied with the relaxing environment, friendly staff, and delicious food. Last night three generations of my family had dinner here and we all had a wonderful time. The penne vodka is so satisfying and is my go to order. I definitely recommend a stop by if you're in the neighborhood!",1,0,0,Lauren R.,"Woodrow, Staten Island, NY",1,13,26
1.0,2/25/2019,"If I could give this a zero star, I would.  This is the third time I have been here.  I believe that anyone could have a bad night, so I am a forgiving type of reviewer.  I certainly will NEVER come back as long as the ""manager"" Lorraine is working there. I experienced bad (rude) service from her before, and complained to another manager on that occasion about her.  This time, in an empty restaurant on a cold Monday evening, she chose to seat us right next to a large and loud party.  When we asked to move to another part of her empty restaurant, instead of being accommodating, she copped an attitude saying the other parts of the restaurant were too cold.  She simply did not want to get off her rear end and walk an extra three steps.  She was incredibly rude!The food here has always been good and a great value.  It's a shame that this person ruined my appetite for this restaurant.  There are plenty of great choices for a good meal, warm atmosphere and friendly service all along 3rd Avenue in Bay Ridge.  Avoid this one and Lorraine!",1,0,0,Bud A.,"Asbury Park, NJ",0,5,0
5.0,2/19/2019,"Came here with my girlfriend for brunch on a Sunday and I must say we walked away completely satisfied..Our server Tyler was very polite as well as attentive..We didn't feel rushed and I must say their bottomless brunch of 6 alcohol drinks to choice from along with an appetizer, main dish and dessert for 2 hours was well worth the money..Food was good and drinks were right on point..Definitely recommend you stop by for weekend brunch if you happen to be in Bayridge..",0,0,0,P L.,"Bronx, New York, NY",0,9,1
5.0,2/13/2019,I came here for brunch recently with a group of 10 and it was just so good that I can't stop thinking about going back! Their brunch for $30 is an absolute STEAL. The eggs Benedict was AMAZING & their variety of food + 6 different drinks included was awesome. They brought out pitcher after pitcher of mimosa + Bellini as soon as the previous one was empty! The seating area was so cute - you were inside but it had this outdoorsy/garden vibe with tons of sunlight shining in. Best part - I have a gluten allergy & stupidly did not warn them however the waitress came back saying they could make anything gluten free!! I was able to get my eggs Benedict with gluten free bread & did not get sick from cross contamination. Definitely recommend for brunch!,0,0,0,Ashley M.,"Brooklyn, Brooklyn, NY",117,25,1
5.0,2/2/2019,"I took my family here for my mom's birthday. We had appetizers, dinner, dessert and drinks. Everything was delicious. We all enjoyed our food very much. And then the love band came on. It was a great experience.  Looking forward to the next visit.",0,0,0,Laura T.,"Bushwick, Brooklyn, NY",2,5,0
5.0,1/26/2019,"Another great afternoon... Another 5 Stars!!The Eggs Benedict are consistent perfection! Just the right amount of spice in The Bloody Marys!!Service, fantastic! Thanks again, Peter...",0,0,0,Denise S.,"Brooklyn, NY",1,14,16
4.0,1/24/2019,"This was  very nice place to come to celebrate a graduation. My daughter just got pinned to he a RN. N we choose here to celebrate. They accommodated all of us, our waiter was very kind. There was karaoke too. The food was great. I will be returning",0,0,0,Catwoman O.,"Queens, NY",3,31,1
4.0,12/15/2018,"Really great brunch deal. Bottomless brunch with endless options door $29. Sounded too good to be true but it didn't disappoint. Had bloody Mary's and mimosas which were both yummy. Comes with appetizer (different salads, fruit or soup), lots of entrees including omelets your way and burgers, and dessert. Large portions and friendly staff. Will come back!",0,0,1,Elizabeth N.,"Brooklyn, NY",197,645,326
5.0,12/2/2018,Today I had my daughters Reveal Party at the Greenhouse. We had a brunch .. I love this place!!! Lorraine the head waitress was so accommodating to all my guests!  What a terrific person she is.. she really cares and knows how to treat customers.. the food service everything was phenomenal!! I would definitely recommend this place for a party.. the room with the glass enclosure !!,0,0,0,Linda F.,"Brooklyn, NY",0,7,0
3.0,12/2/2018,Walked by this place almost every day and I said one day I would try it out. Food was pretty good but I think prices are too high. They have price fixed options but your paying for it. We sat in the back atrium area which was nice and the waitress took good care of us. I tried the pasta with vodka sauce based on waitress recommendation stating it was a signature dish. I enjoyed it so no complaints. They have a good size bar but at lunch it was empty. I once saw a happy hour special advertised that looked good including food specials. Not sure if they still do that but if they did I would come back to try out the bar menu and grab a few cold ones.,0,0,0,Bryan L.,"Brooklyn, NY",12,171,126
5.0,10/20/2018,"I was pleasantly surprised when I stopped in to have brunch here.  Greenhouse did an amazing job providing Celiac-friendly meal options that ranged from including gluten-free croutons in my salad to making a gluten-free steak sandwich for me.  In fact, it was my first time having a steak sandwich with garlic butter since changing my diet almost two years ago.  Everything tasted great - the servings were hearty and we also enjoyed the unlimited brunch cocktails.  The staff was very friendly and understanding and I wouldn't hesitate to go back.",0,0,0,Monica S.,"Brooklyn, NY",0,19,0
5.0,10/11/2018,A friend of mine had her 22nd birthday brunch here. The staff was very accommodating to all of the girls and went above and beyond to make them happy. The back area is beautiful for pictures etc. The penne vodka is delicious and everyone seemed to love it. The price of the bill was more than fair. I appreciate the friendly service and attention they offered to us. Thank you so much!,0,0,0,Michelle D.,"Queens, Queens, NY",0,31,4
2.0,9/12/2018,Pretty boring menu and mediocre food. Nothing had much taste.  Place is like a glorified diner with a big barBand that started at 10 pm was good.  Place got busy then,1,0,0,Deb W.,"Brooklyn, NY",0,7,0
4.0,9/9/2018,"Was here for the breakfast/lunch brunch and the food was delicious.  Your choice of unlimited drinks with six to choose from, an appetizer an entree and a dessert.  They have seating outdoor in the rear of the restaurant as well.  I ordered the Lobster Bisque (was a bit too salty) and pancakes as my entree and the dessert was too go.  Everything was delicious.  The waitress could have been more communicative.  The bill for 3 patrons was $97.  I would definitely try it again.",0,0,0,Denise W.,"Queens, NY",27,101,145
4.0,8/20/2018,"We came here for restaurant week.  I loved that they gave you a full range of options unlike other restaurants during this event.  There were even options on where to sit- inside, outside or in the enclosed patio area.  We chose the last and it was very nice. *There was a bothersome leak that started in our corner at the end of dinner but we were on our way out so it didn't affect us. We let our server know.Dinner and service were good.  The appetizers - eggplant rotini and baked clams were so very good.  Perfection! Steak was also up there! The chicken with mushrooms,  ham and spinach was pretty good too. The lobster had no taste or flavor even with butter and salt. The sides of mashed potatoes and vegetables rounded out the meal.   We ended with two desserts- the brownies which were out of this world amazing and the chocolate mousse cheesecake which was unfortunate.  There were a mix of textures and the crust was not good at all . I would go back for the experience and great service. It was worth it.",1,0,0,Linda M.,"Brooklyn, NY",47,182,518
4.0,8/10/2018,Came here for restaurant week yesterday. The menu was stacked with a good variety of items to choose from. The surf n turf (5 oz fillet mignon & 5 oz lobster tail) had great portions. The fillet mignon was delicious while the lobster was a bit on the bland side. The sides were DELICIOUS (clams & mussels)! Had a good experience here and the service here was very on point.,0,0,0,Mike C.,"Brooklyn, NY",100,193,43
2.0,7/30/2018,"My son and daughter-in-law (both lawyers) took me and my mother to this restaurant on 8/28/18 for a 3-course meal ($42 + tax & gratuity per person). The staff was very nice and helpful when it came to turning off the a/c in the area, the dining area was clean and well lit. However, when the food was being brought out the server reached behind me to place my son's food on the table & accidentally poured my son's meal (penne pasta w/cheese sauce) down the back of my new blouse which created 3 separate stains on my blouse. After a wasted attempt at using a cloth napkin to ""clean"" the spots on my blouse the server nervously proceeded with bringing the rest of the food to the table. The mistake she made was reaching over me to place a hot plate of food in front of my son when she should have sat the food on the table from the front not from behind the customer. I'm just pissed at the resolution to the issue which was to hand me a business card and tell me to submit a cleaning bill for my shirt. They never asked for my name so how were they going to remember me? Are you serious???? My son spent over $200 for that meal and didn't receive so much as a $10 discount off the bill. My cleaning bill would be less than it would cost in gas for me to travel back to bay ridge to receive reimbursement. I'm sorry Greenhouse Cafe but the way you handled that problem is unacceptable and I will NEVER return to your establishment! Teach your servers how to properly handle hot foods....#totallydisgusted",0,0,0,Jacqueline P.,"Brooklyn, NY",15,3,0
5.0,7/29/2018,"We had a retirement party for my aunt and uncle in the private room. It was amazing! Service was superb, food was delicious and drinks were so good. Everyone was very accommodating and nice and the room was nice and open.",1,0,0,Lauren K.,"New York, NY",48,510,1061
5.0,7/21/2018,"Wonderful place with awesome drinks, good food and professional and friendly staff..   Went in this afternoon to celebrate my mother in laws Birthday.  We were seated promptly, served drinks almost immediately and catered to which was terrific.  The service was impeccable which helped ensure that our event was a sucess.  We had a choice of menus with a variety which pleased all of our unique taste.  From the minestrone soup, tomato and mozzarella, fresh salads all appetizers were devoured. Main meals consisted of Burger Plate, Liguini w/Seafood , Chicken Parm w/pasta, Penne ala Vodka with Shrimp, Grill Pork Chops.  All dishes were clean with no complaints by any of us ..  The bread on the table, plentiful and hot.  Finale consisted of a Variety of desserts which included a Special Double loaded brownie with vanilla ice cream and whipped cream for the birthday Girl..All in all, a Fantastic Birthday celebration made even better by the Good Drinks, Food and excellent detail to attention and service of the entire staff at The GreenHouse Cafe!",0,0,0,Nancy D.,"Brooklyn, NY",92,49,222
4.0,7/5/2018,"I have had Brunch here numerous times it is always delicious and a great price for 3 courses. Also been to a few parties, food was good and staff very accommodating.",0,0,0,Rhonda G.,"Bay Ridge, Brooklyn, NY",18,10,0
5.0,6/26/2018,I want to thank John and Bobby the owner's and there staff.i had my son's graduation dinner there on Saturday.we had a great time.we were in the greenhouse room it was so nice.the food was delicious as usually.if you are thinking of having a dinner or party.i would definitely recommend it you will not be disappointed.thx again the Magalhaes family,0,0,0,Mitchell M.,"Brooklyn, NY",0,27,47
5.0,6/18/2018,"I went in yesterday for brunch and had a great time. We were seated quickly in respect to a reservation that was made. The staff was attentive and the food was amazing. Overall great time, can't wait to go back again.",0,0,0,Brandon B.,"Brooklyn, Brooklyn, NY",0,2,0
5.0,6/17/2018,Once again the Greenhouse Cafe did not disappoint.  We had a wonderful Fathers Day Brunch today. There were 15 people in our party including children and every order was perfect. Peter and his staff know the true meaning of customer service. Thank you from the O'Malley's,0,0,0,Susan O.,"Brooklyn, NY",0,7,0
5.0,6/4/2018,I had an 50th birthday amazing party here. Great food and service was amazing. The management even upgraded me to a bigger room then I booked got same Price since it was a available and more spacious.Room was besutiful. Everyone had a great time. The food was delicious. Great menu for a party. Quiet room away from the hustle and bustle of restaurant  which is exactly what I wanted so that I could socialize with my company.  Would definetly book again.,0,0,0,Shelley S.,"Park Slope, Brooklyn, NY",53,3,0
5.0,5/30/2018,Not sure what the gripes are with the negative reviews.  This place is about as good as it gets.  Sizable portions with reasonable prices and good service.  Give it a shot.,0,0,0,Frank C.,"Hoboken, NJ",0,4,0
5.0,5/3/2018,"My family and I had a Sweet 16 birthday party for my cousin, we had the large room to the right of the restaurant. Peter was our waiter and I must say he made our experience phenomenal. All that we asked for from extra bread to constant water on the tables he was on top of. We were a party of about 55 people with the exception that people didn't show and he did all the service work by himself, 2 bus boys were helping him but for handling the job mainly on his own I must say he did an exceptional job. He even helped us decorate! Thank you Peter! and Thank you greenhouse for a wonderful party! highly recommend for family dinner parties or corporate events.",1,0,0,Crystal M.,"Brooklyn, NY",1,8,0
4.0,3/9/2018,"Coming here last Saturday night to celebrate my mother-in-law's birthday was really a very strong recommendation by my husband, who's work had their Christmas dinner here last year.  He raved how great everything was, so when we were coming up short of a new place to go to for the occasion, this place was the top contender. We were escorted to the back greenhouse area in the right corner, next to the door that leads to their garden area.  It was nicely lit with white lights, making it really visually festive and celebratory.  Sitting in the back was a little cooler, but gave us the space that we needed to feel comfortable.We LUCKED OUT when the waitress gave us the Restaurant Week menu that was expiring the next day for their $42 pre-fix menu of an appetizer, entree, and dessert.  I'm talking surf n turf and filet minion people!  No doubt in my mind that I was banking on the surf n turf, and my hubby got the shrimp and penne al a vodka, which was very surprising to me, especially from the selection he had.  I can honestly say that both choices weren't foolish ones.  My lobster tail was fresh and cooked to perfection, paired with some melted butter on the side with some fresh veggies like carrots and zucchini.  My filet minion was paired with a delish homemade bbq secret sauce that had me dying for more!  It was an excellent portion and was even able to share some with my husband, because I was definitely having more than one helping of his shrimps!  The vodka sauce was insanely good; bread dipping wasn't an option.By the time dessert came around, I was looking for some chocolate mousse and that's what I got!  My husband opted for the brownie overload and OMG...it's every girl's dream!  Two fudge brownies with whipped cream and hot fudge - just stick a fork in me - I was DONE!I would definitely love to come back for another occasion!",1,1,4,Jaclyn C.,"Brooklyn, NY",1216,896,1227
5.0,1/26/2018,Me and my sexy wife went out and we had a blast at Greenhouse! The food was exceptional the service was on point and the ambience was casual and cozy.,0,0,0,Ryan A.,"Brooklyn, Brooklyn, NY",41,3,0
1.0,1/10/2018,"My family and I went here for brunch on Sunday January 7, 2018. Most of us ate meat. The next day, 9 out of 12 of us were violently ill. The common denominator for all who got sick was meat. We later found out that Monday January 8th they got a bad health review for numerous conditions regarding the way their meat is kept.",4,0,0,Krista M.,"Manhattan, New York, NY",162,5,0
5.0,11/27/2017,"The food here was absolutely delicious! My first time here to remember my Uncle ""Moe"" Maloney. Sad occasion yet the staff was so wonderful we felt so welcomed and comfortable. Thank you and I'll be sure to visit again under happier circumstances.  Diane from SI.",0,0,0,Diane M.,"Staten Island, Staten Island, NY",0,1,0
5.0,11/7/2017,"I've held two family parties here and they were both a big success . Lorraine who helps handle the party organization is amazing. She is detailed, focused and keeps everything in absolute order for you. We just love how easy she makes it all work out. The food is great it always the topic of conversation at the parties. The food is always fresh and very tasty! They even offer gluten free pasta , helpful for some of my guests. Lorraine thank you again for helping me relax and enjoy my party you are awesome!  I highly recommend Greenhouse Cafe for any parties or just for a meal, they have a nice bar and the bartenders are awesome too! Great service all around!",0,0,0,Yo A.,"Manhattan, NY",0,6,0
2.0,10/8/2017,"Outdoor atrium looked pretty but we didnt sit there, the food was not very good, very greasy Caesar salad. The service was good. They had live music it was ok. Place was kinda empty, the people who go there are not really the young and hip crowd. Nice waiters very attentive",0,0,0,Anold V.,"Pelham Gardens, Bronx, NY",4,25,3
5.0,9/8/2017,"Had a Networking event in the back garden room, which is just beautiful.The staff was helpful and went above and beyond I believe to make sure everything was just right.The Appetizers were perfect finger food for the event.Thankful that we picked the right place!!!!",0,0,0,Jerry K.,"Brooklyn, NY",71,5,0
5.0,8/6/2017,Went this past weekend and the food was awesome.  Celebrated my birthday with my family they sat us in the outdoor atrium it was very pretty.  Super nice waitstaff not overbearing.  There was something for everyone on the menu and prices were great.  My family had a GREAT time.   I had the seafood linguini in red sauce and the fish was fresh and the sauce was delish my husband had the rack of lamb and said aside from over cooking the lamb it was still tasty amd tender.  Everything was great!,0,0,0,Suzanne A.,"Brooklyn, Brooklyn, NY",0,11,2
