alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
smoke-jazz-and-supper-club-new-york-2,"[{'alias': 'jazzandblues', 'title': 'Jazz & Blues'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 40.8012384, 'longitude': -73.9681818}",(212) 864-6662,5.912356423141211,trbr9pYDDmXCj9z8m2d6LQ,https://s3-media2.fl.yelpcdn.com/bphoto/mtoknHiWV9odxviYizuIRA/o.jpg,False,"{'address1': '2751 Broadway', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10025', 'country': 'US', 'state': 'NY', 'display_address': ['2751 Broadway', 'New York, NY 10025']}",Smoke Jazz & Supper Club,+12128646662,$$,4.0,352,"['pickup', 'delivery']",https://www.yelp.com/biz/smoke-jazz-and-supper-club-new-york-2?adjust_creative=fhlzrhvkh8eY1FKkynuFQw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fhlzrhvkh8eY1FKkynuFQw
tavern-on-the-green-new-york-7,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.772194, 'longitude': -73.9776}",(212) 877-8684,20.40158471897206,hKdvsbuQRtjajWYwjaoOQw,https://s3-media1.fl.yelpcdn.com/bphoto/fBgjO70lHBgEJtY8K_6BUg/o.jpg,False,"{'address1': '67 Central Park W', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['67 Central Park W', 'New York, NY 10023']}",Tavern on the Green,+12128778684,$$$,3.5,1240,[],https://www.yelp.com/biz/tavern-on-the-green-new-york-7?adjust_creative=fhlzrhvkh8eY1FKkynuFQw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fhlzrhvkh8eY1FKkynuFQw
abc-kitchen-new-york,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'french', 'title': 'French'}]","{'latitude': 40.738085, 'longitude': -73.989472}",(212) 475-5829,39.42487344722378,dMhRafXdr765DHe0k-QfaQ,https://s3-media2.fl.yelpcdn.com/bphoto/k2V0QyHL_IFbfDnR33S0cg/o.jpg,False,"{'address1': '35 E 18th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['35 E 18th St', 'New York, NY 10003']}",ABC Kitchen,+12124755829,$$$,4.0,2866,[],https://www.yelp.com/biz/abc-kitchen-new-york?adjust_creative=fhlzrhvkh8eY1FKkynuFQw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fhlzrhvkh8eY1FKkynuFQw
catch-new-york-new-york,"[{'alias': 'advertising', 'title': 'Advertising'}, {'alias': 'marketing', 'title': 'Marketing'}, {'alias': 'graphicdesign', 'title': 'Graphic Design'}]","{'latitude': 40.74681, 'longitude': -73.98442}",(212) 715-8700,1994.7614804309283,7mB_COyhOY1k01JcOu-wTw,https://s3-media4.fl.yelpcdn.com/bphoto/q1THJCs6fn3JJtJOTDFTKA/o.jpg,False,"{'address1': '15 E 32nd St', 'address2': '4th Fl', 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['15 E 32nd St', '4th Fl', 'New York, NY 10016']}",Catch -New York,+12127158700,,3.5,37,[],https://www.yelp.com/biz/catch-new-york-new-york?adjust_creative=fhlzrhvkh8eY1FKkynuFQw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fhlzrhvkh8eY1FKkynuFQw
becco-new-york-4,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.76083, 'longitude': -73.98981}",(212) 397-7597,3.072497503209693,QObHX0yR6zd0WfksRDbJTA,https://s3-media3.fl.yelpcdn.com/bphoto/w5_bccA0edjbSwzUVZS-PA/o.jpg,False,"{'address1': '355 W 46th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['355 W 46th St', 'New York, NY 10036']}",Becco,+12123977597,$$$,3.5,2680,[],https://www.yelp.com/biz/becco-new-york-4?adjust_creative=fhlzrhvkh8eY1FKkynuFQw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fhlzrhvkh8eY1FKkynuFQw
estiatorio-milos-new-york,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 40.76368, 'longitude': -73.97922}",(212) 245-7400,21.007384538175113,mhhTORjUdXj-UIDjyGmhBg,https://s3-media1.fl.yelpcdn.com/bphoto/MHD33qCbDYiAqSjW592B6g/o.jpg,False,"{'address1': '125 W 55th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['125 W 55th St', 'New York, NY 10019']}",Estiatorio Milos,+12122457400,$$$$,4.0,836,[],https://www.yelp.com/biz/estiatorio-milos-new-york?adjust_creative=fhlzrhvkh8eY1FKkynuFQw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fhlzrhvkh8eY1FKkynuFQw
tao-uptown-new-york,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 40.76269, 'longitude': -73.97147}",(212) 888-2288,1.660645760551506,TU_BU9HLflYI2xlyqVQdRA,https://s3-media4.fl.yelpcdn.com/bphoto/Hlkr0IJaok7ORA1TSurTnA/o.jpg,False,"{'address1': '42 E 58th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10022', 'country': 'US', 'state': 'NY', 'display_address': ['42 E 58th St', 'New York, NY 10022']}",TAO Uptown,+12128882288,$$$,3.5,2462,"['pickup', 'delivery']",https://www.yelp.com/biz/tao-uptown-new-york?adjust_creative=fhlzrhvkh8eY1FKkynuFQw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fhlzrhvkh8eY1FKkynuFQw
red-rooster-harlem-new-york-3,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 40.80815, 'longitude': -73.94488}",(212) 792-9001,6.188861468078728,fxGpXRxFUDzlU3Cyszu4uQ,https://s3-media3.fl.yelpcdn.com/bphoto/S_4wwMMYx74kk-Wh9gQVcg/o.jpg,False,"{'address1': '310 Lenox Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10027', 'country': 'US', 'state': 'NY', 'display_address': ['310 Lenox Ave', 'New York, NY 10027']}",Red Rooster Harlem,+12127929001,$$$,3.5,2952,[],https://www.yelp.com/biz/red-rooster-harlem-new-york-3?adjust_creative=fhlzrhvkh8eY1FKkynuFQw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fhlzrhvkh8eY1FKkynuFQw
del-friscos-double-eagle-steakhouse-new-york,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 40.759412, 'longitude': -73.982221}",(212) 575-5129,8.69001967564205,b8a-8u_A51v2IzyjLVsx6w,https://s3-media3.fl.yelpcdn.com/bphoto/FyQ0V-QtndWStk5B8qwjXw/o.jpg,False,"{'address1': '1221 Ave Of The Americas', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10020', 'country': 'US', 'state': 'NY', 'display_address': ['1221 Ave Of The Americas', 'New York, NY 10020']}",Del Frisco's Double Eagle Steakhouse,+12125755129,$$$$,4.5,2763,[],https://www.yelp.com/biz/del-friscos-double-eagle-steakhouse-new-york?adjust_creative=fhlzrhvkh8eY1FKkynuFQw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fhlzrhvkh8eY1FKkynuFQw
fig-and-olive-fifth-ave-new-york-4,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'french', 'title': 'French'}]","{'latitude': 40.7594108995958, 'longitude': -73.9755487419944}",(212) 319-2002,21.674109739966177,FON3TceJNsTC0I0mzBwOKg,https://s3-media1.fl.yelpcdn.com/bphoto/ZE51Xe4Dx19UBMeL0UPfwA/o.jpg,False,"{'address1': '10 E 52nd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10022', 'country': 'US', 'state': 'NY', 'display_address': ['10 E 52nd St', 'New York, NY 10022']}",Fig & Olive Fifth Ave,+12123192002,$$$,3.5,1103,"['delivery', 'pickup']",https://www.yelp.com/biz/fig-and-olive-fifth-ave-new-york-4?adjust_creative=fhlzrhvkh8eY1FKkynuFQw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fhlzrhvkh8eY1FKkynuFQw
